//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 04:22
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906217
//Univ. of Washington ID: 18771
//MBARI ID: 18771SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 25 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	11760	
//Temperature[°C]	Sbe41cp	11760	
//Salinity[pss]	Sbe41cp	11760	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3055	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#K18.D01.204302  Spec#114281 Equitech Ti probe #1905.11  MBARI ARGO float#855  DF#261  CTD#11760	
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//pHinsitu[Total]	Durafet	261	
//pH25C[Total]	Durafet	261	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0560	0.0000	0.0000
//Nitrate	1	1.0000	-2.3314	-2.2101
//Nitrate	14	1.0000	-3.7317	0.9025
//Nitrate	33	1.0000	-3.4712	0.0000
//pH	1	1.0000	-0.0951	0.0000
//pH	2	1.0000	-0.0765	-0.1075
//pH	13	1.0000	-0.1170	-0.0108
//pH	33	1.0000	-0.1228	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906217	1	C	12/29/2019	16:29	271.055	-58.099	0	1799.09	0	2.1605	0	34.6778	0	27.711	0	1774.760	0	173.74	0	52.6	0	32.99	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8393	0	7.5805	0	2349	0	2259	0	534.7	0
5906217	1	C	12/29/2019	16:29	271.055	-58.099	0	1699.66	0	2.2359	0	34.6622	0	27.691	0	1677.067	0	172.04	0	52.2	0	33.14	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8343	0	7.5735	0	2347	0	2259	0	547.3	0
5906217	1	C	12/29/2019	16:29	271.055	-58.099	0	1599.91	0	2.3169	0	34.6426	0	27.669	0	1579.014	0	171.13	0	52.0	0	33.37	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8327	0	7.5695	0	2344	0	2257	0	555.5	0
5906217	1	C	12/29/2019	16:29	271.055	-58.099	0	1499.96	0	2.3949	0	34.6140	0	27.639	0	1480.719	0	169.59	0	51.7	0	33.70	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8278	0	7.5626	0	2341	0	2257	0	568.5	0
5906217	1	C	12/29/2019	16:29	271.055	-58.099	0	1399.67	0	2.4535	0	34.5910	0	27.615	0	1382.044	0	167.79	0	51.2	0	34.09	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8214	0	7.5540	0	2338	0	2258	0	583.8	0
5906217	1	C	12/29/2019	16:29	271.055	-58.099	0	1299.20	0	2.5249	0	34.5633	0	27.586	0	1283.144	0	168.12	0	51.3	0	34.27	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8214	8	7.5513	8	2335	0	2255	8	590.2	8
5906217	1	C	12/29/2019	16:29	271.055	-58.099	0	1200.09	0	2.6347	0	34.5320	0	27.551	0	1185.538	0	163.81	0	50.2	0	34.78	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8175	0	7.5457	0	2332	0	2255	0	602.6	0
5906217	1	C	12/29/2019	16:29	271.055	-58.099	0	1100.12	0	2.6674	0	34.4827	0	27.508	0	1087.039	0	176.05	0	53.9	0	34.26	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8232	8	7.5476	8	2325	0	2247	8	599.4	8
5906217	1	C	12/29/2019	16:29	271.055	-58.099	0	999.65	0	2.7771	0	34.4266	0	27.453	0	988.000	0	183.58	0	56.4	0	34.11	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8290	0	7.5507	0	2318	0	2240	0	596.4	0
5906217	1	C	12/29/2019	16:29	271.055	-58.099	0	951.63	0	2.8411	0	34.4074	0	27.432	0	940.647	0	186.71	0	57.4	0	34.05	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8317	8	7.5522	8	2315	0	2236	8	595.3	8
5906217	1	C	12/29/2019	16:29	271.055	-58.099	0	901.47	0	2.9233	0	34.3764	0	27.400	0	891.173	0	191.69	0	59.0	0	33.65	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8371	0	7.5564	0	2311	0	2231	0	590.0	0
5906217	1	C	12/29/2019	16:29	271.055	-58.099	0	851.32	0	2.9972	0	34.3514	0	27.373	0	841.697	0	197.35	0	60.9	0	33.41	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8437	0	7.5616	0	2308	0	2226	0	583.2	0
5906217	1	C	12/29/2019	16:29	271.055	-58.099	0	801.51	0	3.1085	0	34.3329	0	27.348	0	792.544	0	200.73	0	62.1	0	33.00	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8462	0	7.5635	0	2305	0	2222	0	582.5	0
