//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 04:26
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906206
//Univ. of Washington ID: 18821
//MBARI ID: 18821SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 1 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	11426	
//Temperature[°C]	Sbe41cp	11426	
//Salinity[pss]	Sbe41cp	11426	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3079	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L6.A01.0143  Spec#114267 Equitech Ti probe #1804.27  MBARI ARGO float#840  DF#251  CTD#11426	
//Chl_a[mg/m^3]	FLBBAP2	4810	
//Chl_a_corr[mg/m^3]	FLBBAP2	4810	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	4810	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	4810	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	251	
//pH25C[Total]	Durafet	251	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0658	0.0000	0.0000
//Nitrate	2	1.0000	-0.4887	4.1937
//Nitrate	13	1.0000	0.7046	-0.9504
//Nitrate	33	1.0000	0.0648	0.0000
//pH	1	1.0000	-0.0757	-0.8784
//pH	4	1.0000	-0.0861	1.0617
//pH	6	1.0000	-0.0573	0.0000
//pH	17	1.0000	-0.0734	0.0499
//pH	33	1.0000	-0.0561	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906206	1	C	01/12/2020	19:41	57.660	-47.913	0	1399.59	0	2.4198	0	34.7098	0	27.713	0	1383.208	0	182.54	0	55.7	0	-1e10	1	0.0109	0	0.0037	0	0.000286	1	-1E+10	1	1.00	1	7.9034	4	7.6280	4	2343	0	2238	4	479.6	4
5906206	1	C	01/12/2020	19:41	57.660	-47.913	0	1299.52	0	2.4542	0	34.6847	0	27.689	0	1284.614	0	178.23	0	54.4	0	-1e10	1	0.0109	0	0.0037	0	0.000286	1	-1E+10	1	1.00	1	7.8945	4	7.6167	4	2342	0	2241	4	496.1	4
5906206	1	C	01/12/2020	19:41	57.660	-47.913	0	1200.05	0	2.4889	0	34.6598	0	27.666	0	1186.565	0	175.13	0	53.5	0	-1e10	1	0.0073	0	0.0024	0	0.000286	1	-1E+10	1	1.00	1	7.8905	4	7.6100	4	2340	0	2242	4	506.9	4
5906206	1	C	01/12/2020	19:41	57.660	-47.913	0	1099.75	0	2.5658	0	34.6409	0	27.643	0	1087.652	0	174.62	0	53.4	0	-1e10	1	0.0109	0	0.0037	0	0.000299	1	-1E+10	1	1.03	1	7.8897	4	7.6066	4	2339	0	2242	4	513.7	4
5906206	1	C	01/12/2020	19:41	57.660	-47.913	0	1000.34	0	2.6050	0	34.6052	0	27.611	0	989.570	0	172.69	0	52.9	0	-1e10	1	0.0073	0	0.0024	0	0.000286	1	-1E+10	1	1.00	1	7.8844	4	7.5987	4	2336	0	2242	4	526.3	4
5906206	1	C	01/12/2020	19:41	57.660	-47.913	0	951.45	0	2.5924	0	34.5755	0	27.588	0	941.316	0	171.85	0	52.6	0	-1e10	1	0.0146	0	0.0049	0	0.000349	1	-1E+10	1	1.16	1	7.8492	4	7.5650	4	2334	0	2253	4	577.4	4
5906206	1	C	01/12/2020	19:41	57.660	-47.913	0	901.46	0	2.5536	0	34.5511	0	27.571	0	891.965	0	170.97	0	52.3	0	-1e10	1	0.0109	0	0.0037	0	0.000708	1	-1E+10	1	2.09	1	7.8424	4	7.5566	4	2332	0	2254	4	590.1	4
5906206	1	C	01/12/2020	19:41	57.660	-47.913	0	851.89	0	2.5475	0	34.5121	0	27.540	0	843.017	0	171.37	0	52.4	0	-1e10	1	0.0073	0	0.0024	0	0.000311	1	-1E+10	1	1.06	1	7.8354	4	7.5484	4	2329	0	2254	4	603.2	4
5906206	1	C	01/12/2020	19:41	57.660	-47.913	0	801.85	0	2.5825	0	34.4767	0	27.509	0	793.593	0	175.72	0	53.7	0	-1e10	1	0.0109	0	0.0037	0	0.000349	1	-1E+10	1	1.16	1	7.8396	4	7.5509	4	2325	0	2250	4	599.6	4
5906206	1	C	01/12/2020	19:41	57.660	-47.913	0	751.50	0	2.5940	0	34.4496	0	27.486	0	743.851	0	179.14	0	54.8	0	-1e10	1	0.0073	0	0.0024	0	0.000349	1	-1E+10	1	1.16	1	7.8414	4	7.5509	4	2323	0	2247	4	599.8	4
5906206	1	C	01/12/2020	19:41	57.660	-47.913	0	701.36	0	2.6289	0	34.4307	0	27.467	0	694.305	0	181.18	0	55.4	0	-1e10	1	0.0109	0	0.0037	0	0.000337	1	-1E+10	1	1.13	1	7.8433	4	7.5512	4	2321	0	2245	4	600.2	4
5906206	1	C	01/12/2020	19:41	57.660	-47.913	0	651.75	0	2.7057	0	34.3965	0	27.433	0	645.271	0	186.87	0	57.3	0	-1e10	1	0.0109	0	0.0037	0	0.000349	1	-1E+10	1	1.16	1	7.8486	4	7.5552	4	2317	0	2240	4	595.1	4
5906206	1	C	01/12/2020	19:41	57.660	-47.913	0	601.44	0	2.7469	0	34.3670	0	27.406	0	595.533	0	191.98	0	58.9	0	-1e10	1	0.0073	0	0.0024	0	0.000349	1	-1E+10	1	1.16	1	7.8559	4	7.5605	4	2314	0	2235	4	587.2	4
5906206	1	C	01/12/2020	19:41	57.660	-47.913	0	551.74	0	2.7679	0	34.3357	0	27.379	0	546.386	0	197.65	0	60.6	0	-1e10	1	0.0073	0	0.0024	0	0.000362	1	-1E+10	1	1.19	1	7.8603	4	7.5630	4	2310	0	2231	4	583.4	4
5906206	1	C	01/12/2020	19:41	57.660	-47.913	0	501.51	0	2.7859	0	34.2830	0	27.335	0	496.704	0	207.90	0	63.8	0	-1e10	1	0.0073	0	0.0024	0	0.000598	1	-1E+10	1	1.81	1	7.8692	4	7.5694	4	2304	0	2223	4	572.8	4
5906206	1	C	01/12/2020	19:41	57.660	-47.913	0	451.47	0	2.7700	0	34.2415	0	27.303	0	447.197	0	217.04	0	66.5	0	-1e10	1	0.0073	0	0.0024	0	0.000771	1	-1E+10	1	2.26	1	7.8792	4	7.5764	4	2300	0	2217	4	560.9	4
5906206	1	C	01/12/2020	19:41	57.660	-47.913	0	401.88	0	2.8014	0	34.2049	0	27.270	0	398.124	0	225.67	0	69.2	0	-1e10	1	0.0037	0	0.0012	0	0.000375	1	-1E+10	1	1.23	1	7.8879	4	7.5830	4	2296	0	2211	4	551.3	4
5906206	1	C	01/12/2020	19:41	57.660	-47.913	0	381.39	0	2.7964	0	34.1807	0	27.251	0	377.844	0	231.55	0	71.0	0	-1e10	1	0.0037	0	0.0012	0	0.000623	1	-1E+10	1	1.87	1	7.8942	4	7.5879	4	2294	0	2207	4	543.4	4
