//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 04:27
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906226
//Univ. of Washington ID: 18829
//MBARI ID: 18829SOOCN
//No missing float profiles
//No missing data found
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	11527	
//Temperature[°C]	Sbe41cp	11527	
//Salinity[pss]	Sbe41cp	11527	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3105	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#K18.D01.204276  Spec#118373 Equitech Ti probe #1909.01  ARGO float#870  DF#SBE10312  CTD#11527	
//Chl_a[mg/m^3]	FLBBAP2	5527	
//Chl_a_corr[mg/m^3]	FLBBAP2	5527	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	5527	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	5527	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	10312	
//pH25C[Total]	Durafet	10312	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0502	0.0000	0.0000
//Nitrate	1	1.0000	0.4466	-23.8231
//Nitrate	3	1.0000	-0.5718	-0.7799
//Nitrate	31	1.0000	-1.2170	0.0000
//pH	1	1.0000	-0.0087	0.1077
//pH	12	1.0000	0.0232	-0.0091
//pH	29	1.0000	0.0242	0.0000
//
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906226	1	C	01/31/2020	16:54	279.395	-64.962	0	1699.35	0	1.3875	0	34.7223	0	27.803	0	1675.874	0	195.03	0	58.0	0	32.06	0	0.0036	0	0.0012	0	0.000208	1	-1E+10	1	0.80	1	7.8681	4	7.5920	4	2360	0	2265	4	504.3	4
5906226	1	C	01/31/2020	16:54	279.395	-64.962	0	1599.70	0	1.4564	0	34.7237	0	27.799	0	1577.971	0	193.86	0	57.7	0	31.84	0	0.0036	0	0.0012	0	0.000209	1	-1E+10	1	0.80	1	7.8699	4	7.5909	4	2360	0	2265	4	508.0	4
5906226	1	C	01/31/2020	16:54	279.395	-64.962	0	1499.93	0	1.5348	0	34.7247	0	27.793	0	1479.905	0	192.18	0	57.3	0	31.80	0	0.0036	0	0.0012	0	0.000197	1	-1E+10	1	0.77	1	7.8708	4	7.5891	4	2358	0	2264	4	512.7	4
5906226	1	C	01/31/2020	16:54	279.395	-64.962	0	1398.74	0	1.6125	0	34.7253	0	27.788	0	1380.397	0	190.91	0	57.1	0	31.70	0	0.0036	0	0.0012	0	0.000220	1	-1E+10	1	0.83	1	7.8746	4	7.5899	4	2355	0	2260	4	513.4	4
5906226	1	C	01/31/2020	16:54	279.395	-64.962	0	1299.75	0	1.6914	0	34.7252	0	27.781	0	1283.006	0	189.65	0	56.8	0	31.62	0	0.0036	0	0.0012	0	0.000220	1	-1E+10	1	0.83	1	7.8748	4	7.5875	4	2356	0	2263	4	519.7	4
5906226	1	C	01/31/2020	16:54	279.395	-64.962	0	1199.57	0	1.7731	0	34.7220	0	27.772	0	1184.398	0	188.46	0	56.6	0	31.58	0	0.0036	0	0.0012	0	0.000220	1	-1E+10	1	0.83	1	7.8753	8	7.5855	8	2354	0	2261	8	524.7	8
5906226	1	C	01/31/2020	16:54	279.395	-64.962	0	1099.22	0	1.8557	0	34.7178	0	27.762	0	1085.576	0	186.19	0	56.0	0	31.69	0	0.0036	0	0.0012	0	0.000232	1	-1E+10	1	0.86	1	7.8733	4	7.5811	4	2349	0	2258	4	532.9	4
5906226	1	C	01/31/2020	16:54	279.395	-64.962	0	999.88	0	1.9335	0	34.7102	0	27.749	0	987.703	0	183.54	0	55.3	0	31.85	0	0.0036	0	0.0012	0	0.000232	1	-1E+10	1	0.86	1	7.8694	4	7.5750	4	2350	0	2261	4	544.8	4
5906226	1	C	01/31/2020	16:54	279.395	-64.962	0	951.91	0	1.9740	0	34.7052	0	27.742	0	940.425	0	182.19	0	54.9	0	31.94	0	0.0036	0	0.0012	0	0.000232	1	-1E+10	1	0.86	1	7.8506	4	7.5570	4	2349	0	2267	4	573.9	4
5906226	1	C	01/31/2020	16:54	279.395	-64.962	0	901.73	0	2.0046	0	34.7001	0	27.735	0	890.957	0	181.03	0	54.6	0	32.09	0	0.0036	0	0.0012	0	0.000244	1	-1E+10	1	0.89	1	7.8461	4	7.5516	4	2347	0	2267	4	583.5	4
5906226	1	C	01/31/2020	16:54	279.395	-64.962	0	851.67	0	2.0264	0	34.6961	0	27.730	0	841.596	0	179.89	0	54.3	0	32.24	0	0.0036	0	0.0012	0	0.000244	1	-1E+10	1	0.89	1	7.8413	4	7.5457	4	2346	0	2268	4	593.7	4
5906226	1	C	01/31/2020	16:54	279.395	-64.962	0	801.78	0	2.0627	0	34.6874	0	27.720	0	792.390	0	178.77	0	54.0	0	32.37	0	0.0072	0	0.0024	0	0.000221	1	-1E+10	1	0.83	1	7.8386	4	7.5420	4	2344	0	2267	4	600.8	4
5906226	1	C	01/31/2020	16:54	279.395	-64.962	0	751.46	0	2.0927	0	34.6768	0	27.709	0	742.749	0	177.90	0	53.8	0	32.49	0	0.0036	0	0.0012	0	0.000244	1	-1E+10	1	0.89	1	7.8339	4	7.5363	4	2341	0	2267	4	610.8	4
5906226	1	C	01/31/2020	16:54	279.395	-64.962	0	701.51	0	2.1176	0	34.6634	0	27.696	0	693.461	0	176.52	0	53.4	0	32.79	0	0.0036	0	0.0012	0	0.000244	1	-1E+10	1	0.89	1	7.8329	4	7.5339	4	2339	0	2266	4	615.5	4
5906226	1	C	01/31/2020	16:54	279.395	-64.962	0	651.82	0	2.1403	0	34.6519	0	27.685	0	644.418	0	176.16	0	53.3	0	32.97	0	0.0036	0	0.0012	0	0.000244	1	-1E+10	1	0.89	1	7.8266	4	7.5268	4	2340	0	2269	4	629.1	4
5906226	1	C	01/31/2020	16:54	279.395	-64.962	0	601.29	0	2.1494	0	34.6359	0	27.671	0	594.534	0	175.44	0	53.1	0	33.25	0	0.0036	0	0.0012	0	0.000267	1	-1E+10	1	0.95	1	7.8244	4	7.5231	4	2339	0	2270	4	636.2	4
5906226	1	C	01/31/2020	16:54	279.395	-64.962	0	551.45	0	2.1592	0	34.6189	0	27.656	0	545.319	0	175.22	0	53.1	0	33.52	0	0.0036	0	0.0012	0	0.000267	1	-1E+10	1	0.95	1	7.8192	4	7.5168	4	2337	0	2270	4	647.6	4
5906226	1	C	01/31/2020	16:54	279.395	-64.962	0	501.48	0	2.1611	0	34.5996	0	27.640	0	495.964	0	174.94	0	53.0	0	33.61	0	0.0036	0	0.0012	0	0.000255	1	-1E+10	1	0.92	1	7.8158	4	7.5119	4	2336	0	2270	4	656.6	4
