//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 04:30
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906223
//Univ. of Washington ID: 18862
//MBARI ID: 18862SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	11518	
//Temperature[°C]	Sbe41cp	11518	
//Salinity[pss]	Sbe41cp	11518	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3098	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#K18.D01.204280  Spec#118369 Equitech Ti probe #1905.33  ARGO float#864  DF#258  CTD#11518	
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//pHinsitu[Total]	Durafet	258	
//pH25C[Total]	Durafet	258	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0487	0.0000	0.0000
//Nitrate	1	1.0000	-0.5866	-88.2857
//Nitrate	3	1.0000	-3.4242	-3.9787
//Nitrate	11	1.0000	-3.9581	0.0000
//Nitrate	12	1.0000	-2.7767	0.0000
//pH	1	1.0000	-0.0353	-0.4838
//pH	6	1.0000	-0.1077	-0.1569
//pH	12	1.0000	-0.1424	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906223	1	C	03/18/2020	03:29	132.050	-41.018	0	1598.95	0	2.6992	0	34.7420	8	27.716	8	1580.493	0	168.29	8	51.7	8	31.71	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8538	8	-1e10	1	2370	8	 -1e10	1	 -1e10	1
5906223	1	C	03/18/2020	03:29	132.050	-41.018	0	1499.55	0	2.8518	0	34.7007	8	27.669	8	1482.588	0	168.11	8	51.8	8	32.00	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8494	8	-1e10	1	2363	8	 -1e10	1	 -1e10	1
5906223	1	C	03/18/2020	03:29	132.050	-41.018	0	1399.25	0	3.0560	0	34.6630	8	27.620	8	1383.751	0	169.54	8	52.5	8	31.99	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8495	8	-1e10	1	2358	8	 -1e10	1	 -1e10	1
5906223	1	C	03/18/2020	03:29	132.050	-41.018	0	1299.30	0	3.3654	0	34.6167	8	27.554	8	1285.213	0	174.35	8	54.4	8	31.48	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8559	8	-1e10	1	2351	8	 -1e10	1	 -1e10	1
5906223	1	C	03/18/2020	03:29	132.050	-41.018	0	1199.76	0	3.7458	0	34.5799	8	27.487	8	1187.033	0	180.82	8	56.9	8	30.58	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8641	8	-1e10	1	2342	8	 -1e10	1	 -1e10	1
5906223	1	C	03/18/2020	03:29	132.050	-41.018	0	1099.92	0	4.2690	0	34.5340	8	27.396	8	1088.510	0	191.30	8	61.0	8	29.31	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8778	8	-1e10	1	2330	8	 -1e10	1	 -1e10	1
5906223	1	C	03/18/2020	03:29	132.050	-41.018	0	999.69	0	4.7898	0	34.5041	8	27.315	8	989.556	0	202.12	8	65.2	8	27.82	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8908	8	-1e10	1	2318	8	 -1e10	1	 -1e10	1
5906223	1	C	03/18/2020	03:29	132.050	-41.018	0	951.54	0	5.1915	0	34.5149	8	27.278	8	942.003	0	202.86	8	66.1	8	26.99	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8882	8	-1e10	1	2315	8	 -1e10	1	 -1e10	1
5906223	1	C	03/18/2020	03:29	132.050	-41.018	0	901.66	0	5.6003	0	34.5326	8	27.243	8	892.729	0	202.41	8	66.6	8	26.13	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8919	8	-1e10	1	2312	8	 -1e10	1	 -1e10	1
5906223	1	C	03/18/2020	03:29	132.050	-41.018	0	851.25	0	6.1582	0	34.5585	8	27.194	8	842.920	0	202.42	8	67.4	8	25.02	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8956	8	-1e10	1	2308	8	 -1e10	1	 -1e10	1
5906223	1	C	03/18/2020	03:29	132.050	-41.018	0	801.54	0	6.6493	0	34.5851	8	27.150	8	793.791	0	203.36	8	68.5	8	23.67	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9019	8	-1e10	1	2305	8	 -1e10	1	 -1e10	1
5906223	1	C	03/18/2020	03:29	132.050	-41.018	0	751.83	0	7.1077	0	34.6102	8	27.107	8	744.650	0	206.85	8	70.5	8	22.45	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9107	8	-1e10	1	2302	8	 -1e10	1	 -1e10	1
5906223	1	C	03/18/2020	03:29	132.050	-41.018	0	701.79	0	7.6736	0	34.6461	8	27.055	8	695.171	0	215.75	8	74.5	8	20.34	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9289	8	-1e10	1	2299	8	 -1e10	1	 -1e10	1
