//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 04:31
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906211
//Univ. of Washington ID: 18864
//MBARI ID: 18864SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 22 23 24 25 26 27 28 29 30 31 32 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 1 2 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	11520	
//Temperature[°C]	Sbe41cp	11520	
//Salinity[pss]	Sbe41cp	11520	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3100	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L6.A01.0145  Spec#114279 Equitech Ti probe #1905.23  MBARI ARGO float#851  DF#SBE03  CTD#11520	
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//pHinsitu[Total]	Durafet		
//pH25C[Total]	Durafet		estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0713	0.0000	0.0000
//Nitrate	3	1.0000	1.5539	-42.4277
//Nitrate	5	1.0000	0.4844	-1.0466
//Nitrate	33	1.0000	-0.2235	0.0000
//pH	1	1.0000	-0.0187	0.0000
//pH	31	1.0000	-0.0298	-0.0614
//pH	33	1.0000	-0.0308	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906211	1	C	01/18/2020	20:57	55.253	-58.199	0	1699.25	0	1.0789	0	34.7165	0	27.819	0	1676.650	0	207.62	0	61.2	0	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9016	4	7.6185	4	2354	0	2252	4	463.4	4
5906211	1	C	01/18/2020	20:57	55.253	-58.199	0	1600.34	0	1.1639	0	34.7211	0	27.817	0	1579.424	0	206.70	0	61.1	0	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9067	4	7.6206	4	2353	0	2251	4	463.0	4
5906211	1	C	01/18/2020	20:57	55.253	-58.199	0	1499.42	0	1.2500	0	34.7257	0	27.814	0	1480.176	0	206.31	0	61.1	0	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9084	4	7.6197	4	2353	0	2251	4	466.5	4
5906211	1	C	01/18/2020	20:57	55.253	-58.199	0	1399.98	0	1.3335	0	34.7282	0	27.810	0	1382.337	0	204.45	0	60.7	0	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9112	4	7.6198	4	2352	0	2250	4	468.8	4
5906211	1	C	01/18/2020	20:57	55.253	-58.199	0	1299.85	0	1.4318	0	34.7312	0	27.805	0	1283.774	0	203.27	0	60.5	0	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9149	4	7.6208	4	2351	0	2248	4	470.0	4
5906211	1	C	01/18/2020	20:57	55.253	-58.199	0	1199.69	0	1.5269	0	34.7345	0	27.800	0	1185.134	0	202.09	0	60.3	0	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9184	4	7.6216	4	2351	0	2248	4	471.6	4
5906211	1	C	01/18/2020	20:57	55.253	-58.199	0	1099.86	0	1.6207	0	34.7337	0	27.792	0	1086.774	0	199.51	0	59.7	0	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9141	4	7.6153	4	2350	0	2250	4	482.5	4
5906211	1	C	01/18/2020	20:57	55.253	-58.199	0	999.59	0	1.7015	0	34.7307	0	27.783	0	987.933	0	196.66	0	58.9	0	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9159	4	7.6145	4	2350	0	2250	4	486.2	4
5906211	1	C	01/18/2020	20:57	55.253	-58.199	0	951.75	0	1.7380	0	34.7279	0	27.778	0	940.758	0	194.77	0	58.4	0	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9056	4	7.6039	4	2350	0	2253	4	501.7	4
5906211	1	C	01/18/2020	20:57	55.253	-58.199	0	901.76	0	1.7842	0	34.7259	0	27.773	0	891.452	0	193.05	0	58.0	0	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9016	4	7.5991	4	2349	0	2255	4	509.8	4
5906211	1	C	01/18/2020	20:57	55.253	-58.199	0	851.26	0	1.8402	0	34.7239	0	27.767	0	841.631	0	191.58	0	57.6	0	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8966	4	7.5935	4	2349	0	2256	4	519.3	4
5906211	1	C	01/18/2020	20:57	55.253	-58.199	0	801.83	0	1.8568	0	34.7174	0	27.760	0	792.853	0	189.35	0	56.9	0	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8931	4	7.5887	4	2348	0	2258	4	526.9	4
5906211	1	C	01/18/2020	20:57	55.253	-58.199	0	751.78	0	1.8932	0	34.7138	0	27.754	0	743.453	0	187.73	0	56.5	0	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8926	4	7.5869	4	2348	0	2258	4	530.7	4
