//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 04:32
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906210
//Univ. of Washington ID: 18994
//MBARI ID: 18994SOOCN
//No missing float profiles
//No missing data found
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	11430	
//Temperature[°C]	Sbe41cp	11430	
//Salinity[pss]	Sbe41cp	11430	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3083	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L6.A01.0104  Spec#114271 Equitech Ti probe #1804.30  MBARI ARGO float#841  DF#SBE9  CTD#11430	
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//pHinsitu[Total]	Durafet		
//pH25C[Total]	Durafet		estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0541	0.0000	0.0000
//Nitrate	1	1.0000	0.6802	-39.0669
//Nitrate	3	1.0000	-0.5830	-0.6928
//Nitrate	12	1.0000	-0.6390	0.0000
//pH	1	1.0000	-0.0336	-0.4833
//pH	3	1.0000	-0.0466	0.0895
//pH	12	1.0000	-0.0260	0.0000
//
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906210	1	C	01/21/2020	12:11	53.725	-63.511	0	1699.08	0	0.6510	0	34.7065	0	27.838	0	1675.784	0	208.62	0	60.8	0	32.44	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9186	4	7.6272	4	2358	0	2250	4	443.3	4
5906210	1	C	01/21/2020	12:11	53.725	-63.511	0	1599.95	0	0.7082	0	34.7092	0	27.836	0	1578.382	0	207.14	0	60.5	0	32.19	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9218	4	7.6272	4	2358	0	2250	4	445.1	4
5906210	1	C	01/21/2020	12:11	53.725	-63.511	0	1499.34	0	0.7889	0	34.7130	0	27.834	0	1479.480	0	206.72	0	60.5	0	31.94	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9263	4	7.6287	4	2358	0	2248	4	445.4	4
5906210	1	C	01/21/2020	12:11	53.725	-63.511	0	1399.57	0	0.8560	0	34.7174	0	27.833	0	1381.358	0	206.29	0	60.5	0	31.85	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9318	4	7.6309	4	2357	0	2247	4	444.6	4
5906210	1	C	01/21/2020	12:11	53.725	-63.511	0	1299.29	0	0.9263	0	34.7199	0	27.830	0	1282.688	0	205.56	0	60.4	0	31.58	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9347	4	7.6308	4	2357	0	2247	4	446.8	4
5906210	1	C	01/21/2020	12:11	53.725	-63.511	0	1200.09	0	0.9956	0	34.7229	0	27.827	0	1185.034	0	204.55	0	60.2	0	31.49	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9367	4	7.6300	4	2356	0	2247	4	449.8	4
5906210	1	C	01/21/2020	12:11	53.725	-63.511	0	1099.65	0	1.1031	0	34.7286	0	27.824	0	1086.114	0	203.65	0	60.1	0	31.27	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9405	4	7.6312	4	2356	0	2246	4	451.0	4
5906210	1	C	01/21/2020	12:11	53.725	-63.511	0	999.81	0	1.1974	0	34.7322	0	27.821	0	987.738	0	202.40	0	59.9	0	30.98	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9417	4	7.6300	4	2355	0	2246	4	455.1	4
5906210	1	C	01/21/2020	12:11	53.725	-63.511	0	951.58	0	1.2444	0	34.7337	0	27.818	0	940.198	0	201.64	0	59.7	0	30.98	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9198	4	7.6090	4	2355	0	2253	4	483.6	4
5906210	1	C	01/21/2020	12:11	53.725	-63.511	0	901.56	0	1.2852	0	34.7324	0	27.814	0	890.883	0	200.71	0	59.5	0	30.96	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9170	4	7.6052	4	2354	0	2254	4	490.0	4
5906210	1	C	01/21/2020	12:11	53.725	-63.511	0	851.46	0	1.3376	0	34.7343	0	27.812	0	841.477	0	199.67	0	59.3	0	30.93	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9170	4	7.6040	4	2354	0	2255	4	493.0	4
5906210	1	C	01/21/2020	12:11	53.725	-63.511	0	801.71	0	1.3968	0	34.7356	0	27.809	0	792.405	0	198.42	0	59.0	0	30.84	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9147	4	7.6010	4	2354	0	2255	4	498.9	4
5906210	1	C	01/21/2020	12:11	53.725	-63.511	0	751.39	0	1.4152	0	34.7317	0	27.804	0	742.758	0	196.70	0	58.5	0	31.11	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9106	4	7.5957	4	2354	0	2257	4	507.0	4
