//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 04:32
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906303
//Univ. of Washington ID: 19017
//MBARI ID: 19017EqPacE
//No missing float profiles
//No missing data found
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	12310	
//Temperature[°C]	Sbe41cp	12310	
//Salinity[pss]	Sbe41cp	12310	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3271	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]			
//Chl_a[mg/m^3]	FLBBAP2	5965	
//Chl_a_corr[mg/m^3]	FLBBAP2	5965	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	5965	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	5965	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	10402	
//pH25C[Total]	Durafet	10402	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0559	0.0000	0.0000
//pH	1	1.0000	0.0204	-0.2151
//pH	4	1.0000	-0.0336	0.0000
//pH	7	1.0000	-0.1242	-0.2099
//pH	10	1.0000	-0.1377	0.0000
//
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906303	1	C	09/14/2020	19:49	179.991	4.937	0	1698.95	0	2.7427	0	34.6176	0	27.614	0	1682.701	0	87.22	0	26.8	0	-1E+10	1	0.0036	0	0.0036	0	0.000304	1	-1E+10	1	1.04	1	7.7113	0	7.4718	0	2405	0	2355	0	757.5	0
5906303	1	C	09/14/2020	19:49	179.991	4.937	0	1599.63	0	2.9132	0	34.6078	0	27.590	0	1584.702	0	86.80	0	26.8	0	-1E+10	1	0.0108	0	0.0108	0	0.000293	1	-1E+10	1	1.01	1	7.7127	0	7.4716	0	2399	0	2350	0	762.8	0
5906303	1	C	09/14/2020	19:49	179.991	4.937	0	1499.51	0	3.1641	0	34.5993	0	27.560	0	1485.868	0	80.29	0	24.9	0	-1E+10	1	0.0036	0	0.0036	0	0.000293	1	-1E+10	1	1.02	1	7.7017	0	7.4615	0	2394	0	2348	0	792.3	0
5906303	1	C	09/14/2020	19:49	179.991	4.937	0	1399.75	0	3.3554	0	34.5921	0	27.536	0	1387.343	0	78.03	0	24.3	0	-1E+10	1	0.0108	0	0.0108	0	0.000317	1	-1E+10	1	1.08	1	7.6979	0	7.4570	0	2389	0	2345	0	808.1	0
5906303	1	C	09/14/2020	19:49	179.991	4.937	0	1299.58	0	3.5558	0	34.5848	0	27.510	0	1288.367	0	77.55	0	24.3	0	-1E+10	1	0.0072	0	0.0072	0	0.000317	1	-1E+10	1	1.08	1	7.6983	0	7.4564	0	2383	0	2340	0	815.8	0
5906303	1	C	09/14/2020	19:49	179.991	4.937	0	1199.44	0	3.8949	0	34.5726	0	27.466	0	1189.373	0	75.69	0	23.9	0	-1E+10	1	0.0108	0	0.0108	0	0.000353	1	-1E+10	1	1.17	1	7.6960	0	7.4551	0	2375	0	2332	0	828.6	0
5906303	1	C	09/14/2020	19:49	179.991	4.937	0	1099.95	0	4.2588	0	34.5640	0	27.421	0	1090.977	0	69.52	0	22.1	0	-1E+10	1	0.0108	0	0.0108	0	0.000330	1	-1E+10	1	1.11	1	7.6811	0	7.4430	0	2367	0	2329	0	868.4	0
5906303	1	C	09/14/2020	19:49	179.991	4.937	0	999.63	0	4.8239	0	34.5529	0	27.350	0	991.712	0	58.25	0	18.8	0	-1E+10	1	0.0108	0	0.0108	0	0.000308	1	-1E+10	1	1.05	1	7.6541	0	7.4229	0	2356	0	2325	0	937.0	0
5906303	1	C	09/14/2020	19:49	179.991	4.937	0	951.83	0	5.0612	0	34.5496	0	27.320	0	944.398	0	52.91	0	17.2	0	-1E+10	1	0.0144	0	0.0144	0	0.000332	1	-1E+10	1	1.12	1	7.6431	0	7.4144	0	2352	0	2323	0	967.6	0
5906303	1	C	09/14/2020	19:49	179.991	4.937	0	901.12	0	5.2992	0	34.5463	0	27.290	0	894.193	0	55.78	0	18.2	0	-1E+10	1	0.0108	0	0.0108	0	0.000332	1	-1E+10	1	1.12	1	7.6463	0	7.4184	0	2347	0	2316	0	964.6	0
5906303	1	C	09/14/2020	19:49	179.991	4.937	0	851.42	0	5.5019	0	34.5419	0	27.262	0	844.975	0	65.55	0	21.5	0	-1E+10	1	0.0108	0	0.0108	0	0.000379	1	-1E+10	1	1.24	1	7.6720	0	7.4420	0	2340	0	2302	0	909.5	0
5906303	1	C	09/14/2020	19:49	179.991	4.937	0	801.82	0	5.8251	0	34.5425	0	27.222	0	795.845	0	65.21	0	21.6	0	-1E+10	1	0.0072	0	0.0072	0	0.000321	1	-1E+10	1	1.09	1	7.6622	0	7.4356	0	2334	0	2298	0	936.3	0
5906303	1	C	09/14/2020	19:49	179.991	4.937	0	751.88	0	6.2342	0	34.5517	0	27.177	0	746.366	0	54.97	0	18.3	0	-1E+10	1	0.0108	0	0.0108	0	0.000346	1	-1E+10	1	1.15	1	7.6364	0	7.4160	0	2330	0	2300	0	1003.3	0
5906303	1	C	09/14/2020	19:49	179.991	4.937	0	701.36	0	6.6012	0	34.5580	0	27.134	0	696.301	0	47.10	0	15.9	0	-1E+10	1	0.0108	0	0.0108	0	0.000369	1	-1E+10	1	1.21	1	7.6260	0	7.4096	0	2326	0	2299	0	1035.6	0
5906303	1	C	09/14/2020	19:49	179.991	4.937	0	651.67	0	6.9317	0	34.5674	0	27.096	0	647.047	0	41.03	0	13.9	0	-1E+10	1	0.0108	0	0.0108	0	0.000358	1	-1E+10	1	1.18	1	7.6135	0	7.4007	0	2323	0	2298	0	1074.0	0
5906303	1	C	09/14/2020	19:49	179.991	4.937	0	601.55	0	7.3644	0	34.5780	0	27.044	0	597.354	0	38.19	0	13.1	0	-1E+10	1	0.0072	0	0.0072	0	0.000347	1	-1E+10	1	1.16	1	7.6093	0	7.4006	0	2319	0	2295	0	1092.2	0
5906303	1	C	09/14/2020	19:49	179.991	4.937	0	551.79	0	7.7977	0	34.5926	0	26.992	0	548.007	0	55.49	0	19.2	0	-1E+10	1	0.0072	0	0.0072	0	0.000360	1	-1E+10	1	1.19	1	7.6411	0	7.4329	0	2313	0	2278	0	1016.0	0
