//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 04:33
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906301
//Univ. of Washington ID: 19090
//MBARI ID: 19090EqPacW
//No missing float profiles
//No missing data found
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	12305	
//Temperature[°C]	Sbe41cp	12305	
//Salinity[pss]	Sbe41cp	12305	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3269	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]			
//Chl_a[mg/m^3]	FLBBAP2	5963	
//Chl_a_corr[mg/m^3]	FLBBAP2	5963	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	5963	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	5963	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	10410	
//pH25C[Total]	Durafet	10410	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0651	0.0000	0.0000
//pH	1	1.0000	0.0146	-0.2558
//pH	3	1.0000	0.0098	0.0550
//pH	11	1.0000	0.0197	0.0000
//
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906301	1	C	08/31/2020	23:26	165.161	5.129	0	1699.52	0	2.6647	0	34.6160	0	27.619	0	1683.258	0	95.05	0	29.1	0	-1E+10	1	0.0073	0	0.0073	0	0.000281	1	-1E+10	1	0.98	1	7.7370	0	7.4933	0	2404	0	2348	0	712.1	0
5906301	1	C	08/31/2020	23:26	165.161	5.129	0	1599.46	0	2.8198	0	34.6093	0	27.600	0	1584.529	0	90.97	0	28.0	0	-1E+10	1	0.0109	0	0.0109	0	0.000305	1	-1E+10	1	1.05	1	7.7291	0	7.4848	0	2401	0	2347	0	734.0	0
5906301	1	C	08/31/2020	23:26	165.161	5.129	0	1499.22	0	2.9820	0	34.6022	0	27.579	0	1485.577	0	88.52	0	27.4	0	-1E+10	1	0.0073	0	0.0073	0	0.000281	1	-1E+10	1	0.98	1	7.7270	0	7.4814	0	2397	0	2344	0	745.8	0
5906301	1	C	08/31/2020	23:26	165.161	5.129	0	1399.65	0	3.2606	0	34.5913	0	27.544	0	1387.240	0	85.01	0	26.4	0	-1E+10	1	0.0109	0	0.0109	0	0.000294	1	-1E+10	1	1.02	1	7.7178	0	7.4733	0	2390	0	2341	0	771.0	0
5906301	1	C	08/31/2020	23:26	165.161	5.129	0	1299.76	0	3.5448	0	34.5822	0	27.509	0	1288.541	0	80.58	0	25.2	0	-1E+10	1	0.0073	0	0.0073	0	0.000330	1	-1E+10	1	1.11	1	7.7113	0	7.4677	0	2384	0	2337	0	791.6	0
5906301	1	C	08/31/2020	23:26	165.161	5.129	0	1199.88	0	3.8022	0	34.5738	0	27.477	0	1189.805	0	81.52	0	25.7	0	-1E+10	1	0.0109	0	0.0109	0	0.000307	1	-1E+10	1	1.05	1	7.7159	0	7.4715	0	2377	0	2329	0	790.7	0
5906301	1	C	08/31/2020	23:26	165.161	5.129	0	1099.79	0	4.1862	0	34.5633	0	27.428	0	1090.815	0	70.95	0	22.6	0	-1E+10	1	0.0146	0	0.0146	0	0.000308	1	-1E+10	1	1.05	1	7.6891	0	7.4492	0	2370	0	2329	0	853.5	0
5906301	1	C	08/31/2020	23:26	165.161	5.129	0	999.72	0	4.6581	0	34.5517	0	27.368	0	991.798	0	74.62	0	24.0	0	-1E+10	1	0.0146	0	0.0146	0	0.000297	1	-1E+10	1	1.02	1	7.6929	0	7.4550	0	2358	0	2315	0	853.5	0
5906301	1	C	08/31/2020	23:26	165.161	5.129	0	951.55	0	4.9228	0	34.5462	0	27.333	0	944.118	0	76.03	0	24.6	0	-1E+10	1	0.0073	0	0.0073	0	0.000333	1	-1E+10	1	1.12	1	7.6900	0	7.4541	0	2351	0	2309	0	863.3	0
5906301	1	C	08/31/2020	23:26	165.161	5.129	0	901.43	0	5.2634	0	34.5397	0	27.289	0	894.497	0	77.22	0	25.2	0	-1E+10	1	0.0073	0	0.0073	0	0.000393	1	-1E+10	1	1.27	1	7.6866	0	7.4537	0	2344	0	2302	0	874.4	0
5906301	1	C	08/31/2020	23:26	165.161	5.129	0	851.78	0	5.5203	0	34.5398	0	27.258	0	845.329	0	69.28	0	22.7	0	-1E+10	1	0.0109	0	0.0109	0	0.000334	1	-1E+10	1	1.12	1	7.6699	0	7.4403	0	2340	0	2303	0	916.1	0
5906301	1	C	08/31/2020	23:26	165.161	5.129	0	801.38	0	5.8340	0	34.5396	0	27.219	0	795.407	0	62.67	0	20.7	0	-1E+10	1	0.0073	0	0.0073	0	0.000346	1	-1E+10	1	1.15	1	7.6537	0	7.4282	0	2336	0	2303	0	958.5	0
5906301	1	C	08/31/2020	23:26	165.161	5.129	0	751.57	0	6.1061	0	34.5393	0	27.184	0	746.057	0	64.16	0	21.3	0	-1E+10	1	0.0109	0	0.0109	0	0.000347	1	-1E+10	1	1.15	1	7.6608	0	7.4362	0	2332	0	2295	0	946.9	0
5906301	1	C	08/31/2020	23:26	165.161	5.129	0	701.67	0	6.4849	0	34.5434	0	27.138	0	696.606	0	56.30	0	18.9	0	-1E+10	1	0.0109	0	0.0109	0	0.000323	1	-1E+10	1	1.09	1	7.6450	0	7.4251	0	2328	0	2295	0	990.3	0
5906301	1	C	08/31/2020	23:26	165.161	5.129	0	651.80	0	6.9652	0	34.5567	0	27.083	0	647.173	0	59.78	0	20.3	0	-1E+10	1	0.0109	0	0.0109	0	0.000312	1	-1E+10	1	1.07	1	7.6396	0	7.4245	0	2321	0	2289	0	1009.0	0
5906301	1	C	08/31/2020	23:26	165.161	5.129	0	601.75	0	7.3265	0	34.5612	0	27.036	0	597.551	0	52.79	0	18.1	0	-1E+10	1	0.0109	0	0.0109	0	0.000360	1	-1E+10	1	1.19	1	7.6453	0	7.4324	0	2319	0	2284	0	1001.8	0
5906301	1	C	08/31/2020	23:26	165.161	5.129	0	551.85	0	7.8158	0	34.5847	0	26.984	0	548.064	0	54.96	0	19.0	0	-1E+10	1	0.0109	0	0.0109	0	0.000349	1	-1E+10	1	1.16	1	7.6576	0	7.4480	0	2315	0	2274	0	978.2	0
