//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 04:34
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906300
//Univ. of Washington ID: 19412
//MBARI ID: 19412EqPacW
//No missing float profiles
//No missing data found
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	12307	
//Temperature[°C]	Sbe41cp	12307	
//Salinity[pss]	Sbe41cp	12307	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3268	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]			
//Chl_a[mg/m^3]	FLBBAP2	5962	
//Chl_a_corr[mg/m^3]	FLBBAP2	5962	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	5962	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	5962	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	10418	
//pH25C[Total]	Durafet	10418	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0695	0.0000	0.0000
//pH	1	1.0000	0.0382	3.0414
//pH	3	1.0000	0.0507	0.0108
//pH	11	1.0000	0.0510	0.0000
//
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906300	1	C	09/02/2020	03:51	164.882	2.098	0	1697.55	0	2.8552	0	34.6071	0	27.596	0	1681.373	0	107.69	0	33.2	0	-1E+10	1	0.0073	0	0.0073	0	0.000422	1	-1E+10	1	1.35	1	7.7553	0	7.5119	0	2395	0	2332	0	680.0	0
5906300	1	C	09/02/2020	03:51	164.882	2.098	0	1599.23	0	2.9348	0	34.6033	0	27.585	0	1584.358	0	100.33	0	31.0	0	-1E+10	1	0.0073	0	0.0073	0	0.000422	1	-1E+10	1	1.35	1	7.7500	0	7.5047	0	2395	0	2334	0	697.0	0
5906300	1	C	09/02/2020	03:51	164.882	2.098	0	1500.18	0	3.0749	0	34.5978	0	27.567	0	1486.577	0	97.33	0	30.1	0	-1E+10	1	0.0073	0	0.0073	0	0.000519	1	-1E+10	1	1.60	1	7.7426	0	7.4964	0	2392	0	2334	0	717.7	0
5906300	1	C	09/02/2020	03:51	164.882	2.098	0	1399.92	0	3.3381	0	34.5874	0	27.534	0	1387.555	0	95.56	0	29.8	0	-1E+10	1	0.0109	0	0.0109	0	0.000423	1	-1E+10	1	1.35	1	7.7380	0	7.4922	0	2386	0	2329	0	733.5	0
5906300	1	C	09/02/2020	03:51	164.882	2.098	0	1299.62	0	3.5788	0	34.5788	0	27.503	0	1288.447	0	95.46	0	29.9	0	-1E+10	1	0.0109	0	0.0109	0	0.000472	1	-1E+10	1	1.48	1	7.7369	0	7.4908	0	2379	0	2324	0	743.1	0
5906300	1	C	09/02/2020	03:51	164.882	2.098	0	1200.28	0	3.8386	0	34.5709	0	27.471	0	1190.242	0	97.31	0	30.7	0	-1E+10	1	0.0109	0	0.0109	0	0.001074	1	-1E+10	1	3.05	1	7.7420	0	7.4951	0	2373	0	2316	0	741.2	0
5906300	1	C	09/02/2020	03:51	164.882	2.098	0	1099.88	0	4.1763	0	34.5594	0	27.426	0	1090.942	0	93.59	0	29.8	0	-1E+10	1	0.0146	0	0.0146	0	0.000509	1	-1E+10	1	1.58	1	7.7309	0	7.4861	0	2364	0	2311	0	769.5	0
5906300	1	C	09/02/2020	03:51	164.882	2.098	0	999.84	0	4.5598	0	34.5539	0	27.380	0	991.952	0	98.37	0	31.6	0	-1E+10	1	0.0109	0	0.0109	0	0.000510	1	-1E+10	1	1.58	1	7.7405	0	7.4960	0	2355	0	2298	0	759.0	0
5906300	1	C	09/02/2020	03:51	164.882	2.098	0	951.87	0	4.7258	0	34.5448	0	27.354	0	944.468	0	100.43	0	32.4	0	-1E+10	1	0.0073	0	0.0073	0	0.000486	1	-1E+10	1	1.52	1	7.7150	0	7.4738	0	2350	0	2301	0	811.4	0
5906300	1	C	09/02/2020	03:51	164.882	2.098	0	901.48	0	4.8812	0	34.5400	0	27.333	0	894.578	0	103.25	0	33.4	0	-1E+10	1	0.0109	0	0.0109	0	0.000498	1	-1E+10	1	1.55	1	7.7164	0	7.4752	0	2345	0	2296	0	812.5	0
5906300	1	C	09/02/2020	03:51	164.882	2.098	0	851.65	0	5.0906	0	34.5389	0	27.308	0	845.230	0	99.23	0	32.2	0	-1E+10	1	0.0109	0	0.0109	0	0.000631	1	-1E+10	1	1.89	1	7.7045	0	7.4656	0	2342	0	2296	0	841.0	0
5906300	1	C	09/02/2020	03:51	164.882	2.098	0	801.78	0	5.3895	0	34.5335	0	27.268	0	795.831	0	100.54	0	32.9	0	-1E+10	1	0.0037	0	0.0037	0	0.000475	1	-1E+10	1	1.49	1	7.7065	0	7.4694	0	2336	0	2288	0	841.0	0
5906300	1	C	09/02/2020	03:51	164.882	2.098	0	751.77	0	5.8425	0	34.5340	0	27.213	0	746.281	0	93.49	0	30.9	0	-1E+10	1	0.0037	0	0.0037	0	0.000464	1	-1E+10	1	1.46	1	7.6824	0	7.4520	0	2330	0	2288	0	897.2	0
5906300	1	C	09/02/2020	03:51	164.882	2.098	0	701.23	0	6.3558	0	34.5356	0	27.148	0	696.195	0	89.87	0	30.1	0	-1E+10	1	0.0073	0	0.0073	0	0.000441	1	-1E+10	1	1.40	1	7.6781	0	7.4530	0	2323	0	2281	0	912.0	0
5906300	1	C	09/02/2020	03:51	164.882	2.098	0	651.11	0	6.8182	0	34.5450	0	27.094	0	646.512	0	91.28	0	30.9	0	-1E+10	1	0.0073	0	0.0073	0	0.000453	1	-1E+10	1	1.43	1	7.6700	0	7.4499	0	2318	0	2277	0	935.8	0
5906300	1	C	09/02/2020	03:51	164.882	2.098	0	601.85	0	7.3341	0	34.5636	0	27.037	0	597.671	0	70.97	0	24.3	0	-1E+10	1	0.0109	0	0.0109	0	0.000454	1	-1E+10	1	1.43	1	7.6421	0	7.4297	0	2317	0	2283	0	1009.9	0
5906300	1	C	09/02/2020	03:51	164.882	2.098	0	551.74	0	8.0968	0	34.5819	0	26.940	0	547.975	0	88.36	0	30.8	0	-1E+10	1	0.0073	0	0.0073	0	0.000455	1	-1E+10	1	1.44	1	7.6799	0	7.4717	0	2309	0	2261	0	926.6	0
