//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 04:34
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906302
//Univ. of Washington ID: 19644
//MBARI ID: 19644EqPacE
//No missing float profiles
//Missing Float data detected for adjusted station(s): 1 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	12309	
//Temperature[°C]	Sbe41cp	12309	
//Salinity[pss]	Sbe41cp	12309	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3270	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]			
//Chl_a[mg/m^3]	FLBBAP2	5964	
//Chl_a_corr[mg/m^3]	FLBBAP2	5964	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	5964	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	5964	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	278	
//pH25C[Total]	Durafet	278	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0699	0.0000	0.0000
//pH	1	1.0000	0.0253	-0.8219
//pH	3	1.0000	-0.0016	-0.0321
//pH	9	1.0000	-0.0026	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906302	1	C	09/16/2020	04:05	179.919	2.060	0	1599.81	0	2.9196	0	34.6035	0	27.586	0	1584.931	0	93.31	0	28.8	0	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	7.7285	0	7.4856	0	2397	0	2343	0	734.2	0
5906302	1	C	09/16/2020	04:05	179.919	2.060	0	1499.85	0	3.0631	0	34.5967	0	27.567	0	1486.251	0	91.56	0	28.3	0	-1E+10	1	-1e10	1	-1e10	1	-1e10	1	-1E+10	1	-1e10	1	7.7261	0	7.4818	0	2393	0	2340	0	746.4	0
5906302	1	C	09/16/2020	04:05	179.919	2.060	0	1399.68	0	3.2299	0	34.5905	0	27.546	0	1387.318	0	89.57	0	27.8	0	-1E+10	1	0.0109	0	0.0109	0	0.000506	1	-1E+10	1	1.57	1	7.7206	0	7.4754	0	2388	0	2338	0	764.8	0
5906302	1	C	09/16/2020	04:05	179.919	2.060	0	1299.87	0	3.4960	0	34.5810	0	27.513	0	1288.695	0	84.26	0	26.4	0	-1E+10	1	0.0146	0	0.0146	0	0.000412	1	-1E+10	1	1.32	1	7.7076	0	7.4638	0	2382	0	2336	0	798.0	0
5906302	1	C	09/16/2020	04:05	179.919	2.060	0	1200.32	0	3.7915	0	34.5713	0	27.476	0	1190.282	0	86.63	0	27.3	0	-1E+10	1	0.0182	0	0.0182	0	0.000424	1	-1E+10	1	1.36	1	7.7120	0	7.4679	0	2374	0	2326	0	797.1	0
5906302	1	C	09/16/2020	04:05	179.919	2.060	0	1100.06	0	4.2336	0	34.5592	0	27.420	0	1091.121	0	82.83	0	26.4	0	-1E+10	1	0.0146	0	0.0146	0	0.000413	1	-1E+10	1	1.33	1	7.7004	0	7.4598	0	2364	0	2319	0	828.3	0
5906302	1	C	09/16/2020	04:05	179.919	2.060	0	999.80	0	4.6243	0	34.5480	0	27.369	0	991.912	0	87.42	0	28.1	0	-1E+10	1	0.0109	0	0.0109	0	0.000485	1	-1E+10	1	1.51	1	7.7179	0	7.4768	0	2353	0	2303	0	800.8	0
5906302	1	C	09/16/2020	04:05	179.919	2.060	0	951.48	0	4.7899	0	34.5438	0	27.346	0	944.082	0	92.03	0	29.7	0	-1E+10	1	0.0109	0	0.0109	0	0.000438	1	-1E+10	1	1.39	1	7.7132	0	7.4730	0	2348	0	2299	0	813.7	0
5906302	1	C	09/16/2020	04:05	179.919	2.060	0	901.49	0	5.0109	0	34.5391	0	27.317	0	894.588	0	93.76	0	30.4	0	-1E+10	1	0.0146	0	0.0146	0	0.000450	1	-1E+10	1	1.42	1	7.7134	0	7.4743	0	2342	0	2293	0	817.0	0
5906302	1	C	09/16/2020	04:05	179.919	2.060	0	851.19	0	5.2880	0	34.5380	0	27.284	0	844.775	0	83.64	0	27.3	0	-1E+10	1	0.0146	0	0.0146	0	0.000463	1	-1E+10	1	1.46	1	7.6907	0	7.4559	0	2339	0	2296	0	868.8	0
5906302	1	C	09/16/2020	04:05	179.919	2.060	0	801.82	0	5.5213	0	34.5382	0	27.256	0	795.871	0	73.13	0	24.0	0	-1E+10	1	0.0146	0	0.0146	0	0.000416	1	-1E+10	1	1.33	1	7.6763	0	7.4442	0	2337	0	2298	0	905.7	0
5906302	1	C	09/16/2020	04:05	179.919	2.060	0	751.36	0	5.9717	0	34.5359	0	27.198	0	745.875	0	83.53	0	27.7	0	-1E+10	1	0.0109	0	0.0109	0	0.000488	1	-1E+10	1	1.52	1	7.6886	0	7.4592	0	2327	0	2283	0	882.2	0
5906302	1	C	09/16/2020	04:05	179.919	2.060	0	701.92	0	6.3124	0	34.5381	0	27.156	0	696.879	0	92.30	0	30.9	0	-1E+10	1	0.0073	0	0.0073	0	0.000488	1	-1E+10	1	1.52	1	7.7111	0	7.4820	0	2321	0	2269	0	838.8	0
5906302	1	C	09/16/2020	04:05	179.919	2.060	0	651.84	0	6.8079	0	34.5522	0	27.101	0	647.236	0	67.39	0	22.8	0	-1E+10	1	0.0109	0	0.0109	0	0.000465	1	-1E+10	1	1.46	1	7.6634	0	7.4438	0	2319	0	2281	0	950.4	0
5906302	1	C	09/16/2020	04:05	179.919	2.060	0	601.47	0	7.4157	0	34.5672	0	27.028	0	597.294	0	74.48	0	25.5	0	-1E+10	1	0.0109	0	0.0109	0	0.000478	1	-1E+10	1	1.50	1	7.6842	0	7.4686	0	2314	0	2267	0	909.0	0
5906302	1	C	09/16/2020	04:05	179.919	2.060	0	551.75	0	7.8582	0	34.5854	0	26.978	0	547.985	0	76.72	0	26.6	0	-1E+10	1	0.0109	0	0.0109	0	0.000490	1	-1E+10	1	1.53	1	7.6891	0	7.4770	0	2310	0	2260	0	903.9	0
5906302	1	C	09/16/2020	04:05	179.919	2.060	0	501.89	0	8.3177	0	34.5935	0	26.915	0	498.525	0	93.70	0	32.8	0	-1E+10	1	0.0073	0	0.0073	0	0.000515	1	-1E+10	1	1.59	1	7.7343	0	7.5224	0	2307	0	2242	0	813.8	0
