//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 04:34
//!! ADJUSTED DATA FILE !!
//WMO ID: 5906294
//Univ. of Washington ID: 19875
//MBARI ID: 19875CalCurrent
//No missing float profiles
//No missing data found
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	12317	
//Temperature[°C]	Sbe41cp	12317	
//Salinity[pss]	Sbe41cp	12317	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	3285	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#K18.D01.204281  Spec#118382 Equitech Ti probe #1909.15  ARGO float#878  DF#SBEC29  CTD#12317	
//Chl_a[mg/m^3]	FLBBAP2	6053	
//Chl_a_corr[mg/m^3]	FLBBAP2	6053	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	6053	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	6053	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet		
//pH25C[Total]	Durafet		estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0731	0.0000	0.0000
//Nitrate	1	1.0000	-4.7471	-3.2888
//Nitrate	7	1.0000	-4.8710	0.0000
//Nitrate	8	1.0000	-5.0595	0.0000
//pH	1	1.0000	-0.0033	-0.3328
//pH	4	1.0000	0.0028	0.1208
//pH	8	1.0000	0.0138	0.0000
//
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5906294	1	C	10/19/2020	15:00	236.991	35.445	0	1499.46	0	2.8395	0	34.5513	0	27.551	0	1483.240	0	43.93	0	13.5	0	42.78	0	0.0108	0	0.0108	0	0.000345	1	-1E+10	1	1.15	1	7.6201	0	7.3856	0	2403	0	2380	0	960.3	0
5906294	1	C	10/19/2020	15:00	236.991	35.445	0	1399.93	0	3.0383	0	34.5341	0	27.519	0	1385.113	0	37.17	0	11.5	0	43.08	0	0.0108	0	0.0108	0	0.000356	1	-1E+10	1	1.18	1	7.6079	0	7.3738	0	2398	0	2379	0	999.7	0
5906294	1	C	10/19/2020	15:00	236.991	35.445	0	1299.56	0	3.2628	0	34.5161	0	27.483	0	1286.111	0	31.88	0	9.9	0	43.16	0	0.0144	0	0.0144	0	0.000357	1	-1E+10	1	1.18	1	7.5921	0	7.3593	0	2392	0	2378	0	1049.4	0
5906294	1	C	10/19/2020	15:00	236.991	35.445	0	1199.51	0	3.4917	0	34.4984	0	27.447	0	1187.378	0	26.88	0	8.4	0	43.44	0	0.0144	0	0.0144	0	0.000380	1	-1E+10	1	1.24	1	7.5835	8	7.3509	8	2386	0	2375	8	1082.6	8
5906294	1	C	10/19/2020	15:00	236.991	35.445	0	1100.10	0	3.7169	0	34.4809	0	27.410	0	1089.231	0	22.33	0	7.0	0	43.35	0	0.0144	0	0.0144	0	0.000335	1	-1E+10	1	1.12	1	7.5734	0	7.3412	0	2379	0	2372	0	1120.8	0
5906294	1	C	10/19/2020	15:00	236.991	35.445	0	999.60	0	3.9829	0	34.4552	0	27.362	0	989.961	0	17.05	0	5.4	0	43.38	0	0.0108	0	0.0108	0	0.000347	1	-1E+10	1	1.16	1	7.5598	0	7.3289	0	2372	0	2369	0	1170.0	0
5906294	1	C	10/19/2020	15:00	236.991	35.445	0	951.11	0	4.0772	0	34.4472	0	27.346	0	942.048	0	15.58	0	4.9	0	43.30	0	0.0144	0	0.0144	0	0.000358	1	-1E+10	1	1.19	1	7.5440	0	7.3144	0	2369	0	2371	0	1221.5	0
5906294	1	C	10/19/2020	15:00	236.991	35.445	0	901.02	0	4.2799	0	34.4383	0	27.317	0	892.542	0	14.12	0	4.5	0	42.97	0	0.0144	0	0.0144	0	0.000336	1	-1E+10	1	1.13	1	7.5390	0	7.3106	0	2365	0	2368	0	1242.6	0
5906294	1	C	10/19/2020	15:00	236.991	35.445	0	851.43	0	4.4463	0	34.4250	0	27.289	0	843.518	0	12.32	0	3.9	0	42.79	0	0.0144	0	0.0144	0	0.000337	1	-1E+10	1	1.13	1	7.5355	0	7.3078	0	2360	0	2364	0	1259.2	0
5906294	1	C	10/19/2020	15:00	236.991	35.445	0	801.02	0	4.5969	0	34.4034	0	27.255	0	793.673	0	10.28	0	3.3	0	42.58	0	0.0108	0	0.0108	0	0.000337	1	-1E+10	1	1.13	1	7.5242	0	7.2978	0	2355	0	2363	0	1299.8	0
5906294	1	C	10/19/2020	15:00	236.991	35.445	0	750.72	0	4.7795	0	34.3900	0	27.224	0	743.923	0	9.62	0	3.1	0	42.33	0	0.0144	0	0.0144	0	0.000349	1	-1E+10	1	1.16	1	7.5248	0	7.2987	0	2351	0	2358	0	1304.4	0
5906294	1	C	10/19/2020	15:00	236.991	35.445	0	701.61	0	4.9483	0	34.3681	0	27.187	0	695.340	0	8.63	0	2.8	0	42.08	0	0.0180	0	0.0180	0	0.000338	1	-1E+10	1	1.13	1	7.5170	0	7.2920	0	2346	0	2355	0	1335.1	0
5906294	1	C	10/19/2020	15:00	236.991	35.445	0	651.63	0	5.1333	0	34.3428	0	27.145	0	645.884	0	8.14	0	2.6	0	41.60	0	0.0144	0	0.0144	0	0.000349	1	-1E+10	1	1.16	1	7.5131	8	7.2890	8	2339	0	2350	8	1353.1	8
5906294	1	C	10/19/2020	15:00	236.991	35.445	0	601.76	0	5.4189	0	34.3151	0	27.089	0	596.525	0	8.64	0	2.8	0	40.96	0	0.0144	0	0.0144	0	0.000339	1	-1E+10	1	1.13	1	7.5063	0	7.2846	0	2332	0	2344	0	1381.7	0
5906294	1	C	10/19/2020	15:00	236.991	35.445	0	551.69	0	5.5762	0	34.2802	0	27.042	0	546.956	0	10.24	0	3.4	0	40.46	0	0.0180	0	0.0180	0	0.000328	1	-1E+10	1	1.11	1	7.5041	0	7.2827	0	2325	0	2338	0	1394.2	0
5906294	1	C	10/19/2020	15:00	236.991	35.445	0	501.79	0	5.7502	0	34.2334	0	26.984	0	497.544	0	14.26	0	4.7	0	39.96	0	0.0144	0	0.0144	0	0.000339	1	-1E+10	1	1.14	1	7.5055	0	7.2842	0	2317	0	2329	0	1394.1	0
5906294	1	C	10/19/2020	15:00	236.991	35.445	0	451.74	0	5.8661	0	34.1812	0	26.927	0	447.972	0	20.98	0	6.9	0	39.42	0	0.0072	0	0.0072	0	0.000328	1	-1E+10	1	1.11	1	7.5067	0	7.2848	0	2306	0	2318	0	1392.1	0
5906294	1	C	10/19/2020	15:00	236.991	35.445	0	401.19	0	6.0648	0	34.1204	0	26.854	0	397.892	0	32.34	0	10.7	0	38.56	0	0.0108	0	0.0108	0	0.000329	1	-1E+10	1	1.11	1	7.5244	0	7.3011	0	2296	0	2303	0	1338.3	0
