//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 14:37
//!! ADJUSTED DATA FILE !!
//WMO ID: 5902128
//Univ. of Washington ID: 5143
//MBARI ID: 5143STNP
//No missing float profiles
//Missing Float data detected for adjusted station(s): 212 213 214 215 216 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	1506	
//Temperature[°C]	Sbe41cp	1506	
//Salinity[pss]	Sbe41cp	1506	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 3830	737	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#3024 Spec#020 Equitech probe #200081308R10.01 ARGO float#3024 Controller#5143	
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1200	0.0000	0.0000
//Nitrate	1	1.0000	5.2353	0.0000
//Nitrate	36	1.0000	5.5107	-1.3002
//Nitrate	96	1.0000	4.2793	0.7229
//Nitrate	213	1.0000	5.1887	0.0000
//pH	1	1.0000	0.0000	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5902128	1	C	08/31/2008	13:57	215.215	50.118	0	998.30	0	2.9102	0	34.3749	0	27.400	0	987.358	0	21.56	0	6.6	0	43.77	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902128	1	C	08/31/2008	13:57	215.215	50.118	0	950.85	0	2.9726	0	34.3615	0	27.384	0	940.534	0	22.27	0	6.9	0	43.60	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902128	1	C	08/31/2008	13:57	215.215	50.118	0	900.91	0	3.0498	0	34.3438	0	27.362	0	891.242	0	23.29	0	7.2	0	43.60	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902128	1	C	08/31/2008	13:57	215.215	50.118	0	851.28	0	3.1609	0	34.3175	0	27.331	0	842.245	0	24.28	0	7.5	0	43.52	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902128	1	C	08/31/2008	13:57	215.215	50.118	0	801.65	0	3.2360	0	34.2966	0	27.307	0	793.236	0	25.02	0	7.8	0	43.34	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902128	1	C	08/31/2008	13:57	215.215	50.118	0	751.11	0	3.3047	0	34.2723	0	27.281	0	743.316	0	25.89	0	8.0	0	43.10	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902128	1	C	08/31/2008	13:57	215.215	50.118	0	701.11	0	3.4001	0	34.2458	0	27.250	0	693.918	0	25.75	0	8.0	0	43.00	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902128	1	C	08/31/2008	13:57	215.215	50.118	0	651.49	0	3.4730	0	34.2188	0	27.222	0	644.884	0	26.60	0	8.3	0	42.86	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902128	1	C	08/31/2008	13:57	215.215	50.118	0	600.91	0	3.5698	0	34.1897	0	27.189	0	594.889	0	27.89	0	8.7	0	42.38	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902128	1	C	08/31/2008	13:57	215.215	50.118	0	551.23	0	3.6617	0	34.1642	0	27.159	0	545.772	0	29.07	0	9.1	0	42.43	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
