//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 14:41
//!! ADJUSTED DATA FILE !!
//WMO ID: 5901468
//Univ. of Washington ID: 5145
//MBARI ID: 5145Hawaii
//Missing Float profile(s) for station(s): 51 
//Missing Float data detected for adjusted station(s): 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	1511	
//Temperature[°C]	Sbe41cp	1511	
//Salinity[pss]	Sbe41cp	1511	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 3830	737	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#3025 Spec#021 Equitech probe APEX float#3025 Controller#5145	
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0700	0.0000	0.0000
//Nitrate	1	1.0000	0.0159	2.9300
//Nitrate	18	1.0000	-0.4159	2.2825
//Nitrate	57	1.0000	-0.8709	0.0000
//Nitrate	81	1.0000	-0.4270	-0.5922
//Nitrate	136	1.0000	-2.5967	0.0000
//Nitrate	148	1.0000	-1.7683	-0.5783
//Nitrate	199	1.0000	-1.9973	0.0000
//pH	1	1.0000	0.0000	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5901468	1	C	12/23/2007	10:58	202.014	22.866	0	998.95	0	4.0853	0	34.4483	0	27.346	0	990.288	0	40.21	0	12.7	0	43.06	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5901468	1	C	12/23/2007	10:58	202.014	22.866	0	950.45	0	4.2291	0	34.4254	0	27.313	0	942.318	0	37.37	0	11.9	0	43.14	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5901468	1	C	12/23/2007	10:58	202.014	22.866	0	900.76	0	4.3313	0	34.4019	0	27.283	0	893.159	0	33.50	0	10.7	0	43.16	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5901468	1	C	12/23/2007	10:58	202.014	22.866	0	850.58	0	4.4579	0	34.3752	0	27.248	0	843.503	0	30.08	0	9.6	0	43.08	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5901468	1	C	12/23/2007	10:58	202.014	22.866	0	801.05	0	4.6393	0	34.3332	0	27.194	0	794.480	0	26.54	0	8.5	0	42.87	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5901468	1	C	12/23/2007	10:58	202.014	22.866	0	751.16	0	4.8491	0	34.2806	0	27.129	0	745.088	0	26.30	0	8.5	0	42.50	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5901468	1	C	12/23/2007	10:58	202.014	22.866	0	700.89	0	5.0346	0	34.2467	0	27.081	0	695.308	0	27.87	0	9.0	0	41.44	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5901468	1	C	12/23/2007	10:58	202.014	22.866	0	651.24	0	5.3378	0	34.2024	0	27.010	0	646.130	0	34.15	0	11.1	0	40.48	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5901468	1	C	12/23/2007	10:58	202.014	22.866	0	600.94	0	5.9251	0	34.1648	0	26.909	0	596.297	0	48.42	0	16.0	0	37.74	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5901468	1	C	12/23/2007	10:58	202.014	22.866	0	550.93	0	6.7072	0	34.1389	0	26.787	0	546.739	0	70.51	0	23.7	0	34.28	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
