//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 14:45
//!! ADJUSTED DATA FILE !!
//WMO ID: 5901492
//Univ. of Washington ID: 5146
//MBARI ID: 5146SoOcn
//Missing Float profile(s) for station(s): 201 
//Missing Float data detected for adjusted station(s): 1 2 228 229 230 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	1668	
//Temperature[°C]	Sbe41cp	1668	
//Salinity[pss]	Sbe41cp	1668	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 3830	642	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#F4.A01.2919 Spec#019 Equitech probe#7 ARGO float#3026 Controller#5146	
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0673	0.0000	0.0038
//Oxygen	230	1.0794	0.0000	0.0000
//Nitrate	3	1.0000	3.2653	0.8348
//Nitrate	46	1.0000	3.0726	4.4359
//Nitrate	89	1.0000	5.0799	0.0000
//Nitrate	96	1.0000	4.7004	0.0000
//Nitrate	178	1.0000	5.2448	129.2176
//Nitrate	183	1.0000	17.3967	78.3635
//Nitrate	192	1.0000	22.1718	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5901492	1	C	02/20/2008	09:07	30.073	-50.203	0	1297.04	0	2.2952	0	34.7101	0	27.722	0	1281.902	0	174.50	0	53.1	0	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5901492	1	C	02/20/2008	09:07	30.073	-50.203	0	1197.73	0	2.3286	0	34.6861	0	27.700	0	1184.030	0	171.00	0	52.0	0	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5901492	1	C	02/20/2008	09:07	30.073	-50.203	0	1097.30	0	2.4584	0	34.6770	0	27.681	0	1085.008	0	170.84	0	52.1	0	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5901492	1	C	02/20/2008	09:07	30.073	-50.203	0	998.79	0	2.5388	0	34.6556	0	27.657	0	987.833	0	170.28	0	52.1	0	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5901492	1	C	02/20/2008	09:07	30.073	-50.203	0	950.50	0	2.5154	0	34.6394	0	27.645	0	940.182	0	169.03	0	51.6	0	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5901492	1	C	02/20/2008	09:07	30.073	-50.203	0	900.75	0	2.4592	0	34.6025	0	27.620	0	891.077	0	166.28	0	50.7	0	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5901492	1	C	02/20/2008	09:07	30.073	-50.203	0	851.26	0	2.4497	0	34.5724	0	27.597	0	842.218	0	165.73	0	50.5	0	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5901492	1	C	02/20/2008	09:07	30.073	-50.203	0	801.35	0	2.4604	0	34.5486	0	27.577	0	792.933	0	166.29	0	50.7	0	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5901492	1	C	02/20/2008	09:07	30.073	-50.203	0	751.06	0	2.4637	0	34.5257	0	27.558	0	743.261	0	166.89	0	50.9	0	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5901492	1	C	02/20/2008	09:07	30.073	-50.203	0	701.17	0	2.4119	0	34.4970	0	27.539	0	693.972	0	167.75	0	51.1	0	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5901492	1	C	02/20/2008	09:07	30.073	-50.203	0	651.52	0	2.4467	0	34.4529	0	27.500	0	644.908	0	171.50	0	52.2	0	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5901492	1	C	02/20/2008	09:07	30.073	-50.203	0	601.15	0	2.4836	0	34.4218	0	27.472	0	595.121	0	175.95	0	53.6	0	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5901492	1	C	02/20/2008	09:07	30.073	-50.203	0	551.61	0	2.5404	0	34.3891	0	27.441	0	546.143	0	181.32	0	55.3	0	-1e10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
