//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 14:49
//!! ADJUSTED DATA FILE !!
//WMO ID: 5902112
//Univ. of Washington ID: 5426
//MBARI ID: 5426DRAKEPASS
//No missing float profiles
//Missing Float data detected for adjusted station(s): 269 270 271 272 273 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	2319	
//Temperature[°C]	Sbe41cp	2319	
//Salinity[pss]	Sbe41cp	2319	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 3830	1026	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#4050.L6.B01 Spec#024 Equitech probe #200082708R10.01 ARGO float#4050	
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0329	0.0000	0.0000
//Nitrate	1	1.0000	-2.1836	3.6954
//Nitrate	38	1.0000	-0.6808	1.2623
//Nitrate	80	1.0000	-0.1256	4.8815
//Nitrate	170	1.0000	5.6132	3.0863
//Nitrate	270	1.0000	10.5063	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5902112	1	C	01/08/2009	01:53	280.600	-55.629	0	321.66	0	5.1354	0	34.1909	0	27.021	0	318.495	0	283.50	0	92.0	0	24.95	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	1	C	01/08/2009	01:53	280.600	-55.629	0	311.38	0	5.1436	0	34.1883	0	27.018	0	308.324	0	283.52	0	92.0	0	24.79	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	1	C	01/08/2009	01:53	280.600	-55.629	0	301.22	0	5.1385	0	34.1850	0	27.016	0	298.271	0	283.92	0	92.1	0	24.61	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	1	C	01/08/2009	01:53	280.600	-55.629	0	291.18	0	5.1570	0	34.1861	0	27.015	0	288.336	0	284.03	0	92.2	0	24.94	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	1	C	01/08/2009	01:53	280.600	-55.629	0	281.12	0	5.1751	0	34.1874	0	27.013	0	278.381	0	284.36	0	92.3	0	24.74	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	1	C	01/08/2009	01:53	280.600	-55.629	0	270.99	0	5.1939	0	34.1873	0	27.011	0	268.357	0	285.12	0	92.6	0	24.09	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	1	C	01/08/2009	01:53	280.600	-55.629	0	261.04	0	5.2159	0	34.1865	0	27.008	0	258.509	0	285.42	0	92.8	0	24.87	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	1	C	01/08/2009	01:53	280.600	-55.629	0	251.26	0	5.2212	0	34.1856	0	27.006	0	248.830	0	285.69	0	92.9	0	24.06	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	1	C	01/08/2009	01:53	280.600	-55.629	0	241.70	0	5.2274	0	34.1845	0	27.005	0	239.368	0	285.74	0	92.9	0	23.96	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	1	C	01/08/2009	01:53	280.600	-55.629	0	231.01	0	5.2234	0	34.1803	0	27.002	0	228.787	0	286.34	0	93.1	0	24.53	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	1	C	01/08/2009	01:53	280.600	-55.629	0	221.43	0	5.2327	0	34.1803	0	27.001	0	219.304	0	286.36	0	93.1	0	24.81	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	1	C	01/08/2009	01:53	280.600	-55.629	0	210.76	0	5.2374	0	34.1777	0	26.998	0	208.742	0	287.29	0	93.4	0	24.42	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	1	C	01/08/2009	01:53	280.600	-55.629	0	201.09	0	5.2443	0	34.1757	0	26.995	0	199.169	0	288.64	0	93.9	0	24.06	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	1	C	01/08/2009	01:53	280.600	-55.629	0	191.42	0	5.2540	0	34.1751	0	26.994	0	189.596	0	289.09	0	94.0	0	23.96	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	1	C	01/08/2009	01:53	280.600	-55.629	0	181.07	0	5.2525	0	34.1720	0	26.991	0	179.349	0	289.23	0	94.1	0	23.96	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	1	C	01/08/2009	01:53	280.600	-55.629	0	171.08	0	5.2664	0	34.1721	0	26.990	0	169.458	0	289.62	0	94.2	0	23.43	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	1	C	01/08/2009	01:53	280.600	-55.629	0	161.57	0	5.3061	0	34.1713	0	26.984	0	160.042	0	290.60	0	94.6	0	24.35	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	1	C	01/08/2009	01:53	280.600	-55.629	0	151.31	0	5.3280	0	34.1694	0	26.980	0	149.883	0	291.56	0	95.0	0	23.68	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	1	C	01/08/2009	01:53	280.600	-55.629	0	141.07	0	5.3757	0	34.1681	0	26.973	0	139.743	0	291.56	0	95.1	0	23.22	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	1	C	01/08/2009	01:53	280.600	-55.629	0	131.57	0	5.4339	0	34.1690	0	26.967	0	130.335	0	292.32	0	95.5	0	22.97	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	1	C	01/08/2009	01:53	280.600	-55.629	0	121.17	0	5.3883	0	34.1503	0	26.958	0	120.036	0	293.46	0	95.7	0	23.09	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	1	C	01/08/2009	01:53	280.600	-55.629	0	110.92	0	5.3955	0	34.1388	0	26.947	0	109.885	0	293.52	0	95.8	0	23.07	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	1	C	01/08/2009	01:53	280.600	-55.629	0	100.73	0	5.5219	0	34.1364	0	26.930	0	99.792	0	292.80	0	95.8	0	22.51	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	1	C	01/08/2009	01:53	280.600	-55.629	0	96.12	0	5.7271	0	34.1375	0	26.906	0	95.226	0	291.86	0	96.0	0	21.54	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	1	C	01/08/2009	01:53	280.600	-55.629	0	91.50	0	6.0208	0	34.1503	0	26.880	0	90.650	0	292.52	0	96.9	0	21.69	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	1	C	01/08/2009	01:53	280.600	-55.629	0	86.61	0	6.2522	0	34.1356	0	26.839	0	85.807	0	293.54	0	97.7	0	21.00	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	1	C	01/08/2009	01:53	280.600	-55.629	0	81.21	0	6.5758	0	34.1290	0	26.791	0	80.458	0	293.46	0	98.4	0	20.47	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	1	C	01/08/2009	01:53	280.600	-55.629	0	76.07	0	6.6878	0	34.1317	0	26.778	0	75.366	0	295.21	0	99.3	0	20.42	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	1	C	01/08/2009	01:53	280.600	-55.629	0	70.90	0	6.6984	0	34.1320	0	26.777	0	70.245	0	296.61	0	99.7	0	20.41	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	1	C	01/08/2009	01:53	280.600	-55.629	0	66.51	0	6.7101	0	34.1320	0	26.775	0	65.896	0	297.11	0	99.9	0	20.06	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	1	C	01/08/2009	01:53	280.600	-55.629	0	60.95	0	6.7393	0	34.1312	0	26.771	0	60.388	0	297.61	0	100.2	0	19.84	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	1	C	01/08/2009	01:53	280.600	-55.629	0	56.19	0	6.7289	0	34.1315	0	26.772	0	55.673	0	298.14	0	100.3	0	20.41	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	1	C	01/08/2009	01:53	280.600	-55.629	0	50.69	0	6.7605	0	34.1290	0	26.766	0	50.224	0	298.39	0	100.5	0	19.86	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	1	C	01/08/2009	01:53	280.600	-55.629	0	46.36	0	6.7599	0	34.1310	0	26.768	0	45.934	0	298.81	0	100.6	0	19.93	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	1	C	01/08/2009	01:53	280.600	-55.629	0	41.03	0	6.7615	0	34.1311	0	26.767	0	40.654	0	299.19	0	100.8	0	19.69	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	1	C	01/08/2009	01:53	280.600	-55.629	0	36.05	0	6.7539	0	34.1306	0	26.768	0	35.720	0	299.23	0	100.8	0	20.30	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	1	C	01/08/2009	01:53	280.600	-55.629	0	31.45	0	6.7614	0	34.1308	0	26.767	0	31.162	0	299.32	0	100.8	0	20.31	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	1	C	01/08/2009	01:53	280.600	-55.629	0	26.65	0	6.7599	0	34.1313	0	26.768	0	26.407	0	299.51	0	100.9	0	20.21	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	1	C	01/08/2009	01:53	280.600	-55.629	0	21.30	0	6.7591	0	34.1311	0	26.768	0	21.106	0	299.46	0	100.8	0	20.20	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	1	C	01/08/2009	01:53	280.600	-55.629	0	16.55	0	6.7597	0	34.1308	0	26.767	0	16.399	0	299.41	0	100.8	0	19.94	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	1	C	01/08/2009	01:53	280.600	-55.629	0	11.50	0	6.7597	0	34.1312	0	26.767	0	11.395	0	299.58	0	100.9	0	20.21	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	1	C	01/08/2009	01:53	280.600	-55.629	0	7.39	0	6.7609	0	34.1306	0	26.767	0	7.323	0	299.52	0	100.9	0	19.62	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	1	C	01/08/2009	01:53	280.600	-55.629	0																										
5902112	2	C	01/09/2009	01:32	280.513	-55.755	0	501.71	0	4.8180	0	34.1887	0	27.057	0	496.553	0	277.24	0	89.3	0	25.30	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	2	C	01/09/2009	01:32	280.513	-55.755	0	450.83	0	4.9655	0	34.1948	0	27.045	0	446.251	0	256.47	0	82.9	0	26.11	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	2	C	01/09/2009	01:32	280.513	-55.755	0	401.09	0	5.0370	0	34.1936	0	27.035	0	397.063	0	260.51	0	84.3	0	25.33	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	2	C	01/09/2009	01:32	280.513	-55.755	0	381.44	0	5.0809	0	34.1940	0	27.031	0	377.629	0	276.23	0	89.5	0	24.25	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	2	C	01/09/2009	01:32	280.513	-55.755	0	361.64	0	5.0858	0	34.1914	0	27.028	0	358.043	0	281.47	0	91.2	0	23.92	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	2	C	01/09/2009	01:32	280.513	-55.755	0	351.17	0	5.0802	0	34.1890	0	27.026	0	347.686	0	281.65	0	91.3	0	24.33	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5902112	2	C	01/09/2009	01:32	280.513	-55.755	0	340.90	0	5.0876	0	34.1854	0	27.023	0	337.527	0	282.33	0	91.5	0	24.47	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
