//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 14:53
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904179
//Univ. of Washington ID: 6091
//MBARI ID: 6091SOOCN
//No missing float profiles
//Missing Float data detected for adjusted station(s): 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	4148	
//Temperature[°C]	Sbe41cp	4148	
//Salinity[pss]	Sbe41cp	4148	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 3830	632	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L1.C01.6649 Spec#062 APEX Ctech probe FA-MBA01-AP0A-002 MBARI ARGO float#7043	
//Chl_a[mg/m^3]	FLBBAP2	3144	
//Chl_a_corr[mg/m^3]	FLBBAP2	3144	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	3144	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	3144	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1274	0.0000	-0.0022
//Oxygen	222	1.1134	0.0000	0.0000
//Nitrate	1	1.0000	0.0000	0.0000
//pH	1	1.0000	0.0000	0.0000
//Chl	1	0.5000	0.0000	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5904179	1	C	03/27/2014	04:53	174.161	-60.053	0	1898.33	0	1.9084	0	34.7383	0	27.779	0	1871.923	0	181.02	0	54.5	0	-1e10	1	0.0000	0	0.0000	0	0.000210	1	-1E+10	1	0.80	1
5904179	1	C	03/27/2014	04:53	174.161	-60.053	0	1798.52	0	1.9848	0	34.7348	0	27.770	0	1773.918	0	178.38	0	53.8	0	-1e10	1	0.0000	0	0.0000	0	0.000201	1	-1E+10	1	0.78	1
5904179	1	C	03/27/2014	04:53	174.161	-60.053	0	1699.86	0	2.0465	0	34.7289	0	27.760	0	1676.997	0	176.43	0	53.3	0	-1e10	1	0.0037	0	0.0012	0	0.000220	1	-1E+10	1	0.83	1
5904179	1	C	03/27/2014	04:53	174.161	-60.053	0	1599.10	0	2.1421	0	34.7164	0	27.742	0	1577.967	0	173.45	0	52.5	0	-1e10	1	0.0037	0	0.0012	0	0.000230	1	-1E+10	1	0.85	1
5904179	1	C	03/27/2014	04:53	174.161	-60.053	0	1499.27	0	2.2055	0	34.6992	0	27.722	0	1479.805	0	170.37	0	51.7	0	-1e10	1	0.0037	0	0.0012	0	0.000278	1	-1E+10	1	0.98	1
5904179	1	C	03/27/2014	04:53	174.161	-60.053	0	1399.66	0	2.2502	0	34.6850	0	27.707	0	1381.814	0	168.50	0	51.2	0	-1e10	1	0.0146	0	0.0049	0	0.000288	1	-1E+10	1	1.00	1
5904179	1	C	03/27/2014	04:53	174.161	-60.053	0	1298.88	0	2.3148	0	34.6655	0	27.685	0	1282.625	0	166.75	0	50.7	0	-1e10	1	0.0000	0	0.0000	0	0.000259	1	-1E+10	1	0.93	1
5904179	1	C	03/27/2014	04:53	174.161	-60.053	0	1199.51	0	2.3947	0	34.6362	0	27.655	0	1184.778	0	165.06	0	50.3	0	-1e10	1	0.0037	0	0.0012	0	0.000288	1	-1E+10	1	1.00	1
5904179	1	C	03/27/2014	04:53	174.161	-60.053	0	1099.64	0	2.4368	0	34.6084	0	27.628	0	1086.393	0	164.13	0	50.0	0	-1e10	1	0.0037	0	0.0012	0	0.000375	1	-1E+10	1	1.23	1
5904179	1	C	03/27/2014	04:53	174.161	-60.053	0	998.60	0	2.4936	0	34.5691	0	27.591	0	986.808	0	164.24	0	50.1	0	-1e10	1	0.0000	0	0.0000	0	0.000298	1	-1E+10	1	1.03	1
5904179	1	C	03/27/2014	04:53	174.161	-60.053	0	951.68	0	2.5239	0	34.5523	0	27.575	0	940.547	0	164.67	0	50.3	0	-1e10	1	0.0073	0	0.0024	0	0.000260	1	-1E+10	1	0.93	1
5904179	1	C	03/27/2014	04:53	174.161	-60.053	0	901.29	0	2.5427	0	34.5322	0	27.557	0	890.854	0	165.54	0	50.6	0	-1e10	1	0.0000	0	0.0000	0	0.000626	1	-1E+10	1	1.88	1
5904179	1	C	03/27/2014	04:53	174.161	-60.053	0	851.36	0	2.5837	0	34.5133	0	27.538	0	841.602	0	166.76	0	51.0	0	-1e10	1	0.0073	0	0.0024	0	0.000289	1	-1E+10	1	1.01	1
5904179	1	C	03/27/2014	04:53	174.161	-60.053	0	800.95	0	2.6130	0	34.4777	0	27.507	0	791.865	0	169.11	0	51.7	0	-1e10	1	0.0037	0	0.0012	0	0.000280	1	-1E+10	1	0.98	1
5904179	1	C	03/27/2014	04:53	174.161	-60.053	0	751.32	0	2.5612	0	34.4296	0	27.473	0	742.887	0	174.84	0	53.4	0	-1e10	1	0.0037	0	0.0012	0	0.000347	1	-1E+10	1	1.16	1
5904179	1	C	03/27/2014	04:53	174.161	-60.053	0	701.04	0	2.6451	0	34.3924	0	27.435	0	693.255	0	179.55	0	54.9	0	-1e10	1	0.0000	0	0.0000	0	0.000405	1	-1E+10	1	1.31	1
5904179	1	C	03/27/2014	04:53	174.161	-60.053	0	650.65	0	2.7324	0	34.3642	0	27.405	0	643.502	0	183.91	0	56.4	0	-1e10	1	0.0000	0	0.0000	0	0.000434	1	-1E+10	1	1.38	1
5904179	1	C	03/27/2014	04:53	174.161	-60.053	0	601.67	0	2.8249	0	34.3529	0	27.388	0	595.130	0	185.79	0	57.1	0	-1e10	1	0.0000	0	0.0000	0	0.000338	1	-1E+10	1	1.13	1
