//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/22/2020 07:36
//!! ADJUSTED DATA FILE !!
//WMO ID: 5903586
//Univ. of Washington ID: 6381
//MBARI ID: 6381ARABIANSEA
//No missing float profiles
//Missing Float data detected for adjusted station(s): 1 2 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	2624	
//Temperature[°C]	Sbe41cp	2624	
//Salinity[pss]	Sbe41cp	2624	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 3830	1333	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#F8.B01.4458 Spec#031 Equitech probe #2009.0827R10.05 Float#7013 Arabian Sea deployment	
//Chl_a[mg/m^3]	FLBBAP2	2101	
//Chl_a_corr[mg/m^3]	FLBBAP2	2101	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	2101	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	2101	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1600	0.0000	0.0000
//Nitrate	1	0.9500	-1.0513	0.0000
//Nitrate	130	0.9500	-0.5298	-9.4975
//Nitrate	179	0.9500	-8.5652	0.0000
//pH	1	1.0000	0.0000	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5903586	1	C	12/17/2011	08:41	65.576	20.491	0	999.87	0	8.8464	0	35.3948	0	27.471	0	991.347	0	0.79	0	0.3	0	-1e10	1	0.0219	0	0.0219	0	0.000303	1	-1E+10	1	1.04	1
5903586	1	C	12/17/2011	08:41	65.576	20.491	0	950.71	0	9.2406	0	35.4374	0	27.440	0	942.716	0	0.49	0	0.2	0	-1e10	1	0.0182	0	0.0182	0	0.000291	1	-1E+10	1	1.01	1
5903586	1	C	12/17/2011	08:41	65.576	20.491	0	900.96	0	9.5795	0	35.4652	0	27.405	0	893.491	0	0.18	0	0.1	0	-1e10	1	0.0182	0	0.0182	0	0.000216	1	-1E+10	1	0.82	1
5903586	1	C	12/17/2011	08:41	65.576	20.491	0	851.01	0	9.9013	0	35.4957	0	27.374	0	844.056	0	0.10	0	0.0	0	-1e10	1	0.0182	0	0.0182	0	0.000417	1	-1E+10	1	1.34	1
5903586	1	C	12/17/2011	08:41	65.576	20.491	0	801.70	0	10.3383	0	35.5337	0	27.328	0	795.243	0	0.07	0	0.0	0	-1e10	1	0.0073	0	0.0073	0	0.000255	1	-1E+10	1	0.92	1
5903586	1	C	12/17/2011	08:41	65.576	20.491	0	751.02	0	10.7231	0	35.5667	0	27.285	0	745.061	0	0.07	0	0.0	0	-1e10	1	0.0182	0	0.0182	0	0.000255	1	-1E+10	1	0.92	1
5903586	1	C	12/17/2011	08:41	65.576	20.491	0	701.40	0	11.0897	0	35.5978	0	27.242	0	695.918	0	0.07	0	0.0	0	-1e10	1	0.0219	0	0.0219	0	0.000381	1	-1E+10	1	1.24	1
5903586	1	C	12/17/2011	08:41	65.576	20.491	0	650.83	0	11.4774	0	35.6298	0	27.194	0	645.821	0	0.06	0	0.0	0	-1e10	1	0.0146	0	0.0146	0	0.000256	1	-1E+10	1	0.92	1
5903586	1	C	12/17/2011	08:41	65.576	20.491	0	601.11	0	11.8534	0	35.6675	0	27.152	0	596.555	0	0.05	0	0.0	0	-1e10	1	0.0182	0	0.0182	0	0.000319	1	-1E+10	1	1.08	1
5903586	1	C	12/17/2011	08:41	65.576	20.491	0	551.12	0	12.3464	0	35.7189	0	27.096	0	547.009	0	0.05	0	0.0	0	-1e10	1	0.0255	0	0.0255	0	0.000332	1	-1E+10	1	1.12	1
5903586	1	C	12/17/2011	08:41	65.576	20.491	0	501.65	0	12.9237	0	35.8014	0	27.044	0	497.968	0	0.04	0	0.0	0	-1e10	1	0.0182	0	0.0182	0	0.000357	1	-1E+10	1	1.18	1
5903586	1	C	12/17/2011	08:41	65.576	20.491	0	451.62	0	13.3690	0	35.8506	0	26.991	0	448.359	0	0.04	0	0.0	0	-1e10	1	0.0146	0	0.0146	0	0.000420	1	-1E+10	1	1.35	1
5903586	1	C	12/17/2011	08:41	65.576	20.491	0	400.91	0	13.9466	0	35.9127	0	26.917	0	398.064	0	0.03	0	0.0	0	-1e10	1	0.0219	0	0.0219	0	0.000396	1	-1E+10	1	1.28	1
5903586	1	C	12/17/2011	08:41	65.576	20.491	0	381.71	0	14.1924	0	35.9362	0	26.883	0	379.018	0	0.02	0	0.0	0	-1e10	1	0.0182	0	0.0182	0	0.000446	1	-1E+10	1	1.41	1
