//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 15:01
//!! ADJUSTED DATA FILE !!
//WMO ID: 1901378
//Univ. of Washington ID: 6391
//MBARI ID: 6391BERMUDA
//No missing float profiles
//Missing Float data detected for adjusted station(s): 23 258 259 260 261 262 263 264 265 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	2512	
//Temperature[°C]	Sbe41cp	2512	
//Salinity[pss]	Sbe41cp	2512	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 3830	1104	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#J7.B01.3886 Spec#007 Equitech probe #200080512R10.05 ARGO float#4359 BATS	
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0900	0.0000	0.0000
//Nitrate	1	1.0000	0.6130	0.0000
//Nitrate	3	1.0000	0.6130	0.0000
//Nitrate	154	1.0000	-0.0573	1.0174
//Nitrate	257	1.0000	1.1727	0.0000
//pH	1	1.0000	0.0000	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
1901378	1	C	10/12/2009	13:39	295.799	31.689	0	401.53	0	18.1378	0	36.5433	0	26.439	0	398.356	0	205.27	0	88.9	0	5.12	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
1901378	1	C	10/12/2009	13:39	295.799	31.689	0	381.67	0	18.2043	0	36.5514	0	26.428	0	378.671	0	205.10	0	88.9	0	4.65	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
1901378	1	C	10/12/2009	13:39	295.799	31.689	0	360.87	0	18.2639	0	36.5546	0	26.414	0	358.052	0	206.73	0	89.7	0	4.56	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
1901378	1	C	10/12/2009	13:39	295.799	31.689	0	350.63	0	18.3001	0	36.5556	0	26.406	0	347.901	0	206.54	0	89.7	0	4.71	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
1901378	1	C	10/12/2009	13:39	295.799	31.689	0	341.21	0	18.3424	0	36.5606	0	26.398	0	338.562	0	206.16	0	89.6	0	4.33	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
1901378	1	C	10/12/2009	13:39	295.799	31.689	0	331.09	0	18.3804	0	36.5652	0	26.392	0	328.528	0	204.21	0	88.8	0	4.65	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
1901378	1	C	10/12/2009	13:39	295.799	31.689	0	321.07	0	18.4528	0	36.5707	0	26.377	0	318.594	0	202.98	0	88.4	0	4.33	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
1901378	1	C	10/12/2009	13:39	295.799	31.689	0	310.95	0	18.4909	0	36.5692	0	26.366	0	308.559	0	200.92	0	87.6	0	4.50	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
1901378	1	C	10/12/2009	13:39	295.799	31.689	0	301.14	0	18.5801	0	36.5778	0	26.350	0	298.832	0	197.45	0	86.2	0	4.03	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
1901378	1	C	10/12/2009	13:39	295.799	31.689	0	291.51	0	18.6807	0	36.5926	0	26.335	0	289.282	0	200.96	0	87.9	0	3.61	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
