//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 15:05
//!! ADJUSTED DATA FILE !!
//WMO ID: 5903274
//Univ. of Washington ID: 6400
//MBARI ID: 6400STNP
//No missing float profiles
//Missing Float position interpolated for station(s): 83 93 112 188 264 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 54 259 265 278 279 280 281 282 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	2810	
//Temperature[°C]	Sbe41cp	2810	
//Salinity[pss]	Sbe41cp	2810	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 3830	1210	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#F8.B01.4377 Spec#028 Equitech probe #2009.0827R10.01 Float#7007 Sta P deployment	
//Chl_a[mg/m^3]	FLBBAP2	1737	
//Chl_a_corr[mg/m^3]	FLBBAP2	1737	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	1737	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	1737	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0856	0.0000	-0.0049
//Oxygen	282	1.0662	0.0000	0.0000
//Nitrate	1	1.0000	-0.9339	0.0000
//Nitrate	48	1.0000	0.2127	0.0000
//Nitrate	188	1.0000	-3.6151	-33.0360
//Nitrate	190	1.0000	-1.6087	0.0000
//Nitrate	228	1.0000	-3.3660	0.0000
//pH	1	1.0000	0.0000	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5903274	1	C	06/18/2010	16:37	215.001	50.001	0	901.41	0	3.0472	0	34.3368	0	27.357	0	891.745	0	12.69	0	3.9	0	45.55	0	0.0111	0	0.0111	0	0.000269	1	-1E+10	1	0.95	1
5903274	1	C	06/18/2010	16:37	215.001	50.001	0	851.28	0	3.1445	0	34.3109	0	27.327	0	842.254	0	13.35	0	4.1	0	45.29	0	0.0111	0	0.0111	0	0.000342	1	-1E+10	1	1.14	1
5903274	1	C	06/18/2010	16:37	215.001	50.001	0	800.98	0	3.2108	0	34.2910	0	27.305	0	792.582	0	13.73	0	4.3	0	44.95	0	0.0111	0	0.0111	0	0.000306	1	-1E+10	1	1.05	1
5903274	1	C	06/18/2010	16:37	215.001	50.001	0	751.12	0	3.2832	0	34.2671	0	27.279	0	743.334	0	14.11	0	4.4	0	44.68	0	0.0074	0	0.0074	0	0.000282	1	-1E+10	1	0.99	1
5903274	1	C	06/18/2010	16:37	215.001	50.001	0	701.10	0	3.3777	0	34.2448	0	27.252	0	693.916	0	14.91	0	4.6	0	44.97	0	0.0037	0	0.0037	0	0.000294	1	-1E+10	1	1.02	1
5903274	1	C	06/18/2010	16:37	215.001	50.001	0	651.13	0	3.4643	0	34.2237	0	27.226	0	644.535	0	15.78	0	4.9	0	45.01	0	0.0037	0	0.0037	0	0.000319	1	-1E+10	1	1.08	1
5903274	1	C	06/18/2010	16:37	215.001	50.001	0	601.53	0	3.5571	0	34.1996	0	27.198	0	595.508	0	16.89	0	5.3	0	44.37	0	0.0074	0	0.0074	0	0.000319	1	-1E+10	1	1.08	1
5903274	1	C	06/18/2010	16:37	215.001	50.001	0	551.09	0	3.6597	0	34.1684	0	27.163	0	545.639	0	18.10	0	5.7	0	45.37	0	0.0148	0	0.0148	0	0.000331	1	-1E+10	1	1.11	1
5903274	1	C	06/18/2010	16:37	215.001	50.001	0	501.36	0	3.7565	0	34.1398	0	27.130	0	496.460	0	19.83	0	6.2	0	45.00	0	0.0111	0	0.0111	0	0.000295	1	-1E+10	1	1.02	1
5903274	1	C	06/18/2010	16:37	215.001	50.001	0	450.93	0	3.8820	0	34.0905	0	27.078	0	446.577	0	24.76	0	7.8	0	43.88	0	0.0074	0	0.0074	0	0.000332	1	-1E+10	1	1.12	1
5903274	1	C	06/18/2010	16:37	215.001	50.001	0	401.18	0	3.9561	0	34.0365	0	27.027	0	397.355	0	31.17	0	9.8	0	43.76	0	0.0074	0	0.0074	0	0.000501	1	-1E+10	1	1.56	1
5903274	1	C	06/18/2010	16:37	215.001	50.001	0	381.05	0	3.9671	0	34.0136	0	27.008	0	377.435	0	35.05	0	11.0	0	43.84	0	0.0074	0	0.0074	0	0.000417	1	-1E+10	1	1.34	1
5903274	1	C	06/18/2010	16:37	215.001	50.001	0	361.40	0	3.9674	0	33.9859	0	26.985	0	357.989	0	40.85	0	12.9	0	43.03	0	0.0074	0	0.0074	0	0.000453	1	-1E+10	1	1.43	1
5903274	1	C	06/18/2010	16:37	215.001	50.001	0	350.97	0	3.9682	0	33.9810	0	26.981	0	347.666	0	42.77	0	13.5	0	42.80	0	0.0074	0	0.0074	0	0.000453	1	-1E+10	1	1.43	1
5903274	1	C	06/18/2010	16:37	215.001	50.001	0	341.10	0	3.9584	0	33.9625	0	26.968	0	337.897	0	45.30	0	14.3	0	42.58	0	0.0074	0	0.0074	0	0.000429	1	-1E+10	1	1.37	1
5903274	1	C	06/18/2010	16:37	215.001	50.001	0	331.36	0	3.9714	0	33.9532	0	26.959	0	328.256	0	49.20	0	15.5	0	42.51	0	0.0111	0	0.0111	0	0.000441	1	-1E+10	1	1.40	1
