//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 15:10
//!! ADJUSTED DATA FILE !!
//WMO ID: 1901379
//Univ. of Washington ID: 6401
//MBARI ID: 6401HAWAII
//No missing float profiles
//Missing Float position interpolated for station(s): 36 83 103 106 230 275 276 277 279 280 281 282 283 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 15 148 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	2623	
//Temperature[°C]	Sbe41cp	2623	
//Salinity[pss]	Sbe41cp	2623	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 3830	1171	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#J Spec#017 Equitech 20080512R10.02 APEX endcap MBARI#7006 Float#6401 Chassis#4479	
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0241	0.0000	-0.0042
//Oxygen	293	1.0074	0.0000	0.0000
//Nitrate	1	1.0000	-0.0996	0.0000
//Nitrate	67	1.0000	-0.4545	-0.9538
//Nitrate	146	1.0000	-1.1277	-0.5211
//Nitrate	203	1.0000	-2.2835	0.0000
//Nitrate	293	1.0000	-2.3652	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
1901379	1	C	11/06/2009	15:21	202.010	22.695	0	1298.13	0	3.3782	0	34.5370	0	27.489	0	1285.973	0	53.12	0	16.6	0	43.40	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
1901379	1	C	11/06/2009	15:21	202.010	22.695	0	1199.50	0	3.6252	0	34.5137	0	27.446	0	1188.545	0	48.71	0	15.3	0	43.24	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
1901379	1	C	11/06/2009	15:21	202.010	22.695	0	1099.68	0	4.0201	0	34.5076	0	27.401	0	1089.895	0	40.50	0	12.8	0	43.76	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
1901379	1	C	11/06/2009	15:21	202.010	22.695	0	999.52	0	4.4206	0	34.4894	0	27.344	0	990.863	0	33.43	0	10.7	0	43.68	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
1901379	1	C	11/06/2009	15:21	202.010	22.695	0	951.16	0	4.6213	0	34.4814	0	27.316	0	943.031	0	30.64	0	9.8	0	43.56	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
1901379	1	C	11/06/2009	15:21	202.010	22.695	0	901.16	0	4.8376	0	34.4716	0	27.283	0	893.565	0	28.49	0	9.2	0	43.24	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
1901379	1	C	11/06/2009	15:21	202.010	22.695	0	851.32	0	4.9859	0	34.4593	0	27.256	0	844.245	0	27.48	0	8.9	0	43.31	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
1901379	1	C	11/06/2009	15:21	202.010	22.695	0	801.46	0	5.2311	0	34.4474	0	27.218	0	794.894	0	25.09	0	8.2	0	42.65	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
1901379	1	C	11/06/2009	15:21	202.010	22.695	0	750.97	0	5.4481	0	34.4387	0	27.185	0	744.908	0	23.66	0	7.7	0	42.55	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
1901379	1	C	11/06/2009	15:21	202.010	22.695	0	701.74	0	5.5831	0	34.4002	0	27.138	0	696.158	0	22.12	0	7.3	0	42.05	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
