//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 15:15
//!! ADJUSTED DATA FILE !!
//WMO ID: 5903385
//Univ. of Washington ID: 6403
//MBARI ID: 6403HAWAII
//No missing float profiles
//Missing Float position interpolated for station(s): 91 141 221 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 26 71 76 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 166 186 187 196 198 203 215 218 219 224 225 226 237 241 247 251 255 257 258 259 260 261 262 264 265 267 270 277 278 279 281 285 287 288 289 290 291 292 293 294 295 296 297 298 299 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	2817	
//Temperature[°C]	Sbe41cp	2817	
//Salinity[pss]	Sbe41cp	2817	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 3830	1279	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#G0.C01.5451 Spec#033 Equitech probe #2008.0512.R10.03 Float#7014 HOT deployment	
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0792	0.0000	0.0000
//Nitrate	1	1.0000	1.3000	-81.3278
//Nitrate	3	1.0000	0.3500	1.4045
//Nitrate	31	1.0000	0.5356	1.9829
//Nitrate	116	1.0000	2.3282	1.5249
//Nitrate	166	1.0000	3.0092	1.2466
//Nitrate	286	1.0000	5.1113	0.0000
//pH	1	1.0000	0.0000	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5903385	1	C	01/10/2011	18:22	201.880	22.705	0	1199.14	0	3.4963	0	34.5216	0	27.465	0	1188.188	0	53.44	0	16.7	0	42.73	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903385	1	C	01/10/2011	18:22	201.880	22.705	0	1098.94	0	3.6775	0	34.5041	0	27.433	0	1089.163	0	49.90	0	15.7	0	42.77	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903385	1	C	01/10/2011	18:22	201.880	22.705	0	996.76	0	3.9660	0	34.4746	0	27.380	0	988.133	0	45.08	0	14.3	0	42.66	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903385	1	C	01/10/2011	18:22	201.880	22.705	0	951.10	0	4.0995	0	34.4534	0	27.349	0	942.971	0	41.83	0	13.3	0	42.72	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903385	1	C	01/10/2011	18:22	201.880	22.705	0	901.09	0	4.2977	0	34.4222	0	27.303	0	893.495	0	37.51	0	12.0	0	42.62	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903385	1	C	01/10/2011	18:22	201.880	22.705	0	851.24	0	4.4189	0	34.3786	0	27.255	0	844.166	0	32.37	0	10.3	0	42.63	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903385	1	C	01/10/2011	18:22	201.880	22.705	0	801.39	0	4.5739	0	34.3345	0	27.203	0	794.825	0	29.21	0	9.4	0	42.53	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903385	1	C	01/10/2011	18:22	201.880	22.705	0	750.85	0	4.7469	0	34.2656	0	27.128	0	744.789	0	27.88	0	9.0	0	42.06	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903385	1	C	01/10/2011	18:22	201.880	22.705	0	701.55	0	4.9680	0	34.1921	0	27.045	0	695.969	0	29.25	0	9.5	0	41.31	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903385	1	C	01/10/2011	18:22	201.880	22.705	0	651.64	0	5.2744	0	34.1506	0	26.976	0	646.533	0	39.36	0	12.8	0	39.69	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903385	1	C	01/10/2011	18:22	201.880	22.705	0	601.29	0	6.2281	0	34.1295	0	26.843	0	596.650	0	56.30	0	18.7	0	36.32	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
