//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 15:21
//!! ADJUSTED DATA FILE !!
//WMO ID: 5903891
//Univ. of Washington ID: 6881
//MBARI ID: 6881STNP
//No missing float profiles
//Missing Float position interpolated for station(s): 268 277 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 274 275 276 277 278 279 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	2812	
//Temperature[°C]	Sbe41cp	2812	
//Salinity[pss]	Sbe41cp	2812	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 3830	1334	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#B1.C01.5863 Spec#044 Equitech probe #20120110R10.08 MBARI ARGO float#7027	
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1204	0.0000	0.0030
//Oxygen	279	1.1322	0.0000	0.0000
//Nitrate	1	1.0000	2.3456	-77.8802
//Nitrate	3	1.0000	1.1741	0.5854
//Nitrate	233	1.0000	3.2640	0.9199
//Nitrate	276	1.0000	3.8954	0.0000
//pH	1	1.0000	0.0000	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5903891	1	C	02/13/2013	14:47	214.901	50.075	0	998.61	0	2.8516	0	34.3867	0	27.415	0	987.667	0	15.92	0	4.9	0	44.13	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903891	1	C	02/13/2013	14:47	214.901	50.075	0	951.33	0	2.9087	0	34.3733	0	27.399	0	941.012	0	16.65	0	5.1	0	44.18	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903891	1	C	02/13/2013	14:47	214.901	50.075	0	901.56	0	2.9634	0	34.3609	0	27.384	0	891.887	0	16.14	0	5.0	0	44.17	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903891	1	C	02/13/2013	14:47	214.901	50.075	0	849.01	0	3.0817	0	34.3343	0	27.351	0	840.007	0	15.96	0	4.9	0	43.86	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903891	1	C	02/13/2013	14:47	214.901	50.075	0	801.64	0	3.1733	0	34.3139	0	27.327	0	793.229	0	15.82	0	4.9	0	43.84	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903891	1	C	02/13/2013	14:47	214.901	50.075	0	751.40	0	3.2893	0	34.2882	0	27.295	0	743.605	0	16.18	0	5.0	0	43.76	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903891	1	C	02/13/2013	14:47	214.901	50.075	0	701.16	0	3.3877	0	34.2636	0	27.266	0	693.970	0	16.91	0	5.3	0	43.62	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903891	1	C	02/13/2013	14:47	214.901	50.075	0	651.32	0	3.4703	0	34.2419	0	27.240	0	644.718	0	18.26	0	5.7	0	43.35	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903891	1	C	02/13/2013	14:47	214.901	50.075	0	601.05	0	3.5324	0	34.2196	0	27.216	0	595.030	0	19.44	0	6.1	0	43.39	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903891	1	C	02/13/2013	14:47	214.901	50.075	0	551.41	0	3.5919	0	34.1872	0	27.184	0	545.952	0	18.96	0	5.9	0	43.37	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903891	1	C	02/13/2013	14:47	214.901	50.075	0	501.56	0	3.6602	0	34.1480	0	27.146	0	496.655	0	20.97	0	6.6	0	43.31	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903891	1	C	02/13/2013	14:47	214.901	50.075	0	451.59	0	3.7212	0	34.0971	0	27.099	0	447.227	0	22.99	0	7.2	0	43.37	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903891	1	C	02/13/2013	14:47	214.901	50.075	0	401.19	0	3.7600	0	34.0535	0	27.060	0	397.362	0	24.64	0	7.7	0	43.45	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903891	1	C	02/13/2013	14:47	214.901	50.075	0	380.99	0	3.7677	0	34.0338	0	27.044	0	377.374	0	26.60	0	8.3	0	43.32	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903891	1	C	02/13/2013	14:47	214.901	50.075	0	361.04	0	3.7810	0	34.0156	0	27.028	0	357.630	0	28.25	0	8.9	0	43.38	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903891	1	C	02/13/2013	14:47	214.901	50.075	0	351.39	0	3.7824	0	34.0037	0	27.018	0	348.079	0	29.04	0	9.1	0	43.34	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903891	1	C	02/13/2013	14:47	214.901	50.075	0	341.50	0	3.7802	0	33.9900	0	27.007	0	338.291	0	30.24	0	9.5	0	43.45	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903891	1	C	02/13/2013	14:47	214.901	50.075	0	331.62	0	3.7801	0	33.9737	0	26.994	0	328.511	0	31.27	0	9.8	0	43.40	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903891	1	C	02/13/2013	14:47	214.901	50.075	0	320.37	0	3.7757	0	33.9567	0	26.981	0	317.375	0	32.80	0	10.3	0	43.34	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903891	1	C	02/13/2013	14:47	214.901	50.075	0	311.39	0	3.7753	0	33.9451	0	26.972	0	308.486	0	33.80	0	10.6	0	43.30	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903891	1	C	02/13/2013	14:47	214.901	50.075	0	300.82	0	3.7477	0	33.9220	0	26.956	0	298.022	0	36.36	0	11.4	0	42.84	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903891	1	C	02/13/2013	14:47	214.901	50.075	0	291.56	0	3.7315	0	33.8983	0	26.939	0	288.855	0	41.90	0	13.1	0	42.36	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903891	1	C	02/13/2013	14:47	214.901	50.075	0	281.60	0	3.7174	0	33.8759	0	26.922	0	278.994	0	47.91	0	15.0	0	42.22	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903891	1	C	02/13/2013	14:47	214.901	50.075	0	271.07	0	3.7220	0	33.8644	0	26.913	0	268.568	0	53.62	0	16.8	0	41.71	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903891	1	C	02/13/2013	14:47	214.901	50.075	0	260.77	0	3.7198	0	33.8490	0	26.900	0	258.370	0	58.77	0	18.4	0	41.23	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903891	1	C	02/13/2013	14:47	214.901	50.075	0	250.85	0	3.7137	0	33.8370	0	26.891	0	248.547	0	62.79	0	19.6	0	40.91	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903891	1	C	02/13/2013	14:47	214.901	50.075	0	241.38	0	3.6998	0	33.8174	0	26.877	0	239.169	0	67.14	0	21.0	0	40.70	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903891	1	C	02/13/2013	14:47	214.901	50.075	0	231.27	0	3.7013	0	33.8028	0	26.865	0	229.157	0	73.25	0	22.9	0	40.24	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903891	1	C	02/13/2013	14:47	214.901	50.075	0	221.58	0	3.6828	0	33.7850	0	26.853	0	219.561	0	78.24	0	24.4	0	39.66	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903891	1	C	02/13/2013	14:47	214.901	50.075	0	208.49	0	3.6995	0	33.7664	0	26.836	0	206.597	0	85.68	0	26.8	0	39.05	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903891	1	C	02/13/2013	14:47	214.901	50.075	0	200.79	0	3.6943	0	33.7616	0	26.833	0	198.971	0	88.26	0	27.6	0	38.86	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903891	1	C	02/13/2013	14:47	214.901	50.075	0	190.74	0	3.7043	0	33.7472	0	26.820	0	189.016	0	93.28	0	29.1	0	38.52	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903891	1	C	02/13/2013	14:47	214.901	50.075	0	180.97	0	3.7118	0	33.7400	0	26.814	0	179.339	0	97.42	0	30.4	0	37.99	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903891	1	C	02/13/2013	14:47	214.901	50.075	0	171.54	0	3.7393	0	33.7131	0	26.790	0	169.998	0	103.58	0	32.4	0	37.21	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903891	1	C	02/13/2013	14:47	214.901	50.075	0	161.37	0	3.7471	0	33.7021	0	26.780	0	159.923	0	110.66	0	34.6	0	36.92	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903891	1	C	02/13/2013	14:47	214.901	50.075	0	151.33	0	3.7642	0	33.6818	0	26.762	0	149.977	0	115.91	0	36.3	0	36.11	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903891	1	C	02/13/2013	14:47	214.901	50.075	0	141.26	0	3.7933	0	33.6280	0	26.716	0	140.000	0	127.58	0	39.9	0	34.58	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903891	1	C	02/13/2013	14:47	214.901	50.075	0	131.43	0	3.8808	0	33.4921	0	26.600	0	130.261	0	147.03	0	46.0	0	31.83	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903891	1	C	02/13/2013	14:47	214.901	50.075	0	121.71	0	4.1891	0	33.3248	0	26.435	0	120.630	0	182.87	0	57.6	0	26.31	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903891	1	C	02/13/2013	14:47	214.901	50.075	0	111.62	0	4.5714	0	33.0298	0	26.161	0	110.632	0	233.39	0	74.1	0	22.70	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903891	1	C	02/13/2013	14:47	214.901	50.075	0	101.64	0	5.0069	0	32.7412	0	25.885	0	100.743	0	282.60	0	90.4	0	17.87	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
