//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 15:26
//!! ADJUSTED DATA FILE !!
//WMO ID: 5903272
//Univ. of Washington ID: 6891
//MBARI ID: 6891HAWAII
//No missing float profiles
//Missing Float position interpolated for station(s): 195 267 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 111 112 113 114 116 117 118 119 120 121 122 123 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 300 302 303 304 305 306 307 308 309 310 311 312 313 314 315 316 317 318 319 320 321 322 323 324 325 326 327 328 329 330 331 332 333 334 335 336 337 338 339 340 341 342 343 344 345 346 347 348 349 350 351 352 353 354 355 356 357 358 359 360 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	2811	
//Temperature[°C]	Sbe41cp	2811	
//Salinity[pss]	Sbe41cp	2811	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 3830	1209	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#F8.B01.4379 Spec#029 Equitech probe #2009.0827R10.02 Float#7008 HOT deployment	
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0268	0.0000	0.0028
//Oxygen	360	1.0412	0.0000	0.0000
//Nitrate	1	1.0000	1.3881	-1.1423
//Nitrate	120	1.0000	0.0777	-14.6774
//Nitrate	149	1.0000	-7.3165	0.0000
//pH	1	1.0000	0.0000	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	951.59	0	4.2938	0	34.4524	0	27.328	0	943.457	0	36.82	0	11.7	0	43.45	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	901.37	0	4.3821	0	34.4081	0	27.283	0	893.774	0	34.81	0	11.1	0	43.13	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	851.51	0	4.6061	0	34.3922	0	27.245	0	844.434	0	32.41	0	10.4	0	43.05	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	801.15	0	4.8685	0	34.3370	0	27.172	0	794.589	0	30.84	0	10.0	0	42.21	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	751.02	0	4.9992	0	34.3035	0	27.130	0	744.959	0	31.10	0	10.1	0	42.37	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	701.33	0	5.1621	0	34.2806	0	27.093	0	695.752	0	30.61	0	9.9	0	41.22	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	651.53	0	5.3567	0	34.2278	0	27.028	0	646.426	0	31.80	0	10.4	0	41.20	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	600.65	0	5.7227	0	34.1527	0	26.924	0	596.017	0	43.40	0	14.3	0	39.47	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	551.28	0	6.3581	0	34.0781	0	26.785	0	547.093	0	60.22	0	20.1	0	36.03	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	501.46	0	7.4309	0	34.0664	0	26.630	0	497.711	0	92.70	0	31.7	0	31.28	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	450.52	0	8.6505	0	34.0730	0	26.455	0	447.206	0	123.92	0	43.5	0	25.21	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	401.50	0	9.9522	0	34.0981	0	26.264	0	398.594	0	150.58	0	54.4	0	20.27	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	381.39	0	10.8149	0	34.1194	0	26.132	0	378.648	0	166.53	0	61.3	0	17.03	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	360.90	0	12.1740	0	34.2271	0	25.965	0	358.323	0	171.95	0	65.2	0	13.17	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	351.08	0	12.5211	0	34.2839	0	25.942	0	348.581	0	180.52	0	69.0	0	12.32	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	341.22	0	12.7027	0	34.2989	0	25.918	0	338.800	0	186.85	0	71.7	0	12.31	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	331.15	0	12.7863	0	34.3041	0	25.906	0	328.809	0	188.55	0	72.4	0	12.41	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	321.77	0	13.4830	0	34.3258	0	25.783	0	319.503	0	185.58	0	72.3	0	10.77	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	311.34	0	14.2416	0	34.3865	0	25.672	0	309.154	0	183.09	0	72.5	0	9.50	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	301.35	0	14.9311	0	34.4602	0	25.581	0	299.241	0	180.99	0	72.7	0	8.82	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	291.10	0	15.9706	0	34.6077	0	25.464	0	289.070	0	181.06	0	74.3	0	6.54	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	280.75	0	16.2879	0	34.6565	0	25.429	0	278.799	0	185.30	0	76.5	0	6.21	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	270.90	0	16.4766	0	34.6821	0	25.404	0	269.024	0	187.85	0	77.8	0	6.12	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	261.68	0	16.9951	0	34.7485	0	25.334	0	259.874	0	187.24	0	78.4	0	5.74	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	251.14	0	17.6494	0	34.8453	0	25.251	0	249.413	0	186.33	0	79.0	0	5.10	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	241.41	0	18.3090	0	34.9465	0	25.166	0	239.755	0	184.85	0	79.4	0	4.80	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	231.29	0	18.7114	0	35.0140	0	25.117	0	229.710	0	185.59	0	80.4	0	4.32	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	221.29	0	19.2660	0	35.1300	0	25.064	0	219.784	0	188.40	0	82.5	0	3.49	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	211.62	0	19.6324	0	35.2043	0	25.025	0	210.185	0	194.08	0	85.6	0	2.73	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	201.21	0	19.8769	0	35.2618	0	25.005	0	199.850	0	197.68	0	87.6	0	2.62	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	191.47	0	20.0933	0	35.3131	0	24.987	0	190.181	0	200.41	0	89.2	0	1.73	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	180.95	0	20.3189	0	35.3562	0	24.959	0	179.736	0	203.65	0	91.0	0	1.46	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	171.26	0	20.4623	0	35.3599	0	24.923	0	170.115	0	204.82	0	91.8	0	1.24	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	161.66	0	20.6922	0	35.3829	0	24.879	0	160.583	0	205.38	0	92.4	0	1.23	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	151.71	0	20.8946	0	35.4017	0	24.838	0	150.703	0	206.50	0	93.3	0	1.64	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	141.74	0	21.1979	0	35.3856	0	24.742	0	140.802	0	206.82	0	93.9	0	1.08	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	130.78	0	21.6712	0	35.3812	0	24.608	0	129.918	0	206.52	0	94.6	0	1.23	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	120.69	0	21.7737	0	35.3787	0	24.577	0	119.898	0	206.98	0	95.0	0	1.20	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	111.44	0	22.0877	0	35.3861	0	24.494	0	110.711	0	207.79	0	95.9	0	0.93	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	101.41	0	22.2871	0	35.3548	0	24.414	0	100.749	0	209.97	0	97.2	0	0.90	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	96.80	0	22.4187	0	35.3489	0	24.372	0	96.170	0	209.95	0	97.4	0	0.65	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	91.54	0	22.5973	0	35.3359	0	24.311	0	90.946	0	209.27	0	97.4	0	0.83	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	86.64	0	22.8272	0	35.3365	0	24.245	0	86.078	0	210.03	0	98.1	0	0.78	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	81.66	0	22.9477	0	35.3382	0	24.212	0	81.132	0	211.52	0	99.0	0	0.54	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	76.76	0	22.9961	0	35.3339	0	24.194	0	76.264	0	212.26	0	99.4	0	0.28	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	71.59	0	23.0417	0	35.3222	0	24.172	0	71.129	0	212.47	0	99.6	0	0.81	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	66.62	0	23.1159	0	35.3167	0	24.146	0	66.191	0	212.85	0	99.9	0	0.53	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	61.86	0	23.1961	0	35.3152	0	24.121	0	61.463	0	213.37	0	100.3	0	0.46	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	56.45	0	23.7613	0	35.2838	0	23.932	0	56.088	0	216.24	0	102.6	0	1.30	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	51.47	0	24.1231	0	35.3064	0	23.842	0	51.141	0	214.51	0	102.4	0	0.75	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	46.33	0	24.2598	0	35.3082	0	23.802	0	46.034	0	213.20	0	102.0	0	0.28	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	41.80	0	24.2716	0	35.3074	0	23.798	0	41.534	0	212.35	0	101.6	0	0.46	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	36.89	0	24.2899	0	35.3102	0	23.794	0	36.655	0	212.01	0	101.5	0	0.02	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	31.72	0	24.2916	0	35.3102	0	23.793	0	31.519	0	212.14	0	101.6	0	0.45	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	26.56	0	24.3022	0	35.3087	0	23.789	0	26.392	0	212.03	0	101.5	0	0.29	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	21.30	0	24.3047	0	35.3080	0	23.787	0	21.165	0	211.97	0	101.5	0	0.65	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	16.84	0	24.2990	0	35.3092	0	23.789	0	16.734	0	211.97	0	101.5	0	0.41	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	11.52	0	24.3010	0	35.3086	0	23.788	0	11.447	0	212.10	0	101.6	0	0.37	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0	7.78	0	24.3006	0	35.3085	0	23.788	0	7.731	0	212.25	0	101.6	0	0.29	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	1	C	05/21/2010	11:13	202.006	22.675	0																										
5903272	2	C	05/26/2010	15:28	202.012	22.457	0	999.48	0	4.1586	0	34.4803	0	27.364	0	990.839	0	38.37	0	12.2	0	42.66	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	2	C	05/26/2010	15:28	202.012	22.457	0	951.59	0	4.2509	0	34.4725	0	27.348	0	943.471	0	37.00	0	11.8	0	42.43	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	2	C	05/26/2010	15:28	202.012	22.457	0	900.74	0	4.4023	0	34.4518	0	27.315	0	893.163	0	34.38	0	11.0	0	42.38	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	2	C	05/26/2010	15:28	202.012	22.457	0	851.36	0	4.5511	0	34.3891	0	27.249	0	844.298	0	32.72	0	10.5	0	42.07	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	2	C	05/26/2010	15:28	202.012	22.457	0	801.05	0	4.8056	0	34.3442	0	27.185	0	794.501	0	30.34	0	9.8	0	41.81	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	2	C	05/26/2010	15:28	202.012	22.457	0	751.15	0	5.0114	0	34.3026	0	27.128	0	745.098	0	30.06	0	9.7	0	41.49	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	2	C	05/26/2010	15:28	202.012	22.457	0	701.60	0	5.3293	0	34.2598	0	27.057	0	696.030	0	29.00	0	9.5	0	40.49	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	2	C	05/26/2010	15:28	202.012	22.457	0	651.58	0	5.5917	0	34.1827	0	26.964	0	646.484	0	38.44	0	12.6	0	39.09	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	2	C	05/26/2010	15:28	202.012	22.457	0	601.03	0	5.9019	0	34.1247	0	26.880	0	596.402	0	53.68	0	17.7	0	37.25	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	2	C	05/26/2010	15:28	202.012	22.457	0	551.31	0	6.5069	0	34.0777	0	26.765	0	547.130	0	70.47	0	23.6	0	34.16	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	2	C	05/26/2010	15:28	202.012	22.457	0	501.42	0	7.4326	0	34.0682	0	26.632	0	497.678	0	92.17	0	31.5	0	30.43	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	2	C	05/26/2010	15:28	202.012	22.457	0	450.98	0	8.8240	0	34.0843	0	26.437	0	447.669	0	125.81	0	44.4	0	24.36	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	2	C	05/26/2010	15:28	202.012	22.457	0	400.91	0	10.4502	0	34.1101	0	26.188	0	398.015	0	163.53	0	59.7	0	17.23	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	2	C	05/26/2010	15:28	202.012	22.457	0	381.37	0	11.7895	0	34.2379	0	26.047	0	378.634	0	176.02	0	66.2	0	13.37	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	2	C	05/26/2010	15:28	202.012	22.457	0	361.01	0	12.1103	0	34.2568	0	26.000	0	358.437	0	185.25	0	70.2	0	12.58	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	2	C	05/26/2010	15:28	202.012	22.457	0	351.25	0	12.5199	0	34.2834	0	25.942	0	348.755	0	186.63	0	71.3	0	12.06	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	2	C	05/26/2010	15:28	202.012	22.457	0	341.60	0	12.7012	0	34.2999	0	25.919	0	339.181	0	187.61	0	71.9	0	11.69	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	2	C	05/26/2010	15:28	202.012	22.457	0	331.64	0	12.9185	0	34.3067	0	25.882	0	329.300	0	187.17	0	72.1	0	11.21	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	2	C	05/26/2010	15:28	202.012	22.457	0	321.59	0	13.1755	0	34.3185	0	25.839	0	319.328	0	185.99	0	72.0	0	11.06	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	2	C	05/26/2010	15:28	202.012	22.457	0	311.00	0	13.2920	0	34.3250	0	25.821	0	308.821	0	185.24	0	71.9	0	10.52	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	2	C	05/26/2010	15:28	202.012	22.457	0	301.39	0	13.9171	0	34.3733	0	25.730	0	299.285	0	183.53	0	72.2	0	9.67	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	2	C	05/26/2010	15:28	202.012	22.457	0	289.37	0	14.2015	0	34.4072	0	25.696	0	287.357	0	182.90	0	72.4	0	8.97	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	2	C	05/26/2010	15:28	202.012	22.457	0	281.20	0	14.6497	0	34.4482	0	25.632	0	279.250	0	183.38	0	73.2	0	8.47	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	2	C	05/26/2010	15:28	202.012	22.457	0	271.08	0	14.9306	0	34.4807	0	25.596	0	269.207	0	182.82	0	73.4	0	8.07	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903272	2	C	05/26/2010	15:28	202.012	22.457	0	260.88	0	15.7045	0	34.5638	0	25.489	0	259.083	0	181.23	0	73.9	0	6.96	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
