//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 15:37
//!! ADJUSTED DATA FILE !!
//WMO ID: 5903612
//Univ. of Washington ID: 6967
//MBARI ID: 6967SOATLANTIC
//No missing float profiles
//Missing Float position interpolated for station(s): 42 44 62 90 100 155 190 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	3035	
//Temperature[°C]	Sbe41cp	3035	
//Salinity[pss]	Sbe41cp	3035	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	424	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#G0.C01.5592 Spec#001 Equitech probe #2011.0420R10.02 MBARI ARGO float#7021	
//Chl_a[mg/m^3]	FLBBAP2	2100	
//Chl_a_corr[mg/m^3]	FLBBAP2	2100	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	2100	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	2100	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0700	0.0000	0.0000
//Nitrate	1	1.0000	-0.6789	3.6624
//Nitrate	40	1.0000	1.4452	-4.4793
//Nitrate	80	1.0000	-1.5061	2.5214
//Nitrate	112	1.0000	2.0791	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5903612	1	C	12/11/2011	22:37	8.357	-42.299	0	999.35	0	3.1810	0	34.3676	0	27.370	0	989.104	0	193.62	0	60.0	0	33.84	0	0.0072	0	0.0024	0	0.000387	1	-1E+10	1	1.26	1
5903612	1	C	12/11/2011	22:37	8.357	-42.299	0	949.57	0	3.2660	0	34.3401	0	27.340	0	939.946	0	199.11	0	61.8	0	33.68	0	0.0072	0	0.0024	0	0.000452	1	-1E+10	1	1.43	1
5903612	1	C	12/11/2011	22:37	8.357	-42.299	0	901.15	0	3.3348	0	34.3111	0	27.310	0	892.120	0	204.92	0	63.7	0	33.34	0	0.0072	0	0.0024	0	0.000439	1	-1E+10	1	1.40	1
5903612	1	C	12/11/2011	22:37	8.357	-42.299	0	851.05	0	3.4960	0	34.2855	0	27.274	0	842.623	0	211.74	0	66.1	0	32.81	0	0.0072	0	0.0024	0	0.000414	1	-1E+10	1	1.33	1
5903612	1	C	12/11/2011	22:37	8.357	-42.299	0	801.50	0	3.6294	0	34.2632	0	27.243	0	793.658	0	218.35	0	68.4	0	32.39	0	0.0036	0	0.0012	0	0.000466	1	-1E+10	1	1.47	1
5903612	1	C	12/11/2011	22:37	8.357	-42.299	0	751.22	0	3.6303	0	34.2234	0	27.211	0	743.959	0	228.95	0	71.7	0	31.61	0	0.0000	0	0.0000	0	0.000414	1	-1E+10	1	1.33	1
5903612	1	C	12/11/2011	22:37	8.357	-42.299	0	701.23	0	3.8421	0	34.2182	0	27.185	0	694.536	0	234.35	0	73.7	0	31.04	0	0.0072	0	0.0024	0	0.000480	1	-1E+10	1	1.50	1
5903612	1	C	12/11/2011	22:37	8.357	-42.299	0	651.55	0	3.9452	0	34.2063	0	27.165	0	645.407	0	235.80	0	74.4	0	30.30	0	0.0072	0	0.0024	0	0.000428	1	-1E+10	1	1.37	1
5903612	1	C	12/11/2011	22:37	8.357	-42.299	0	601.30	0	4.0972	0	34.1930	0	27.139	0	595.702	0	244.06	0	77.2	0	29.78	0	0.0072	0	0.0024	0	0.000441	1	-1E+10	1	1.40	1
5903612	1	C	12/11/2011	22:37	8.357	-42.299	0	550.91	0	4.3522	0	34.1893	0	27.109	0	545.848	0	245.37	0	78.1	0	28.70	0	0.0072	0	0.0024	0	0.000455	1	-1E+10	1	1.44	1
5903612	1	C	12/11/2011	22:37	8.357	-42.299	0	501.13	0	4.5199	0	34.1815	0	27.084	0	496.584	0	250.95	0	80.2	0	28.25	0	0.0000	0	0.0000	0	0.000455	1	-1E+10	1	1.44	1
5903612	1	C	12/11/2011	22:37	8.357	-42.299	0	451.11	0	4.9545	0	34.2065	0	27.056	0	447.072	0	247.46	0	80.0	0	27.69	0	0.0072	0	0.0024	0	0.000430	1	-1E+10	1	1.37	1
5903612	1	C	12/11/2011	22:37	8.357	-42.299	0	401.23	0	5.3014	0	34.2307	0	27.034	0	397.686	0	244.77	0	79.7	0	26.86	0	0.0036	0	0.0012	0	0.000482	1	-1E+10	1	1.51	1
5903612	1	C	12/11/2011	22:37	8.357	-42.299	0	381.04	0	5.4145	0	34.2392	0	27.027	0	377.693	0	244.22	0	79.8	0	26.29	0	0.0036	0	0.0012	0	0.000456	1	-1E+10	1	1.44	1
5903612	1	C	12/11/2011	22:37	8.357	-42.299	0	361.12	0	5.7828	0	34.2728	0	27.009	0	357.965	0	242.20	0	79.8	0	25.79	0	0.0036	0	0.0012	0	0.000470	1	-1E+10	1	1.48	1
5903612	1	C	12/11/2011	22:37	8.357	-42.299	0	351.32	0	6.0327	0	34.2990	0	26.999	0	348.259	0	239.52	0	79.4	0	25.38	0	0.0072	0	0.0024	0	0.000483	1	-1E+10	1	1.51	1
5903612	1	C	12/11/2011	22:37	8.357	-42.299	0	341.29	0	6.2137	0	34.3181	0	26.991	0	338.325	0	237.78	0	79.2	0	24.61	0	0.0036	0	0.0012	0	0.000509	1	-1E+10	1	1.58	1
5903612	1	C	12/11/2011	22:37	8.357	-42.299	0	331.69	0	6.4052	0	34.3383	0	26.982	0	328.816	0	235.96	0	78.9	0	24.58	0	0.0072	0	0.0024	0	0.000484	1	-1E+10	1	1.51	1
5903612	1	C	12/11/2011	22:37	8.357	-42.299	0	320.45	0	6.6439	0	34.3625	0	26.969	0	317.682	0	234.45	0	78.9	0	23.76	0	0.0036	0	0.0012	0	0.000458	1	-1E+10	1	1.44	1
5903612	1	C	12/11/2011	22:37	8.357	-42.299	0	310.67	0	6.8154	0	34.3812	0	26.961	0	307.993	0	234.41	0	79.2	0	23.25	0	0.0072	0	0.0024	0	0.000497	1	-1E+10	1	1.55	1
5903612	1	C	12/11/2011	22:37	8.357	-42.299	0	301.64	0	7.0346	0	34.4008	0	26.946	0	299.048	0	234.32	0	79.6	0	22.80	0	0.0072	0	0.0024	0	0.000498	1	-1E+10	1	1.55	1
5903612	1	C	12/11/2011	22:37	8.357	-42.299	0	291.50	0	7.1567	0	34.4134	0	26.939	0	289.002	0	234.79	0	80.0	0	22.36	0	0.0108	0	0.0036	0	0.000459	1	-1E+10	1	1.45	1
5903612	1	C	12/11/2011	22:37	8.357	-42.299	0	280.94	0	7.3625	0	34.4330	0	26.925	0	278.539	0	235.42	0	80.6	0	21.54	0	0.0072	0	0.0024	0	0.000485	1	-1E+10	1	1.51	1
5903612	1	C	12/11/2011	22:37	8.357	-42.299	0	271.67	0	7.5990	0	34.4526	0	26.907	0	269.355	0	236.96	0	81.5	0	20.44	0	0.0072	0	0.0024	0	0.000485	1	-1E+10	1	1.52	1
5903612	1	C	12/11/2011	22:37	8.357	-42.299	0	261.37	0	7.7942	0	34.4679	0	26.890	0	259.149	0	239.95	0	82.9	0	19.49	0	0.0108	0	0.0036	0	0.000512	1	-1E+10	1	1.58	1
5903612	1	C	12/11/2011	22:37	8.357	-42.299	0	251.37	0	7.8039	0	34.4507	0	26.875	0	249.240	0	243.88	0	84.3	0	18.99	0	0.0072	0	0.0024	0	0.000499	1	-1E+10	1	1.55	1
5903612	1	C	12/11/2011	22:37	8.357	-42.299	0	241.45	0	8.1298	0	34.4844	0	26.853	0	239.410	0	246.28	0	85.8	0	18.11	0	0.0072	0	0.0024	0	0.000499	1	-1E+10	1	1.55	1
5903612	1	C	12/11/2011	22:37	8.357	-42.299	0	231.07	0	8.1338	0	34.4788	0	26.848	0	229.123	0	249.53	0	86.9	0	17.24	0	0.0072	0	0.0024	0	0.000512	1	-1E+10	1	1.58	1
5903612	1	C	12/11/2011	22:37	8.357	-42.299	0	220.93	0	8.1233	0	34.4639	0	26.838	0	219.074	0	251.93	0	87.7	0	17.08	0	0.0072	0	0.0024	0	0.000499	1	-1E+10	1	1.55	1
5903612	1	C	12/11/2011	22:37	8.357	-42.299	0	211.06	0	8.1100	0	34.4426	0	26.823	0	209.292	0	257.45	0	89.6	0	15.95	0	0.0036	0	0.0012	0	0.000473	1	-1E+10	1	1.48	1
