//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 15:41
//!! ADJUSTED DATA FILE !!
//WMO ID: 5903718
//Univ. of Washington ID: 6968
//MBARI ID: 6968SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 30 84 165 172 185 242 244 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 52 95 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	2814	
//Temperature[°C]	Sbe41cp	2814	
//Salinity[pss]	Sbe41cp	2814	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 3830	1270	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#F8.B01.4387 Spec#030 Equitech probe #2009.0827R10.10 Float#7012 Southern Ocean	
//Chl_a[mg/m^3]	FLBBAP2	1738	
//Chl_a_corr[mg/m^3]	FLBBAP2	1738	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	1738	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	1738	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1600	0.0000	0.0000
//Nitrate	1	1.0000	3.0500	0.0000
//Nitrate	2	1.0000	-0.5000	0.0000
//Nitrate	7	1.0000	0.6000	-9.2230
//Nitrate	19	1.0000	-0.1000	0.8610
//Nitrate	118	1.0000	-0.3000	2.4960
//Nitrate	180	1.0000	-0.2000	-1.6520
//Nitrate	250	1.0000	0.0000	0.0000
//pH	1	1.0000	0.0000	0.0000
//Chl	1	0.5000	0.0000	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5903718	1	C	03/06/2012	01:28	178.065	-49.935	0	951.42	0	3.0991	0	34.3831	0	27.390	0	941.112	0	185.66	0	57.4	0	34.89	0	0.0111	0	0.0037	0	0.000337	1	-1E+10	1	1.13	1
5903718	1	C	03/06/2012	01:28	178.065	-49.935	0	900.99	0	3.1300	0	34.3350	0	27.348	0	891.336	0	193.86	0	60.0	0	34.74	0	0.0074	0	0.0025	0	0.000312	1	-1E+10	1	1.07	1
5903718	1	C	03/06/2012	01:28	178.065	-49.935	0	850.87	0	3.4138	0	34.3359	0	27.322	0	841.854	0	193.89	0	60.4	0	34.16	0	0.0111	0	0.0037	0	0.000349	1	-1E+10	1	1.16	1
5903718	1	C	03/06/2012	01:28	178.065	-49.935	0	801.32	0	3.5884	0	34.3135	0	27.287	0	792.923	0	200.94	0	62.9	0	33.39	0	0.0074	0	0.0025	0	0.000338	1	-1E+10	1	1.13	1
5903718	1	C	03/06/2012	01:28	178.065	-49.935	0	750.77	0	3.7442	0	34.2744	0	27.240	0	742.993	0	208.58	0	65.5	0	32.48	0	0.0074	0	0.0025	0	0.000362	1	-1E+10	1	1.20	1
5903718	1	C	03/06/2012	01:28	178.065	-49.935	0	700.59	0	4.0224	0	34.2330	0	27.179	0	693.416	0	217.53	0	68.7	0	31.29	0	0.0074	0	0.0025	0	0.000351	1	-1E+10	1	1.17	1
5903718	1	C	03/06/2012	01:28	178.065	-49.935	0	651.60	0	4.2641	0	34.2272	0	27.149	0	645.003	0	225.83	0	71.8	0	30.59	0	0.0074	0	0.0025	0	0.000363	1	-1E+10	1	1.20	1
5903718	1	C	03/06/2012	01:28	178.065	-49.935	0	599.48	0	4.2722	0	34.1763	0	27.107	0	593.485	0	244.42	0	77.7	0	29.17	0	0.0111	0	0.0037	0	0.000351	1	-1E+10	1	1.17	1
5903718	1	C	03/06/2012	01:28	178.065	-49.935	0	551.48	0	4.4208	0	34.1602	0	27.078	0	546.028	0	260.60	0	83.1	0	27.61	0	0.0074	0	0.0025	0	0.000364	1	-1E+10	1	1.20	1
5903718	1	C	03/06/2012	01:28	178.065	-49.935	0	501.38	0	5.0214	0	34.2105	0	27.052	0	496.483	0	265.92	0	86.1	0	26.07	0	0.0074	0	0.0025	0	0.000462	1	-1E+10	1	1.46	1
5903718	1	C	03/06/2012	01:28	178.065	-49.935	0	451.14	0	5.1652	0	34.2116	0	27.035	0	446.788	0	278.82	0	90.5	0	25.35	0	0.0074	0	0.0025	0	0.000426	1	-1E+10	1	1.36	1
5903718	1	C	03/06/2012	01:28	178.065	-49.935	0	400.62	0	5.6325	0	34.2627	0	27.020	0	396.803	0	254.43	0	83.6	0	26.27	0	0.0111	0	0.0037	0	0.000378	1	-1E+10	1	1.24	1
5903718	1	C	03/06/2012	01:28	178.065	-49.935	0	380.66	0	5.5980	0	34.2454	0	27.010	0	377.052	0	249.16	0	81.8	0	25.66	0	0.0074	0	0.0025	0	0.000512	1	-1E+10	1	1.58	1
5903718	1	C	03/06/2012	01:28	178.065	-49.935	0	361.48	0	5.5077	0	34.2146	0	26.997	0	358.070	0	259.50	0	84.9	0	25.15	0	0.0074	0	0.0025	0	0.000439	1	-1E+10	1	1.39	1
5903718	1	C	03/06/2012	01:28	178.065	-49.935	0	351.09	0	5.5313	0	34.2127	0	26.992	0	347.787	0	263.29	0	86.2	0	24.92	0	0.0074	0	0.0025	0	0.000414	1	-1E+10	1	1.33	1
5903718	1	C	03/06/2012	01:28	178.065	-49.935	0	340.94	0	5.4651	0	34.1882	0	26.981	0	337.741	0	267.74	0	87.5	0	24.74	0	0.0074	0	0.0025	0	0.000427	1	-1E+10	1	1.36	1
