//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 15:45
//!! ADJUSTED DATA FILE !!
//WMO ID: 5903405
//Univ. of Washington ID: 6972
//MBARI ID: 6972STNP
//No missing float profiles
//Missing Float position interpolated for station(s): 3 63 72 74 101 120 126 129 153 192 207 219 238 264 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 78 120 223 224 225 271 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	2818	
//Temperature[°C]	Sbe41cp	2818	
//Salinity[pss]	Sbe41cp	2818	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 3830	1281	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#G0.C01.5459 Spec#034 Equitech probe #2009.0827R10.06 Float#7015 Sta P deployment	
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0700	0.0000	0.0000
//Nitrate	1	1.0000	4.4729	0.0000
//Nitrate	8	1.0000	4.2744	-5.8742
//Nitrate	59	1.0000	0.1872	0.0000
//Nitrate	60	1.0000	2.6287	0.0000
//Nitrate	100	1.0000	2.3208	-3.0506
//Nitrate	192	1.0000	-4.4062	0.0000
//Nitrate	250	1.0000	-3.2802	7.2094
//Nitrate	271	1.0000	-0.3202	0.0000
//pH	1	1.0000	0.0000	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5903405	1	C	02/16/2011	18:34	215.013	50.006	0	901.47	0	2.9963	0	34.3537	0	27.375	0	891.804	0	15.06	0	4.6	0	44.15	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903405	1	C	02/16/2011	18:34	215.013	50.006	0	851.13	0	3.0721	0	34.3340	0	27.352	0	842.105	0	15.57	0	4.8	0	44.10	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903405	1	C	02/16/2011	18:34	215.013	50.006	0	801.33	0	3.1324	0	34.3164	0	27.332	0	792.928	0	15.95	0	4.9	0	44.13	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903405	1	C	02/16/2011	18:34	215.013	50.006	0	750.95	0	3.1992	0	34.2980	0	27.311	0	743.166	0	16.22	0	5.0	0	43.85	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903405	1	C	02/16/2011	18:34	215.013	50.006	0	701.73	0	3.3100	0	34.2685	0	27.277	0	694.538	0	16.59	0	5.2	0	43.83	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903405	1	C	02/16/2011	18:34	215.013	50.006	0	650.93	0	3.4225	0	34.2397	0	27.243	0	644.337	0	17.06	0	5.3	0	43.71	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903405	1	C	02/16/2011	18:34	215.013	50.006	0	600.86	0	3.5179	0	34.2143	0	27.213	0	594.845	0	17.98	0	5.6	0	43.63	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903405	1	C	02/16/2011	18:34	215.013	50.006	0	551.29	0	3.6206	0	34.1839	0	27.179	0	545.837	0	19.45	0	6.1	0	43.33	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903405	1	C	02/16/2011	18:34	215.013	50.006	0	501.04	0	3.7106	0	34.1519	0	27.144	0	496.144	0	22.76	0	7.1	0	43.01	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903405	1	C	02/16/2011	18:34	215.013	50.006	0	450.91	0	3.7939	0	34.1123	0	27.104	0	446.557	0	26.81	0	8.4	0	42.69	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903405	1	C	02/16/2011	18:34	215.013	50.006	0	401.17	0	3.8614	0	34.0618	0	27.057	0	397.345	0	32.57	0	10.2	0	42.43	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903405	1	C	02/16/2011	18:34	215.013	50.006	0	380.87	0	3.8802	0	34.0434	0	27.040	0	377.257	0	35.64	0	11.2	0	42.08	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903405	1	C	02/16/2011	18:34	215.013	50.006	0	361.63	0	3.8920	0	34.0307	0	27.029	0	358.216	0	38.32	0	12.1	0	41.94	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903405	1	C	02/16/2011	18:34	215.013	50.006	0	351.29	0	3.9045	0	34.0159	0	27.016	0	347.983	0	40.13	0	12.6	0	41.87	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903405	1	C	02/16/2011	18:34	215.013	50.006	0	341.65	0	3.9139	0	34.0020	0	27.003	0	338.441	0	41.96	0	13.2	0	41.62	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903405	1	C	02/16/2011	18:34	215.013	50.006	0	331.50	0	3.9162	0	33.9894	0	26.993	0	328.395	0	43.64	0	13.7	0	41.75	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903405	1	C	02/16/2011	18:34	215.013	50.006	0	321.61	0	3.9220	0	33.9804	0	26.985	0	318.605	0	45.33	0	14.3	0	41.62	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903405	1	C	02/16/2011	18:34	215.013	50.006	0	311.46	0	3.9276	0	33.9678	0	26.975	0	308.557	0	47.28	0	14.9	0	41.39	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903405	1	C	02/16/2011	18:34	215.013	50.006	0	301.22	0	3.9377	0	33.9540	0	26.963	0	298.420	0	50.27	0	15.8	0	41.15	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903405	1	C	02/16/2011	18:34	215.013	50.006	0	291.52	0	3.9426	0	33.9391	0	26.950	0	288.817	0	53.19	0	16.7	0	40.96	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903405	1	C	02/16/2011	18:34	215.013	50.006	0	281.37	0	3.9547	0	33.9296	0	26.941	0	278.768	0	55.45	0	17.5	0	41.00	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903405	1	C	02/16/2011	18:34	215.013	50.006	0	271.08	0	3.9553	0	33.9111	0	26.926	0	268.580	0	58.14	0	18.3	0	40.44	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903405	1	C	02/16/2011	18:34	215.013	50.006	0	261.29	0	3.9582	0	33.9003	0	26.918	0	258.886	0	62.92	0	19.8	0	40.24	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903405	1	C	02/16/2011	18:34	215.013	50.006	0	251.02	0	3.9842	0	33.8903	0	26.907	0	248.717	0	64.79	0	20.4	0	39.92	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903405	1	C	02/16/2011	18:34	215.013	50.006	0	240.93	0	4.0429	0	33.8766	0	26.890	0	238.725	0	66.98	0	21.1	0	40.00	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903405	1	C	02/16/2011	18:34	215.013	50.006	0	231.21	0	4.1147	0	33.8755	0	26.882	0	229.100	0	64.79	0	20.5	0	40.40	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903405	1	C	02/16/2011	18:34	215.013	50.006	0	221.28	0	4.1354	0	33.8592	0	26.866	0	219.265	0	64.53	0	20.4	0	39.83	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903405	1	C	02/16/2011	18:34	215.013	50.006	0	211.58	0	4.1594	0	33.8398	0	26.848	0	209.659	0	69.26	0	21.9	0	39.15	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903405	1	C	02/16/2011	18:34	215.013	50.006	0	201.13	0	4.1738	0	33.8330	0	26.842	0	199.309	0	74.82	0	23.7	0	38.89	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903405	1	C	02/16/2011	18:34	215.013	50.006	0	191.53	0	4.2199	0	33.8123	0	26.820	0	189.800	0	80.80	0	25.6	0	37.98	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903405	1	C	02/16/2011	18:34	215.013	50.006	0	181.28	0	4.2513	0	33.7986	0	26.806	0	179.647	0	87.91	0	27.8	0	37.35	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903405	1	C	02/16/2011	18:34	215.013	50.006	0	170.92	0	4.3141	0	33.7698	0	26.776	0	169.385	0	96.77	0	30.7	0	36.02	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903405	1	C	02/16/2011	18:34	215.013	50.006	0	160.95	0	4.3603	0	33.7601	0	26.764	0	159.508	0	106.10	0	33.7	0	35.40	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
