//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 15:50
//!! ADJUSTED DATA FILE !!
//WMO ID: 5903594
//Univ. of Washington ID: 6975
//MBARI ID: 6975BERMUDA
//No missing float profiles
//Missing Float position interpolated for station(s): 8 26 76 96 99 143 210 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 28 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	2815	
//Temperature[°C]	Sbe41cp	2815	
//Salinity[pss]	Sbe41cp	2815	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 3830	1278	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#F8.B01.4453 Spec#006 Equitech probe #2009.0827R10.08 Float#7011 BATS deployment	
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1334	0.0000	0.0114
//Oxygen	253	1.1743	0.0000	0.0000
//Nitrate	1	0.9500	-1.3469	2.3068
//Nitrate	62	0.9500	0.8825	0.0000
//Nitrate	117	0.9500	0.5784	0.0000
//Nitrate	158	0.9500	1.5336	-1.1748
//Nitrate	197	0.9500	0.5317	1.2398
//Nitrate	253	0.9500	1.7728	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5903594	1	C	10/06/2011	00:53	295.779	31.611	0	999.48	0	7.7135	0	35.1253	0	27.431	0	990.165	0	162.78	0	56.4	0	24.67	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903594	1	C	10/06/2011	00:53	295.779	31.611	0	951.21	0	8.6289	0	35.1809	0	27.336	0	942.453	0	151.26	0	53.5	0	24.61	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903594	1	C	10/06/2011	00:53	295.779	31.611	0	901.11	0	9.5873	0	35.2597	0	27.243	0	892.921	0	145.00	0	52.4	0	24.04	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903594	1	C	10/06/2011	00:53	295.779	31.611	0	851.44	0	10.6391	0	35.3702	0	27.148	0	843.803	0	141.55	0	52.4	0	22.87	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903594	1	C	10/06/2011	00:53	295.779	31.611	0	801.23	0	11.7726	0	35.5134	0	27.052	0	794.139	0	145.93	0	55.4	0	19.97	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903594	1	C	10/06/2011	00:53	295.779	31.611	0	750.68	0	13.1059	0	35.6987	0	26.935	0	744.126	0	154.61	0	60.4	0	16.96	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903594	1	C	10/06/2011	00:53	295.779	31.611	0	700.55	0	13.9593	0	35.8351	0	26.864	0	694.517	0	163.60	0	65.1	0	14.48	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903594	1	C	10/06/2011	00:53	295.779	31.611	0	650.74	0	14.9156	0	35.9869	0	26.775	0	645.213	0	171.25	0	69.5	0	12.74	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903594	1	C	10/06/2011	00:53	295.779	31.611	0	601.61	0	15.9924	0	36.1735	0	26.676	0	596.571	0	173.74	0	72.1	0	10.49	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903594	1	C	10/06/2011	00:53	295.779	31.611	0	551.27	0	16.8995	0	36.3537	0	26.601	0	546.718	0	187.49	0	79.2	0	7.66	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
