//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 15:54
//!! ADJUSTED DATA FILE !!
//WMO ID: 5903377
//Univ. of Washington ID: 6976
//MBARI ID: 6976BERMUDA
//No missing float profiles
//Missing Float position interpolated for station(s): 10 12 29 89 106 145 267 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 142 143 144 145 146 147 148 149 150 152 154 155 156 157 158 159 160 161 163 164 165 166 167 169 170 171 175 176 178 180 181 182 190 191 192 193 206 209 249 253 261 262 293 301 302 303 304 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	2816	
//Temperature[°C]	Sbe41cp	2816	
//Salinity[pss]	Sbe41cp	2816	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 3830	1277	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#F8.B01.4394 Spec#018 Equitech probe #2009.0827R10.04 Float#7010 BATS deployment	
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1100	0.0000	0.0000
//Nitrate	1	1.0000	2.0000	0.0000
//Nitrate	301	1.0000	2.0000	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5903377	1	C	11/12/2010	15:55	295.836	31.760	0	800.98	0	10.5420	0	35.3621	0	27.158	0	793.881	0	138.82	0	51.3	0	23.49	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903377	1	C	11/12/2010	15:55	295.836	31.760	0	751.48	0	11.6016	0	35.4931	0	27.067	0	744.908	0	139.73	0	52.8	0	21.81	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903377	1	C	11/12/2010	15:55	295.836	31.760	0	701.64	0	12.8268	0	35.6618	0	26.961	0	695.587	0	145.54	0	56.5	0	18.66	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903377	1	C	11/12/2010	15:55	295.836	31.760	0	650.07	0	13.9436	0	35.8270	0	26.859	0	644.542	0	154.09	0	61.2	0	16.26	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903377	1	C	11/12/2010	15:55	295.836	31.760	0	601.03	0	14.9087	0	35.9810	0	26.770	0	595.989	0	160.13	0	64.9	0	13.69	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903377	1	C	11/12/2010	15:55	295.836	31.760	0	550.84	0	15.7982	0	36.1323	0	26.686	0	546.286	0	167.08	0	69.0	0	11.98	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903377	1	C	11/12/2010	15:55	295.836	31.760	0	501.74	0	16.5019	0	36.2655	0	26.625	0	497.651	0	173.37	0	72.7	0	10.12	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903377	1	C	11/12/2010	15:55	295.836	31.760	0	451.09	0	17.2326	0	36.4101	0	26.560	0	447.468	0	189.73	0	80.7	0	7.52	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903377	1	C	11/12/2010	15:55	295.836	31.760	0	401.30	0	17.6720	0	36.4919	0	26.515	0	398.125	0	194.81	0	83.6	0	6.75	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903377	1	C	11/12/2010	15:55	295.836	31.760	0	380.98	0	17.7738	0	36.5072	0	26.500	0	377.985	0	194.70	0	83.7	0	6.59	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
