//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 15:59
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904034
//Univ. of Washington ID: 7546
//MBARI ID: 7546KUROSHIO
//No missing float profiles
//Missing Float position interpolated for station(s): 116 218 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 267 282 283 284 285 286 287 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	3597	
//Temperature[°C]	Sbe41cp	3597	
//Salinity[pss]	Sbe41cp	3597	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 3830	1352	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#F4.A01.2891 Spec#032 Equitech probe #20111108R10.04 MBARI ARGO float#7030	
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.2040	0.0000	-0.0054
//Oxygen	287	1.1821	0.0000	0.0000
//Nitrate	1	1.0000	-0.5140	-8.6786
//Nitrate	22	1.0000	-2.6078	0.7966
//Nitrate	180	1.0000	-1.2127	-1.3411
//Nitrate	283	1.0000	-4.3756	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5904034	1	C	03/01/2013	06:15	147.607	33.483	0	998.48	0	4.0225	0	34.1616	0	27.125	0	989.022	0	49.85	0	15.7	0	43.02	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904034	1	C	03/01/2013	06:15	147.607	33.483	0	951.54	0	4.0387	0	34.0736	0	27.053	0	942.632	0	59.28	0	18.7	0	42.56	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904034	1	C	03/01/2013	06:15	147.607	33.483	0	901.59	0	3.9019	0	33.9538	0	26.971	0	893.256	0	79.08	0	24.9	0	41.56	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904034	1	C	03/01/2013	06:15	147.607	33.483	0	851.11	0	4.5804	0	33.9619	0	26.906	0	843.344	0	103.18	0	33.0	0	37.56	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904034	1	C	03/01/2013	06:15	147.607	33.483	0	801.27	0	2.8928	0	33.6126	0	26.792	0	794.054	0	155.77	0	47.7	0	36.58	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904034	1	C	03/01/2013	06:15	147.607	33.483	0	750.87	0	3.8858	0	33.6288	0	26.712	0	744.197	0	189.63	0	59.5	0	32.05	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904034	1	C	03/01/2013	06:15	147.607	33.483	0	701.65	0	7.2263	0	34.0385	0	26.640	0	695.497	0	150.93	0	51.3	0	28.51	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904034	1	C	03/01/2013	06:15	147.607	33.483	0	651.46	0	9.0869	0	34.1776	0	26.472	0	645.825	0	149.67	0	53.1	0	25.26	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904034	1	C	03/01/2013	06:15	147.607	33.483	0	600.76	0	10.3429	0	34.2905	0	26.352	0	595.636	0	144.54	0	52.8	0	23.03	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904034	1	C	03/01/2013	06:15	147.607	33.483	0	551.41	0	11.9790	0	34.3662	0	26.115	0	546.772	0	159.37	0	60.2	0	18.27	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
