//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 16:04
//!! ADJUSTED DATA FILE !!
//WMO ID: 5903712
//Univ. of Washington ID: 7550
//MBARI ID: 7550BAYOFBENGAL
//Missing Float profile(s) for station(s): 285 286 287 288 289 291 
//Missing Float position interpolated for station(s): 29 134 152 153 194 199 200 202 243 
//Latitude quality flag = 4 for interpolated float positions
//No position for station(s): 284 290 292 
//Missing Float data detected for adjusted station(s): 284 290 292 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	3567	
//Temperature[°C]	Sbe41cp	3567	
//Salinity[pss]	Sbe41cp	3567	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	425	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#G0.C01.5533 Spec#046 Equitech probe #2011.0707R10.03 MBARI ARGO float#7024	
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1200	0.0000	0.0000
//Nitrate	1	0.9700	-0.3690	1.8989
//Nitrate	95	0.9700	3.4830	-6.8069
//Nitrate	110	0.9700	2.0898	0.0000
//Nitrate	172	0.9700	0.7478	0.0000
//pH	1	1.0000	0.0000	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5903712	1	C	12/31/2012	05:33	89.900	15.016	0	601.04	0	9.2245	0	34.9998	0	27.093	0	596.660	0	7.93	0	2.8	0	41.22	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903712	1	C	12/31/2012	05:33	89.900	15.016	0	551.08	0	9.6106	0	35.0087	0	27.036	0	547.130	0	5.83	0	2.1	0	40.80	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903712	1	C	12/31/2012	05:33	89.900	15.016	0	501.46	0	9.9852	0	35.0131	0	26.975	0	497.925	0	4.92	0	1.8	0	40.16	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903712	1	C	12/31/2012	05:33	89.900	15.016	0	451.61	0	10.3875	0	35.0180	0	26.909	0	448.480	0	4.52	0	1.7	0	39.58	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903712	1	C	12/31/2012	05:33	89.900	15.016	0	401.16	0	10.7552	0	35.0186	0	26.843	0	398.428	0	4.42	0	1.6	0	39.00	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903712	1	C	12/31/2012	05:33	89.900	15.016	0	381.03	0	10.9335	0	35.0189	0	26.811	0	378.454	0	3.79	0	1.4	0	38.63	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903712	1	C	12/31/2012	05:33	89.900	15.016	0	361.51	0	11.1118	0	35.0189	0	26.779	0	359.083	0	3.86	0	1.4	0	38.21	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903712	1	C	12/31/2012	05:33	89.900	15.016	0	350.66	0	11.2608	0	35.0178	0	26.750	0	348.315	0	3.10	0	1.2	0	37.99	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903712	1	C	12/31/2012	05:33	89.900	15.016	0	341.32	0	11.3908	0	35.0169	0	26.726	0	339.045	0	2.82	0	1.1	0	37.76	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903712	1	C	12/31/2012	05:33	89.900	15.016	0	331.06	0	11.5069	0	35.0167	0	26.704	0	328.861	0	2.44	0	0.9	0	37.47	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903712	1	C	12/31/2012	05:33	89.900	15.016	0	321.63	0	11.5840	0	35.0148	0	26.688	0	319.501	0	2.97	0	1.1	0	37.37	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903712	1	C	12/31/2012	05:33	89.900	15.016	0	311.42	0	11.7204	0	35.0133	0	26.661	0	309.366	0	2.82	0	1.1	0	37.11	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903712	1	C	12/31/2012	05:33	89.900	15.016	0	301.22	0	11.8203	0	35.0127	0	26.641	0	299.241	0	2.48	0	0.9	0	36.93	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903712	1	C	12/31/2012	05:33	89.900	15.016	0	290.81	0	11.9067	0	35.0112	0	26.623	0	288.907	0	2.41	0	0.9	0	36.69	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903712	1	C	12/31/2012	05:33	89.900	15.016	0	281.23	0	12.0464	0	35.0090	0	26.595	0	279.396	0	2.39	0	0.9	0	36.48	8	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
