//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 16:08
//!! ADJUSTED DATA FILE !!
//WMO ID: 5903593
//Univ. of Washington ID: 7552
//MBARI ID: 7552SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 7 11 50 55 93 104 126 129 140 147 150 170 209 221 247 250 
//Latitude quality flag = 4 for interpolated float positions
//No position for station(s): 268 
//Missing Float data detected for adjusted station(s): 264 265 266 267 268 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	3037	
//Temperature[°C]	Sbe41cp	3037	
//Salinity[pss]	Sbe41cp	3037	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 3830	1351	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#xx.xxx.xxx Spec#040 Equitech probe from Scripps Spray Glider MBARI#7019	
//Chl_a[mg/m^3]	FLBBAP2	1890	
//Chl_a_corr[mg/m^3]	FLBBAP2	1890	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	1890	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	1890	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1420	0.0000	-0.0056
//Oxygen	266	1.1208	0.0000	0.0000
//Nitrate	1	1.0000	-4.7555	-66.3786
//Nitrate	4	1.0000	-6.0028	1.4255
//Nitrate	59	1.0000	-5.3473	2.9560
//Nitrate	147	1.0000	-1.1664	0.4908
//Nitrate	192	1.0000	0.3555	-3.3139
//Nitrate	229	1.0000	-1.0162	0.0000
//Nitrate	265	1.0000	-0.6957	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5903593	1	C	03/15/2012	03:19	101.360	-43.849	0	1399.42	0	3.4728	0	34.3849	0	27.360	0	1383.559	0	182.99	0	57.1	0	34.16	0	0.0144	0	0.0048	0	0.000345	1	-1E+10	1	1.15	1
5903593	1	C	03/15/2012	03:19	101.360	-43.849	0	1299.72	0	3.7671	0	34.3460	0	27.300	0	1285.293	0	192.10	0	60.4	0	33.19	0	0.0108	0	0.0036	0	0.000358	1	-1E+10	1	1.18	1
5903593	1	C	03/15/2012	03:19	101.360	-43.849	0	1200.01	0	4.2919	0	34.3283	0	27.231	0	1186.971	0	198.90	0	63.3	0	31.58	0	0.0072	0	0.0024	0	0.000347	1	-1E+10	1	1.16	1
5903593	1	C	03/15/2012	03:19	101.360	-43.849	0	1099.79	0	4.9949	0	34.3360	0	27.160	0	1088.099	0	202.51	0	65.6	0	30.16	0	0.0072	0	0.0024	0	0.000466	1	-1E+10	1	1.46	1
5903593	1	C	03/15/2012	03:19	101.360	-43.849	0	999.81	0	5.9934	0	34.3851	0	27.079	0	989.417	0	199.67	0	66.2	0	28.26	0	0.0144	0	0.0048	0	0.000326	1	-1E+10	1	1.10	1
5903593	1	C	03/15/2012	03:19	101.360	-43.849	0	950.75	0	6.6022	0	34.4247	0	27.032	0	940.978	0	198.59	0	66.8	0	26.53	0	0.0072	0	0.0024	0	0.000362	1	-1E+10	1	1.20	1
5903593	1	C	03/15/2012	03:19	101.360	-43.849	0	901.19	0	7.2266	0	34.4721	0	26.984	0	892.032	0	200.79	0	68.5	0	24.78	0	0.0108	0	0.0036	0	0.000351	1	-1E+10	1	1.17	1
5903593	1	C	03/15/2012	03:19	101.360	-43.849	0	851.66	0	7.8105	0	34.5220	0	26.940	0	843.106	0	202.94	0	70.2	0	22.97	0	0.0072	0	0.0024	0	0.000352	1	-1E+10	1	1.17	1
5903593	1	C	03/15/2012	03:19	101.360	-43.849	0	801.26	0	8.3700	0	34.5703	0	26.894	0	793.307	0	209.08	0	73.2	0	21.08	0	0.0036	0	0.0012	0	0.000376	1	-1E+10	1	1.23	1
5903593	1	C	03/15/2012	03:19	101.360	-43.849	0	751.61	0	8.9185	0	34.6202	0	26.847	0	744.239	0	219.03	0	77.7	0	18.97	0	0.0036	0	0.0012	0	0.000400	1	-1E+10	1	1.29	1
5903593	1	C	03/15/2012	03:19	101.360	-43.849	0	701.53	0	9.2589	0	34.6561	0	26.820	0	694.733	0	225.53	0	80.6	0	17.45	0	0.0036	0	0.0012	0	0.000342	1	-1E+10	1	1.14	1
5903593	1	C	03/15/2012	03:19	101.360	-43.849	0	651.41	0	9.4868	0	34.6766	0	26.798	0	645.176	0	237.89	0	85.5	0	15.92	0	0.0072	0	0.0024	0	0.000378	1	-1E+10	1	1.24	1
5903593	1	C	03/15/2012	03:19	101.360	-43.849	0	601.52	0	9.7602	0	34.7169	0	26.784	0	595.835	0	245.02	0	88.6	0	14.73	0	0.0072	0	0.0024	0	0.000343	1	-1E+10	1	1.14	1
5903593	1	C	03/15/2012	03:19	101.360	-43.849	0	551.69	0	10.0179	0	34.7591	0	26.772	0	546.541	0	248.33	0	90.3	0	13.83	0	0.0072	0	0.0024	0	0.000343	1	-1E+10	1	1.14	1
5903593	1	C	03/15/2012	03:19	101.360	-43.849	0	500.89	0	10.2400	0	34.7954	0	26.762	0	496.276	0	251.30	0	91.9	0	12.69	0	0.0036	0	0.0012	0	0.000343	1	-1E+10	1	1.15	1
5903593	1	C	03/15/2012	03:19	101.360	-43.849	0	450.97	0	10.3814	0	34.8207	0	26.756	0	446.870	0	255.21	0	93.6	0	11.85	0	0.0072	0	0.0024	0	0.000343	1	-1E+10	1	1.15	1
