//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 16:13
//!! ADJUSTED DATA FILE !!
//WMO ID: 5903755
//Univ. of Washington ID: 7553
//MBARI ID: 7553SoPacific
//No missing float profiles
//Missing Float position interpolated for station(s): 141 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 142 339 340 341 342 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	4153	
//Temperature[°C]	Sbe41cp	4153	
//Salinity[pss]	Sbe41cp	4153	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 3830	1280	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#G0.C01.5535 Spec#043 Equitech probe #2011.0707R10.13 MBARI ARGO float#7022	
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1076	0.0000	0.0000
//Nitrate	1	1.0520	0.8815	-104.3584
//Nitrate	3	1.0520	-0.9213	2.0928
//Nitrate	45	1.0520	9.9191	-389.7824
//Nitrate	47	1.0520	2.8757	-7.5052
//Nitrate	65	1.0520	1.0349	0.3434
//Nitrate	177	1.0520	2.9794	-24.2847
//Nitrate	181	1.0520	1.7940	0.6466
//Nitrate	259	1.0520	4.8316	-33.6641
//Nitrate	264	1.0520	2.7724	0.6086
//Nitrate	338	1.0520	3.1709	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5903755	1	C	11/23/2012	16:52	258.490	-28.015	0	999.33	0	4.1772	0	34.3835	0	27.285	0	990.300	0	132.10	0	42.0	0	37.53	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903755	1	C	11/23/2012	16:52	258.490	-28.015	0	951.39	0	4.3334	0	34.3575	0	27.248	0	942.901	0	139.58	0	44.5	0	36.57	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903755	1	C	11/23/2012	16:52	258.490	-28.015	0	900.90	0	4.4995	0	34.3357	0	27.212	0	892.969	0	149.84	0	47.9	0	35.64	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903755	1	C	11/23/2012	16:52	258.490	-28.015	0	851.19	0	4.8406	0	34.3142	0	27.158	0	843.797	0	160.22	0	51.7	0	34.20	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903755	1	C	11/23/2012	16:52	258.490	-28.015	0	801.02	0	5.0279	0	34.2859	0	27.114	0	794.158	0	178.37	0	57.8	0	32.06	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903755	1	C	11/23/2012	16:52	258.490	-28.015	0	751.40	0	5.3503	0	34.2766	0	27.068	0	745.051	0	192.65	0	62.9	0	30.66	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903755	1	C	11/23/2012	16:52	258.490	-28.015	0	701.67	0	5.5667	0	34.2704	0	27.037	0	695.824	0	205.07	0	67.2	0	29.02	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903755	1	C	11/23/2012	16:52	258.490	-28.015	0	651.21	0	5.7596	0	34.2647	0	27.009	0	645.863	0	221.17	0	72.9	0	27.16	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903755	1	C	11/23/2012	16:52	258.490	-28.015	0	600.83	0	6.0750	0	34.2790	0	26.980	0	595.969	0	227.24	0	75.4	0	26.11	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903755	1	C	11/23/2012	16:52	258.490	-28.015	0	551.62	0	6.4503	0	34.2943	0	26.944	0	547.222	0	212.89	0	71.3	0	26.80	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
