//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 16:19
//!! ADJUSTED DATA FILE !!
//WMO ID: 5903711
//Univ. of Washington ID: 7558
//MBARI ID: 7558ETNP
//Missing Float profile(s) for station(s): 75 76 77 78 79 80 81 82 83 84 85 86 87 
//Missing Float position interpolated for station(s): 9 26 27 28 29 31 35 38 39 43 50 51 52 53 63 64 71 74 
//Latitude quality flag = 4 for interpolated float positions
//No position for station(s): 89 90 91 
//Missing Float data detected for adjusted station(s): 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 88 89 90 91 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	3040	
//Temperature[°C]	Sbe41cp	3040	
//Salinity[pss]	Sbe41cp	3040	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	430	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#G0.C01.55631 Spec#009 Equitech probe #2010.1216R10.01 MBARI ARGO float#7020	
//Chl_a[mg/m^3]	FLBBAP2	2103	
//Chl_a_corr[mg/m^3]	FLBBAP2	2103	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	2103	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	2103	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0729	0.0000	0.0000
//Nitrate	1	1.0500	-0.5000	0.0000
//Nitrate	53	1.0500	-1.0000	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5903711	1	C	03/27/2012	00:22	236.659	13.992	0	999.30	0	4.4423	0	34.5414	0	27.383	0	991.118	0	18.03	0	5.8	0	44.97	0	0.0073	0	0.0073	0	0.000247	1	-1E+10	1	0.90	1
5903711	1	C	03/27/2012	00:22	236.659	13.992	0	951.61	0	4.5977	0	34.5359	0	27.361	0	943.926	0	15.00	0	4.8	0	44.81	0	0.0109	0	0.0109	0	0.000273	1	-1E+10	1	0.96	1
5903711	1	C	03/27/2012	00:22	236.659	13.992	0	900.61	0	4.7828	0	34.5270	0	27.333	0	893.447	0	13.12	0	4.2	0	44.60	0	0.0109	0	0.0109	0	0.000260	1	-1E+10	1	0.93	1
5903711	1	C	03/27/2012	00:22	236.659	13.992	0	851.59	0	5.0471	0	34.5205	0	27.298	0	844.916	0	9.33	0	3.0	0	44.65	0	0.0109	0	0.0109	0	0.000248	1	-1E+10	1	0.90	1
5903711	1	C	03/27/2012	00:22	236.659	13.992	0	801.19	0	5.3390	0	34.5120	0	27.257	0	795.007	0	8.16	0	2.7	0	43.48	0	0.0219	0	0.0219	0	0.000299	1	-1E+10	1	1.03	1
5903711	1	C	03/27/2012	00:22	236.659	13.992	0	751.34	0	5.6470	0	34.5049	0	27.214	0	745.630	0	6.75	0	2.2	0	42.81	0	0.0146	0	0.0146	0	0.000274	1	-1E+10	1	0.97	1
5903711	1	C	03/27/2012	00:22	236.659	13.992	0	701.09	0	6.0235	0	34.5021	0	27.164	0	695.846	0	4.66	0	1.5	0	41.38	0	0.0109	0	0.0109	0	0.000300	1	-1E+10	1	1.03	1
5903711	1	C	03/27/2012	00:22	236.659	13.992	0	651.14	0	6.4883	0	34.4969	0	27.100	0	646.347	0	5.44	0	1.8	0	40.47	0	0.0146	0	0.0146	0	0.000313	1	-1E+10	1	1.07	1
5903711	1	C	03/27/2012	00:22	236.659	13.992	0	601.17	0	7.0620	0	34.5177	0	27.038	0	596.816	0	3.26	0	1.1	0	38.49	0	0.0146	0	0.0146	0	0.000289	1	-1E+10	1	1.01	1
5903711	1	C	03/27/2012	00:22	236.659	13.992	0	550.66	0	7.4916	0	34.5257	0	26.984	0	546.738	0	2.15	0	0.7	0	37.43	0	0.0219	0	0.0219	0	0.000302	1	-1E+10	1	1.04	1
5903711	1	C	03/27/2012	00:22	236.659	13.992	0	500.79	0	7.9413	0	34.5305	0	26.922	0	497.283	0	2.40	0	0.8	0	36.35	0	0.0109	0	0.0109	0	0.000303	1	-1E+10	1	1.04	1
5903711	1	C	03/27/2012	00:22	236.659	13.992	0	451.02	0	8.7177	0	34.5691	0	26.833	0	447.915	0	1.89	0	0.7	0	35.06	0	0.0182	0	0.0182	0	0.000292	1	-1E+10	1	1.01	1
5903711	1	C	03/27/2012	00:22	236.659	13.992	0	401.09	0	9.3079	0	34.5998	0	26.763	0	398.377	0	0.83	0	0.3	0	33.20	0	0.0182	0	0.0182	0	0.000317	1	-1E+10	1	1.08	1
5903711	1	C	03/27/2012	00:22	236.659	13.992	0	381.58	0	9.5699	0	34.6181	0	26.734	0	379.017	0	0.73	0	0.3	0	30.93	0	0.0109	0	0.0109	0	0.000430	1	-1E+10	1	1.37	1
5903711	1	C	03/27/2012	00:22	236.659	13.992	0	360.90	0	9.8529	0	34.6364	0	26.700	0	358.494	0	0.72	0	0.3	0	29.79	0	0.0146	0	0.0146	0	0.000418	1	-1E+10	1	1.34	1
5903711	1	C	03/27/2012	00:22	236.659	13.992	0	351.54	0	9.9631	0	34.6387	0	26.683	0	349.204	0	0.73	0	0.3	0	28.34	0	0.0109	0	0.0109	0	0.000481	1	-1E+10	1	1.50	1
5903711	1	C	03/27/2012	00:22	236.659	13.992	0	341.16	0	10.1134	0	34.6463	0	26.664	0	338.901	0	0.76	0	0.3	0	27.80	0	0.0109	0	0.0109	0	0.000506	1	-1E+10	1	1.57	1
