//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 16:20
//!! ADJUSTED DATA FILE !!
//WMO ID: 5903592
//Univ. of Washington ID: 7564
//MBARI ID: 7564ARCTIC
//No missing float profiles
//Missing Float position interpolated for station(s): 14 16 25 26 38 39 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 70 71 108 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 12 23 103 111 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	3036	
//Temperature[°C]	Sbe41cp	3036	
//Salinity[pss]	Sbe41cp	3036	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 3830	1347	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#G0.C01.5474 Spec#039 Equitech probe from the Deep ESP (20080512R10.04?) MBARI#7018	
//Chl_a[mg/m^3]	FLBBAP2	2099	
//Chl_a_corr[mg/m^3]	FLBBAP2	2099	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	2099	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	2099	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0800	0.0000	-0.0099
//Oxygen	108	1.0649	0.0000	0.0000
//Nitrate	1	1.0000	2.0985	-111.2355
//Nitrate	3	1.0000	0.9632	0.9496
//Nitrate	52	1.0000	-1.6712	1.9387
//Nitrate	74	1.0000	-2.3554	138.1659
//Nitrate	76	1.0000	-2.7086	13.6822
//Nitrate	83	1.0000	-2.7268	3.5999
//Nitrate	108	1.0000	-1.5436	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5903592	1	C	08/23/2011	17:11	357.015	75.854	0	1198.01	0	-0.6325	0	34.9041	0	28.062	0	1182.115	0	324.82	0	91.8	0	13.41	0	0.0000	0	0.0000	0	0.000334	1	-1E+10	1	1.12	1
5903592	1	C	08/23/2011	17:11	357.015	75.854	0	1099.04	0	-0.6300	0	34.9041	0	28.062	0	1084.713	0	325.23	0	91.9	0	13.38	0	0.0000	0	0.0000	0	0.000509	1	-1E+10	1	1.58	1
5903592	1	C	08/23/2011	17:11	357.015	75.854	0	999.18	0	-0.6298	0	34.9034	0	28.061	0	986.390	0	325.42	0	91.9	0	13.14	0	0.0000	0	0.0000	0	0.000396	1	-1E+10	1	1.28	1
5903592	1	C	08/23/2011	17:11	357.015	75.854	0	951.40	0	-0.6191	0	34.9040	0	28.061	0	939.328	0	325.75	0	92.1	0	13.19	0	0.0037	0	0.0037	0	0.000346	1	-1E+10	1	1.15	1
5903592	1	C	08/23/2011	17:11	357.015	75.854	0	901.09	0	-0.6090	0	34.9052	0	28.062	0	889.763	0	325.82	0	92.1	0	13.12	0	0.0037	0	0.0037	0	0.000296	1	-1E+10	1	1.02	1
5903592	1	C	08/23/2011	17:11	357.015	75.854	0	850.89	0	-0.6092	0	34.9046	0	28.061	0	840.295	0	325.78	0	92.1	0	13.11	0	0.0037	0	0.0037	0	0.000346	1	-1E+10	1	1.15	1
5903592	1	C	08/23/2011	17:11	357.015	75.854	0	801.38	0	-0.6165	0	34.9038	0	28.061	0	791.495	0	324.62	0	91.7	0	13.01	0	0.0037	0	0.0037	0	0.000284	1	-1E+10	1	0.99	1
5903592	1	C	08/23/2011	17:11	357.015	75.854	0	751.42	0	-0.6144	0	34.9033	0	28.060	0	742.240	0	323.81	0	91.5	0	13.02	0	0.0073	0	0.0073	0	0.000296	1	-1E+10	1	1.02	1
5903592	1	C	08/23/2011	17:11	357.015	75.854	0	701.70	0	-0.6031	0	34.9042	0	28.060	0	693.210	0	324.60	0	91.8	0	12.81	0	0.0000	0	0.0000	0	0.000284	1	-1E+10	1	0.99	1
5903592	1	C	08/23/2011	17:11	357.015	75.854	0	650.90	0	-0.6086	0	34.9036	0	28.060	0	643.103	0	325.87	0	92.1	0	12.81	0	0.0037	0	0.0037	0	0.000309	1	-1E+10	1	1.06	1
5903592	1	C	08/23/2011	17:11	357.015	75.854	0	601.30	0	-0.5981	0	34.9036	0	28.059	0	594.168	0	325.43	0	92.0	0	12.82	0	0.0000	0	0.0000	0	0.000346	1	-1E+10	1	1.15	1
5903592	1	C	08/23/2011	17:11	357.015	75.854	0	551.51	0	-0.5925	0	34.9035	0	28.059	0	545.034	0	325.32	0	92.0	0	12.76	0	0.0000	0	0.0000	0	0.000321	1	-1E+10	1	1.09	1
5903592	1	C	08/23/2011	17:11	357.015	75.854	0	501.66	0	-0.5450	0	34.9064	0	28.059	0	495.829	0	325.11	0	92.1	0	12.73	0	0.0073	0	0.0073	0	0.000346	1	-1E+10	1	1.15	1
5903592	1	C	08/23/2011	17:11	357.015	75.854	0	451.78	0	-0.5115	0	34.9078	0	28.058	0	446.582	0	325.09	0	92.1	0	12.60	0	0.0037	0	0.0037	0	0.000434	1	-1E+10	1	1.38	1
5903592	1	C	08/23/2011	17:11	357.015	75.854	0	400.98	0	-0.4717	0	34.9094	0	28.058	0	396.415	0	324.98	0	92.2	0	12.57	0	0.0109	0	0.0109	0	0.000372	1	-1E+10	1	1.22	1
5903592	1	C	08/23/2011	17:11	357.015	75.854	0	380.91	0	-0.4398	0	34.9110	0	28.057	0	376.592	0	324.82	0	92.2	0	12.58	0	0.0073	0	0.0073	0	0.000384	1	-1E+10	1	1.25	1
5903592	1	C	08/23/2011	17:11	357.015	75.854	0	361.56	0	-0.4076	0	34.9126	0	28.057	0	357.478	0	324.90	0	92.3	0	12.47	0	0.0109	0	0.0109	0	0.000409	1	-1E+10	1	1.32	1
5903592	1	C	08/23/2011	17:11	357.015	75.854	0	351.26	0	-0.4014	0	34.9128	0	28.057	0	347.303	0	324.70	0	92.3	0	12.43	0	0.0073	0	0.0073	0	0.000359	1	-1E+10	1	1.19	1
5903592	1	C	08/23/2011	17:11	357.015	75.854	0	341.17	0	-0.3774	0	34.9143	0	28.057	0	337.335	0	324.51	0	92.3	0	12.44	0	0.0146	0	0.0146	0	0.000372	1	-1E+10	1	1.22	1
