//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 16:23
//!! ADJUSTED DATA FILE !!
//WMO ID: 5903754
//Univ. of Washington ID: 7593
//MBARI ID: 7593HAWAII
//Missing Float profile(s) for station(s): 21 22 
//Missing Float position interpolated for station(s): 25 26 27 28 29 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 23 24 25 32 34 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	3041	
//Temperature[°C]	Sbe41cp	3041	
//Salinity[pss]	Sbe41cp	3041	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	290	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS		
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0900	0.0000	0.0000
//Nitrate	1	1.0000	-4.0091	147.5518
//Nitrate	4	1.0000	-2.7794	-3.4014
//Nitrate	20	1.0000	-2.0000	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5903754	1	C	07/09/2012	18:39	201.937	22.795	0	999.86	0	4.0418	0	34.4746	0	27.372	0	991.193	0	38.79	0	12.3	0	42.46	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903754	1	C	07/09/2012	18:39	201.937	22.795	0	951.14	0	4.1783	0	34.4585	0	27.345	0	943.005	0	36.24	0	11.5	0	42.26	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903754	1	C	07/09/2012	18:39	201.937	22.795	0	901.46	0	4.3330	0	34.4418	0	27.315	0	893.856	0	35.03	0	11.2	0	42.27	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903754	1	C	07/09/2012	18:39	201.937	22.795	0	851.38	0	4.4475	0	34.4149	0	27.281	0	844.299	0	31.98	0	10.2	0	42.20	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903754	1	C	07/09/2012	18:39	201.937	22.795	0	801.56	0	4.6950	0	34.3694	0	27.217	0	794.988	0	28.61	0	9.2	0	41.96	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903754	1	C	07/09/2012	18:39	201.937	22.795	0	751.55	0	4.7807	0	34.3304	0	27.176	0	745.477	0	26.43	0	8.5	0	41.87	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903754	1	C	07/09/2012	18:39	201.937	22.795	0	701.64	0	5.0619	0	34.2947	0	27.116	0	696.054	0	28.25	0	9.2	0	41.13	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903754	1	C	07/09/2012	18:39	201.937	22.795	0	650.91	0	5.3210	0	34.2165	0	27.023	0	645.806	0	31.48	0	10.3	0	40.27	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903754	1	C	07/09/2012	18:39	201.937	22.795	0	601.73	0	5.8623	0	34.2187	0	26.959	0	597.082	0	39.27	0	13.0	0	38.56	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903754	1	C	07/09/2012	18:39	201.937	22.795	0	551.14	0	6.2763	0	34.1497	0	26.852	0	546.950	0	47.51	0	15.8	0	36.80	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903754	1	C	07/09/2012	18:39	201.937	22.795	0	501.26	0	6.9064	0	34.1148	0	26.741	0	497.509	0	68.80	0	23.2	0	33.79	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903754	1	C	07/09/2012	18:39	201.937	22.795	0	451.11	0	8.5686	0	34.0977	0	26.487	0	447.788	0	116.88	0	41.0	0	26.05	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
