//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 16:23
//!! ADJUSTED DATA FILE !!
//WMO ID: 5903887
//Univ. of Washington ID: 7596
//MBARI ID: 7596ARCTIC
//No missing float profiles
//Missing Float position interpolated for station(s): 15 31 32 33 34 35 36 37 38 88 89 90 91 92 93 94 95 96 97 98 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 143 144 197 204 263 265 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 160 292 293 294 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	3566	
//Temperature[°C]	Sbe41cp	3566	
//Salinity[pss]	Sbe41cp	3566	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 3830	1219	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#G0.C01.5493 Spec#048 Equitech probe #2011.1108R10.03 MBARI ARGO float#7026	
//Chl_a[mg/m^3]	FLBBAP2	1889	
//Chl_a_corr[mg/m^3]	FLBBAP2	1889	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	1889	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	1889	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1696	0.0000	-0.0081
//Oxygen	294	1.1358	0.0000	0.0000
//Nitrate	1	1.0000	0.1142	-13.0389
//Nitrate	8	1.0000	-0.0953	0.2293
//Nitrate	179	1.0000	1.3912	0.0000
//Nitrate	265	1.0000	1.3409	-4.7536
//Nitrate	293	1.0000	0.4540	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5903887	1	C	08/20/2012	14:17	353.845	75.448	0	1298.38	0	-0.5883	0	34.9022	0	28.059	0	1280.871	0	321.06	0	90.8	0	14.33	0	0.0109	0	0.0109	0	0.000352	1	-1E+10	1	1.17	1
5903887	1	C	08/20/2012	14:17	353.845	75.448	0	1198.74	0	-0.5732	0	34.9030	0	28.059	0	1182.854	0	323.52	0	91.5	0	14.21	0	0.0000	0	0.0000	0	0.000398	1	-1E+10	1	1.29	1
5903887	1	C	08/20/2012	14:17	353.845	75.448	0	1099.74	0	-0.5543	0	34.9031	0	28.058	0	1085.422	0	320.52	0	90.7	0	14.12	0	0.0037	0	0.0037	0	0.000410	1	-1E+10	1	1.32	1
5903887	1	C	08/20/2012	14:17	353.845	75.448	0	999.09	0	-0.5097	0	34.9063	0	28.058	0	986.319	0	322.08	0	91.3	0	13.95	0	0.0037	0	0.0037	0	0.000410	1	-1E+10	1	1.32	1
5903887	1	C	08/20/2012	14:17	353.845	75.448	0	951.47	0	-0.4953	0	34.9074	0	28.058	0	939.414	0	322.38	0	91.4	0	13.85	0	0.0109	0	0.0109	0	0.000410	1	-1E+10	1	1.32	1
5903887	1	C	08/20/2012	14:17	353.845	75.448	0	901.23	0	-0.4894	0	34.9076	0	28.058	0	889.917	0	322.02	0	91.3	0	13.82	0	0.0109	0	0.0109	0	0.000433	1	-1E+10	1	1.38	1
5903887	1	C	08/20/2012	14:17	353.845	75.448	0	850.68	0	-0.4789	0	34.9078	0	28.058	0	840.103	0	321.35	0	91.2	0	13.80	0	0.0109	0	0.0109	0	0.000433	1	-1E+10	1	1.38	1
5903887	1	C	08/20/2012	14:17	353.845	75.448	0	801.60	0	-0.4635	0	34.9086	0	28.057	0	791.727	0	321.12	0	91.1	0	13.84	0	0.0073	0	0.0073	0	0.000410	1	-1E+10	1	1.32	1
5903887	1	C	08/20/2012	14:17	353.845	75.448	0	751.18	0	-0.4392	0	34.9095	0	28.057	0	742.017	0	321.01	0	91.2	0	13.71	0	0.0037	0	0.0037	0	0.000422	1	-1E+10	1	1.35	1
5903887	1	C	08/20/2012	14:17	353.845	75.448	0	698.18	0	-0.4105	0	34.9116	0	28.057	0	689.751	0	320.81	0	91.2	0	13.65	0	0.0109	0	0.0109	0	0.000399	1	-1E+10	1	1.29	1
5903887	1	C	08/20/2012	14:17	353.845	75.448	0	650.70	0	-0.4016	0	34.9113	0	28.056	0	642.918	0	321.17	0	91.3	0	13.66	0	0.0073	0	0.0073	0	0.000433	1	-1E+10	1	1.38	1
5903887	1	C	08/20/2012	14:17	353.845	75.448	0	601.31	0	-0.3697	0	34.9120	0	28.055	0	594.189	0	321.21	0	91.4	0	13.80	0	0.0037	0	0.0037	0	0.000433	1	-1E+10	1	1.38	1
5903887	1	C	08/20/2012	14:17	353.845	75.448	0	551.24	0	-0.3534	0	34.9134	0	28.056	0	544.777	0	320.96	0	91.3	0	13.57	0	0.0109	0	0.0109	0	0.000445	1	-1E+10	1	1.41	1
5903887	1	C	08/20/2012	14:17	353.845	75.448	0	501.21	0	-0.3351	0	34.9125	0	28.054	0	495.393	0	321.42	0	91.5	0	13.63	0	0.0109	0	0.0109	0	0.000468	1	-1E+10	1	1.47	1
5903887	1	C	08/20/2012	14:17	353.845	75.448	0	451.29	0	-0.2770	0	34.9143	0	28.052	0	446.106	0	319.64	0	91.2	0	13.74	0	0.0109	0	0.0109	0	0.000445	1	-1E+10	1	1.41	1
5903887	1	C	08/20/2012	14:17	353.845	75.448	0	401.03	0	-0.1933	0	34.9186	0	28.052	0	396.472	0	318.99	0	91.2	0	13.51	0	0.0146	0	0.0146	0	0.000663	1	-1E+10	1	1.98	1
