//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 16:29
//!! ADJUSTED DATA FILE !!
//WMO ID: 5903714
//Univ. of Washington ID: 7601
//MBARI ID: 7601STNP
//No missing float profiles
//Missing Float position interpolated for station(s): 113 124 128 143 145 152 175 254 269 278 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 33 36 38 39 40 42 43 44 96 138 210 212 213 214 215 216 217 279 280 281 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	3038	
//Temperature[°C]	Sbe41cp	3038	
//Salinity[pss]	Sbe41cp	3038	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	289	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#G0.C01.5490 Spec#041 Equitech probe #2011.0707R10.12 MBARI ARGO float#7023	
//Chl_a[mg/m^3]	FLBBAP2	1477	
//Chl_a_corr[mg/m^3]	FLBBAP2	1477	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	1477	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	1477	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1000	0.0000	0.0000
//Nitrate	1	1.0000	-0.2555	0.0000
//Nitrate	2	1.0000	-1.4804	1.0306
//Nitrate	60	1.0000	-1.0054	-1.8919
//Nitrate	90	1.0000	-1.3801	0.0000
//Nitrate	160	1.0000	-1.5949	-10.8042
//Nitrate	175	1.0000	-2.8359	4.3675
//Nitrate	210	1.0000	-1.0857	-4.5259
//Nitrate	255	1.0000	-3.7669	13.5944
//Nitrate	280	1.0000	0.7883	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5903714	1	C	02/16/2012	16:26	215.023	50.048	0	1098.06	0	2.8149	0	34.4020	0	27.431	0	1085.773	0	10.07	0	3.1	0	44.81	0	0.0108	0	0.0108	0	0.000236	1	-1E+10	1	0.87	1
5903714	1	C	02/16/2012	16:26	215.023	50.048	0	998.21	0	2.9312	0	34.3750	0	27.398	0	987.275	0	13.30	0	4.1	0	44.26	0	0.0108	0	0.0108	0	0.000248	1	-1E+10	1	0.90	1
5903714	1	C	02/16/2012	16:26	215.023	50.048	0	951.08	0	3.0110	0	34.3572	0	27.377	0	940.767	0	14.98	0	4.6	0	44.13	0	0.0036	0	0.0036	0	0.000248	1	-1E+10	1	0.90	1
5903714	1	C	02/16/2012	16:26	215.023	50.048	0	900.81	0	3.0949	0	34.3362	0	27.352	0	891.149	0	15.48	0	4.8	0	44.00	0	0.0108	0	0.0108	0	0.000260	1	-1E+10	1	0.93	1
5903714	1	C	02/16/2012	16:26	215.023	50.048	0	850.94	0	3.1891	0	34.3167	0	27.328	0	841.914	0	16.34	0	5.1	0	43.67	0	0.0144	0	0.0144	0	0.000272	1	-1E+10	1	0.96	1
5903714	1	C	02/16/2012	16:26	215.023	50.048	0	801.24	0	3.2676	0	34.3011	0	27.308	0	792.836	0	17.56	0	5.5	0	43.58	0	0.0108	0	0.0108	0	0.000318	1	-1E+10	1	1.08	1
5903714	1	C	02/16/2012	16:26	215.023	50.048	0	751.63	0	3.3626	0	34.2797	0	27.281	0	743.834	0	18.38	0	5.7	0	43.28	0	0.0036	0	0.0036	0	0.000272	1	-1E+10	1	0.96	1
5903714	1	C	02/16/2012	16:26	215.023	50.048	0	701.45	0	3.4684	0	34.2513	0	27.248	0	694.258	0	18.92	0	5.9	0	43.20	0	0.0108	0	0.0108	0	0.000284	1	-1E+10	1	0.99	1
5903714	1	C	02/16/2012	16:26	215.023	50.048	0	651.24	0	3.5897	0	34.2228	0	27.214	0	644.641	0	20.68	0	6.5	0	43.01	0	0.0072	0	0.0072	0	0.000284	1	-1E+10	1	0.99	1
5903714	1	C	02/16/2012	16:26	215.023	50.048	0	600.98	0	3.6962	0	34.1866	0	27.174	0	594.962	0	22.55	0	7.1	0	42.71	0	0.0072	0	0.0072	0	0.000285	1	-1E+10	1	0.99	1
5903714	1	C	02/16/2012	16:26	215.023	50.048	0	551.28	0	3.8217	0	34.1511	0	27.133	0	545.825	0	26.55	0	8.3	0	42.16	0	0.0072	0	0.0072	0	0.000308	1	-1E+10	1	1.05	1
5903714	1	C	02/16/2012	16:26	215.023	50.048	0	501.10	0	3.9125	0	34.1235	0	27.102	0	496.201	0	31.24	0	9.8	0	41.72	0	0.0072	0	0.0072	0	0.000285	1	-1E+10	1	0.99	1
5903714	1	C	02/16/2012	16:26	215.023	50.048	0	451.17	0	3.9839	0	34.0798	0	27.059	0	446.813	0	36.94	0	11.7	0	41.44	0	0.0072	0	0.0072	0	0.000308	1	-1E+10	1	1.06	1
5903714	1	C	02/16/2012	16:26	215.023	50.048	0	401.69	0	3.9488	0	34.0180	0	27.013	0	397.858	0	44.71	0	14.1	0	41.03	0	0.0036	0	0.0036	0	0.000308	1	-1E+10	1	1.06	1
5903714	1	C	02/16/2012	16:26	215.023	50.048	0	381.45	0	3.9406	0	33.9965	0	26.997	0	377.830	0	47.84	0	15.1	0	41.06	0	0.0072	0	0.0072	0	0.000343	1	-1E+10	1	1.15	1
5903714	1	C	02/16/2012	16:26	215.023	50.048	0	361.61	0	3.9529	0	33.9726	0	26.976	0	358.195	0	52.05	0	16.4	0	40.58	0	0.0108	0	0.0108	0	0.000401	1	-1E+10	1	1.30	1
