//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 16:33
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904180
//Univ. of Washington ID: 7613
//MBARI ID: 7613SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 155 156 157 158 159 160 161 162 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 131 213 214 215 216 217 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	3605	
//Temperature[°C]	Sbe41cp	3605	
//Salinity[pss]	Sbe41cp	3605	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 3830	1454	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#G1.C01.6343 Spec#054 Ti Equitech probe #2013.0410RR10.01 MBARI ARGO float#7035	
//Chl_a[mg/m^3]	FLBBAP2	3148	
//Chl_a_corr[mg/m^3]	FLBBAP2	3148	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	3148	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	3148	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1157	0.0000	-0.0065
//Oxygen	217	1.0762	0.0000	0.0000
//Nitrate	1	1.0000	6.0194	-5.7790
//Nitrate	14	1.0000	3.0916	-53.9072
//Nitrate	17	1.0000	0.1421	19.9028
//Nitrate	26	1.0000	5.0104	0.4808
//Nitrate	39	1.0000	4.2423	4.7516
//Nitrate	59	1.0000	6.7737	-1.1827
//Nitrate	78	1.0000	4.7829	2.9664
//Nitrate	107	1.0000	6.4815	2.3716
//Nitrate	130	1.0000	7.8563	-3.3501
//Nitrate	142	1.0000	6.2751	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5904180	1	C	03/31/2014	19:06	203.999	-66.511	0	1499.33	0	0.7764	0	34.7066	0	27.829	0	1479.157	0	188.02	0	55.0	0	34.16	0	0.0000	0	0.0000	0	0.000286	1	-1E+10	1	1.00	1
5904180	1	C	03/31/2014	19:06	203.999	-66.511	0	1398.97	0	0.8186	0	34.7079	0	27.827	0	1380.475	0	187.09	0	54.8	0	34.02	0	0.0036	0	0.0012	0	0.000286	1	-1E+10	1	1.00	1
5904180	1	C	03/31/2014	19:06	203.999	-66.511	0	1299.03	0	0.8578	0	34.7102	0	27.826	0	1282.160	0	186.18	0	54.6	0	34.00	0	0.0108	0	0.0036	0	0.000314	1	-1E+10	1	1.07	1
5904180	1	C	03/31/2014	19:06	203.999	-66.511	0	1198.50	0	0.9044	0	34.7118	0	27.824	0	1183.218	0	185.07	0	54.3	0	33.87	0	0.0108	0	0.0036	0	0.000305	1	-1E+10	1	1.05	1
5904180	1	C	03/31/2014	19:06	203.999	-66.511	0	1099.53	0	0.9613	0	34.7141	0	27.822	0	1085.765	0	183.88	0	54.1	0	33.76	0	0.0072	0	0.0024	0	0.000324	1	-1E+10	1	1.10	1
5904180	1	C	03/31/2014	19:06	203.999	-66.511	0	999.07	0	1.0246	0	34.7166	0	27.820	0	986.799	0	182.08	0	53.6	0	33.70	0	0.0072	0	0.0024	0	0.000305	1	-1E+10	1	1.05	1
5904180	1	C	03/31/2014	19:06	203.999	-66.511	0	951.48	0	1.0561	0	34.7180	0	27.818	0	939.900	0	181.26	0	53.4	0	33.60	0	0.0036	0	0.0012	0	0.000305	1	-1E+10	1	1.05	1
5904180	1	C	03/31/2014	19:06	203.999	-66.511	0	901.28	0	1.0932	0	34.7192	0	27.817	0	890.418	0	180.26	0	53.2	0	33.68	0	0.0144	0	0.0048	0	0.000353	1	-1E+10	1	1.17	1
5904180	1	C	03/31/2014	19:06	203.999	-66.511	0	851.20	0	1.1241	0	34.7201	0	27.815	0	841.042	0	179.30	0	52.9	0	33.75	0	0.0036	0	0.0012	0	0.000315	1	-1E+10	1	1.07	1
5904180	1	C	03/31/2014	19:06	203.999	-66.511	0	801.26	0	1.1585	0	34.7214	0	27.814	0	791.793	0	178.32	0	52.7	0	33.60	0	0.0036	0	0.0012	0	0.000334	1	-1E+10	1	1.12	1
5904180	1	C	03/31/2014	19:06	203.999	-66.511	0	750.92	0	1.1971	0	34.7228	0	27.812	0	742.137	0	177.04	0	52.4	0	33.63	0	0.0108	0	0.0036	0	0.000343	1	-1E+10	1	1.15	1
5904180	1	C	03/31/2014	19:06	203.999	-66.511	0	701.04	0	1.2309	0	34.7235	0	27.810	0	692.923	0	176.08	0	52.1	0	33.61	0	0.0072	0	0.0024	0	0.000353	1	-1E+10	1	1.17	1
5904180	1	C	03/31/2014	19:06	203.999	-66.511	0	651.20	0	1.2676	0	34.7242	0	27.808	0	643.737	0	175.10	0	51.9	0	33.56	0	0.0504	0	0.0168	0	0.000562	1	-1E+10	1	1.72	1
5904180	1	C	03/31/2014	19:06	203.999	-66.511	0	600.71	0	1.3101	0	34.7253	0	27.806	0	593.898	0	174.21	0	51.7	0	33.54	0	0.0108	0	0.0036	0	0.000344	1	-1E+10	1	1.15	1
5904180	1	C	03/31/2014	19:06	203.999	-66.511	0	548.56	0	1.3429	0	34.7254	0	27.803	0	542.407	0	173.53	0	51.5	0	33.53	0	0.0144	0	0.0048	0	0.000382	1	-1E+10	1	1.25	1
5904180	1	C	03/31/2014	19:06	203.999	-66.511	0	501.30	0	1.3810	0	34.7258	0	27.801	0	495.733	0	173.11	0	51.4	0	33.48	0	0.0072	0	0.0024	0	0.000382	1	-1E+10	1	1.25	1
5904180	1	C	03/31/2014	19:06	203.999	-66.511	0	451.25	0	1.4204	0	34.7253	0	27.797	0	446.293	0	172.94	0	51.4	0	33.41	0	0.0180	0	0.0060	0	0.000382	1	-1E+10	1	1.25	1
5904180	1	C	03/31/2014	19:06	203.999	-66.511	0	401.19	0	1.4795	0	34.7240	0	27.792	0	396.831	0	172.49	0	51.4	0	33.29	0	0.0108	0	0.0036	0	0.000382	1	-1E+10	1	1.25	1
