//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 16:37
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904183
//Univ. of Washington ID: 7614
//MBARI ID: 7614SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 169 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 
//Latitude quality flag = 4 for interpolated float positions
//No missing data found
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	3602	
//Temperature[°C]	Sbe41cp	3602	
//Salinity[pss]	Sbe41cp	3602	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	423	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L1.C01.6639 Spec#059 Ti Equitech probe #2013.0410RR10.02 MBARI ARGO float#7040	
//Chl_a[mg/m^3]	FLBBAP2	3147	
//Chl_a_corr[mg/m^3]	FLBBAP2	3147	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	3147	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	3147	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1398	0.0000	-0.0019
//Oxygen	215	1.1286	0.0000	0.0000
//Nitrate	1	1.0000	3.1826	-3.6962
//Nitrate	12	1.0000	2.4116	-37.0912
//Nitrate	121	1.0000	-0.8867	0.0000
//Nitrate	158	1.0000	-0.4836	-3.6856
//Nitrate	173	1.0000	-4.2159	-136.0824
//Nitrate	192	1.0000	-2.7811	1.6485
//Nitrate	215	1.0000	-3.2292	0.0000
//pH	1	1.0000	0.0000	0.0000
//
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5904183	1	C	04/01/2014	16:45	210.026	-66.989	0	1598.72	0	0.6993	0	34.7003	0	27.829	0	1576.789	0	193.49	0	56.5	0	33.93	0	0.0000	0	0.0000	0	0.000129	1	-1E+10	1	0.59	1
5904183	1	C	04/01/2014	16:45	210.026	-66.989	0	1499.26	0	0.7341	0	34.7010	0	27.827	0	1479.040	0	191.06	0	55.8	0	34.04	0	0.0037	0	0.0012	0	0.000110	1	-1E+10	1	0.54	1
5904183	1	C	04/01/2014	16:45	210.026	-66.989	0	1399.36	0	0.7710	0	34.7022	0	27.826	0	1380.814	0	189.95	0	55.6	0	33.87	0	0.0037	0	0.0012	0	0.000129	1	-1E+10	1	0.59	1
5904183	1	C	04/01/2014	16:45	210.026	-66.989	0	1299.71	0	0.8213	0	34.7047	0	27.824	0	1282.788	0	188.78	0	55.3	0	33.81	0	0.0000	0	0.0000	0	0.000139	1	-1E+10	1	0.61	1
5904183	1	C	04/01/2014	16:45	210.026	-66.989	0	1199.62	0	0.8748	0	34.7063	0	27.822	0	1184.282	0	187.46	0	55.0	0	33.64	0	0.0073	0	0.0024	0	0.000120	1	-1E+10	1	0.56	1
5904183	1	C	04/01/2014	16:45	210.026	-66.989	0	1099.23	0	0.9223	0	34.7085	0	27.820	0	1085.435	0	186.02	0	54.6	0	33.85	0	0.0037	0	0.0012	0	0.000315	1	-1E+10	1	1.07	1
5904183	1	C	04/01/2014	16:45	210.026	-66.989	0	999.57	0	0.9774	0	34.7110	0	27.818	0	987.260	0	184.32	0	54.2	0	33.69	0	0.0000	0	0.0000	0	0.000169	1	-1E+10	1	0.69	1
5904183	1	C	04/01/2014	16:45	210.026	-66.989	0	951.23	0	1.0128	0	34.7123	0	27.817	0	939.624	0	183.30	0	54.0	0	33.75	0	0.0037	0	0.0012	0	0.000159	1	-1E+10	1	0.67	1
5904183	1	C	04/01/2014	16:45	210.026	-66.989	0	900.66	0	1.0406	0	34.7135	0	27.816	0	889.778	0	182.28	0	53.7	0	33.67	0	0.0037	0	0.0012	0	0.000159	1	-1E+10	1	0.67	1
5904183	1	C	04/01/2014	16:45	210.026	-66.989	0	851.62	0	1.0678	0	34.7147	0	27.815	0	841.429	0	181.37	0	53.5	0	33.64	0	0.0109	0	0.0037	0	0.000198	1	-1E+10	1	0.77	1
5904183	1	C	04/01/2014	16:45	210.026	-66.989	0	801.44	0	1.0995	0	34.7154	0	27.813	0	791.945	0	180.28	0	53.2	0	33.52	0	0.0000	0	0.0000	0	0.000198	1	-1E+10	1	0.77	1
5904183	1	C	04/01/2014	16:45	210.026	-66.989	0	751.11	0	1.1364	0	34.7167	0	27.811	0	742.301	0	179.07	0	52.9	0	33.59	0	0.0073	0	0.0024	0	0.000159	1	-1E+10	1	0.67	1
5904183	1	C	04/01/2014	16:45	210.026	-66.989	0	701.15	0	1.1709	0	34.7177	0	27.809	0	693.009	0	177.87	0	52.6	0	33.46	0	0.0073	0	0.0024	0	0.000179	1	-1E+10	1	0.72	1
5904183	1	C	04/01/2014	16:45	210.026	-66.989	0	650.76	0	1.2073	0	34.7189	0	27.808	0	643.282	0	176.76	0	52.3	0	33.54	0	0.0073	0	0.0024	0	0.000189	1	-1E+10	1	0.74	1
5904183	1	C	04/01/2014	16:45	210.026	-66.989	0	601.21	0	1.2451	0	34.7200	0	27.806	0	594.372	0	176.17	0	52.2	0	33.33	0	0.0073	0	0.0024	0	0.000189	1	-1E+10	1	0.74	1
5904183	1	C	04/01/2014	16:45	210.026	-66.989	0	551.45	0	1.2757	0	34.7205	0	27.804	0	545.243	0	175.04	0	51.9	0	33.42	0	0.0109	0	0.0037	0	0.000199	1	-1E+10	1	0.77	1
5904183	1	C	04/01/2014	16:45	210.026	-66.989	0	501.66	0	1.3096	0	34.7206	0	27.801	0	496.073	0	173.91	0	51.6	0	33.39	0	0.0073	0	0.0024	0	0.000208	1	-1E+10	1	0.80	1
5904183	1	C	04/01/2014	16:45	210.026	-66.989	0	451.55	0	1.3387	0	34.7212	0	27.800	0	446.575	0	173.40	0	51.5	0	33.52	0	0.0073	0	0.0024	0	0.000208	1	-1E+10	1	0.80	1
