//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 16:41
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904108
//Univ. of Washington ID: 7615
//MBARI ID: 7615CALCURRENT
//No missing float profiles
//Missing Float data detected for adjusted station(s): 279 291 292 293 294 295 296 297 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	3568	
//Temperature[°C]	Sbe41cp	3568	
//Salinity[pss]	Sbe41cp	3568	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 3830	1276	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#B1.C01.5868 Spec#027 Equitech probe #20120117R10.01 MBARI ARGO float#7025	
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1014	0.0000	0.0000
//Nitrate	1	1.0000	0.1419	0.0000
//Nitrate	54	1.0000	0.1283	6.2154
//Nitrate	80	1.0000	3.0158	4.2606
//Nitrate	134	1.0000	5.6526	2.1735
//Nitrate	173	1.0000	7.2861	0.0000
//Nitrate	221	1.0000	6.8629	3.4134
//Nitrate	258	1.0000	8.1719	0.0000
//Nitrate	291	1.0000	7.7267	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5904108	1	C	08/16/2013	17:41	230.065	45.939	0	998.31	0	3.4106	0	34.3816	0	27.360	0	987.746	0	9.30	0	2.9	0	44.92	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904108	1	C	08/16/2013	17:41	230.065	45.939	0	951.08	0	3.5049	0	34.3533	0	27.328	0	941.122	0	8.66	0	2.7	0	44.82	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904108	1	C	08/16/2013	17:41	230.065	45.939	0	900.66	0	3.6357	0	34.3249	0	27.292	0	891.337	0	8.45	0	2.6	0	44.68	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904108	1	C	08/16/2013	17:41	230.065	45.939	0	850.87	0	3.7312	0	34.2914	0	27.256	0	842.163	0	8.97	0	2.8	0	44.64	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904108	1	C	08/16/2013	17:41	230.065	45.939	0	801.57	0	3.8387	0	34.2677	0	27.226	0	793.461	0	9.39	0	3.0	0	44.54	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904108	1	C	08/16/2013	17:41	230.065	45.939	0	751.47	0	3.9080	0	34.2418	0	27.198	0	743.957	0	10.59	0	3.3	0	44.38	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904108	1	C	08/16/2013	17:41	230.065	45.939	0	700.77	0	3.9544	0	34.1862	0	27.149	0	693.848	0	14.87	0	4.7	0	44.26	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904108	1	C	08/16/2013	17:41	230.065	45.939	0	651.17	0	4.1308	0	34.1597	0	27.109	0	644.815	0	17.81	0	5.6	0	43.81	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904108	1	C	08/16/2013	17:41	230.065	45.939	0	601.74	0	4.2304	0	34.1176	0	27.065	0	595.938	0	22.08	0	7.0	0	43.28	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904108	1	C	08/16/2013	17:41	230.065	45.939	0	551.46	0	4.3447	0	34.0646	0	27.010	0	546.208	0	34.01	0	10.8	0	42.31	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904108	1	C	08/16/2013	17:41	230.065	45.939	0	501.56	0	4.5497	0	34.0211	0	26.954	0	496.843	0	44.34	0	14.2	0	41.22	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904108	1	C	08/16/2013	17:41	230.065	45.939	0	451.68	0	4.7437	0	33.9714	0	26.893	0	447.486	0	60.99	0	19.6	0	39.68	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904108	1	C	08/16/2013	17:41	230.065	45.939	0	401.16	0	4.9873	0	33.9303	0	26.832	0	397.484	0	80.44	0	26.0	0	37.81	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904108	1	C	08/16/2013	17:41	230.065	45.939	0	381.18	0	5.0798	0	33.9200	0	26.813	0	377.705	0	85.13	0	27.5	0	36.92	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904108	1	C	08/16/2013	17:41	230.065	45.939	0	361.13	0	5.2946	0	33.9034	0	26.775	0	357.855	0	95.63	0	31.1	0	35.47	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904108	1	C	08/16/2013	17:41	230.065	45.939	0	351.32	0	5.4306	0	33.8977	0	26.755	0	348.142	0	101.52	0	33.1	0	34.60	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904108	1	C	08/16/2013	17:41	230.065	45.939	0	341.48	0	5.5559	0	33.8932	0	26.736	0	338.399	0	107.23	0	35.1	0	33.91	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904108	1	C	08/16/2013	17:41	230.065	45.939	0	331.35	0	5.6481	0	33.8933	0	26.725	0	328.369	0	112.35	0	36.8	0	33.27	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904108	1	C	08/16/2013	17:41	230.065	45.939	0	321.49	0	5.7467	0	33.8919	0	26.712	0	318.605	0	117.78	0	38.7	0	32.85	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904108	1	C	08/16/2013	17:41	230.065	45.939	0	310.51	0	5.8639	0	33.8903	0	26.696	0	307.732	0	121.85	0	40.1	0	32.20	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904108	1	C	08/16/2013	17:41	230.065	45.939	0	300.90	0	5.9225	0	33.8898	0	26.688	0	298.214	0	125.76	0	41.5	0	31.46	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904108	1	C	08/16/2013	17:41	230.065	45.939	0	290.81	0	6.0909	0	33.8898	0	26.667	0	288.222	0	130.44	0	43.2	0	31.12	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904108	1	C	08/16/2013	17:41	230.065	45.939	0	281.43	0	6.1953	0	33.8905	0	26.654	0	278.931	0	134.33	0	44.6	0	30.46	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904108	1	C	08/16/2013	17:41	230.065	45.939	0	271.72	0	6.2763	0	33.8916	0	26.645	0	269.314	0	137.34	0	45.7	0	29.98	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904108	1	C	08/16/2013	17:41	230.065	45.939	0	261.53	0	6.4024	0	33.8938	0	26.630	0	259.220	0	141.48	0	47.2	0	29.20	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904108	1	C	08/16/2013	17:41	230.065	45.939	0	251.23	0	6.7039	0	33.8947	0	26.591	0	249.018	0	146.95	0	49.3	0	28.14	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904108	1	C	08/16/2013	17:41	230.065	45.939	0	240.94	0	6.8837	0	33.8938	0	26.566	0	238.824	0	153.38	0	51.7	0	27.45	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904108	1	C	08/16/2013	17:41	230.065	45.939	0	231.58	0	7.0504	0	33.8843	0	26.536	0	229.552	0	156.03	0	52.8	0	26.63	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904108	1	C	08/16/2013	17:41	230.065	45.939	0	221.50	0	7.1431	0	33.8719	0	26.514	0	219.565	0	162.37	0	55.1	0	26.00	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904108	1	C	08/16/2013	17:41	230.065	45.939	0	211.36	0	7.2177	0	33.8534	0	26.489	0	209.519	0	167.13	0	56.8	0	25.29	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904108	1	C	08/16/2013	17:41	230.065	45.939	0	201.46	0	7.3122	0	33.7773	0	26.415	0	199.710	0	175.93	0	59.8	0	23.77	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904108	1	C	08/16/2013	17:41	230.065	45.939	0	191.05	0	7.3601	0	33.6280	0	26.291	0	189.395	0	178.71	0	60.8	0	22.84	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904108	1	C	08/16/2013	17:41	230.065	45.939	0	181.13	0	7.3280	0	33.5382	0	26.225	0	179.565	0	187.07	0	63.5	0	21.10	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904108	1	C	08/16/2013	17:41	230.065	45.939	0	171.33	0	7.2163	0	33.4313	0	26.156	0	169.854	0	204.20	0	69.1	0	20.41	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904108	1	C	08/16/2013	17:41	230.065	45.939	0	161.00	0	7.2018	0	33.3676	0	26.108	0	159.617	0	215.09	0	72.8	0	19.87	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904108	1	C	08/16/2013	17:41	230.065	45.939	0	151.33	0	7.1870	0	33.2154	0	25.990	0	150.034	0	223.73	0	75.6	0	18.93	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
