//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 16:51
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904105
//Univ. of Washington ID: 7619
//MBARI ID: 7619SOOCN
//Missing Float profile(s) for station(s): 7 8 49 50 51 52 53 54 55 56 
//Missing Float position interpolated for station(s): 2 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 57 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 99 100 101 102 103 104 107 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 3 58 144 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	3601	
//Temperature[°C]	Sbe41cp	3601	
//Salinity[pss]	Sbe41cp	3601	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	822	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#B1.C01.5944 Spec#050 Equitech probe #2011.1108R10.10 MBARI ARGO float#7032	
//Chl_a[mg/m^3]	FLBBAP2	1887	
//Chl_a_corr[mg/m^3]	FLBBAP2	1887	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	1887	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	1887	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0355	0.0000	0.0000
//Nitrate	1	1.0000	5.2428	0.0000
//Nitrate	86	1.0000	3.9399	0.0000
//pH	1	1.0000	0.0000	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5904105	1	C	03/03/2013	07:07	150.091	-65.002	0	999.67	0	1.0907	0	34.7173	0	27.816	0	987.493	0	195.78	0	57.7	0	32.30	0	0.0036	0	0.0012	0	0.000204	1	-1E+10	1	0.78	1
5904105	1	C	03/03/2013	07:07	150.091	-65.002	0	951.28	0	1.1335	0	34.7183	0	27.813	0	939.801	0	195.01	0	57.6	0	32.99	0	0.0072	0	0.0024	0	0.000226	1	-1E+10	1	0.84	1
5904105	1	C	03/03/2013	07:07	150.091	-65.002	0	900.80	0	1.1652	0	34.7193	0	27.812	0	890.038	0	194.53	0	57.5	0	32.42	0	0.0036	0	0.0012	0	0.000204	1	-1E+10	1	0.78	1
5904105	1	C	03/03/2013	07:07	150.091	-65.002	0	851.08	0	1.2076	0	34.7212	0	27.810	0	841.012	0	193.85	0	57.4	0	32.74	0	0.0072	0	0.0024	0	0.000215	1	-1E+10	1	0.81	1
5904105	1	C	03/03/2013	07:07	150.091	-65.002	0	801.46	0	1.2412	0	34.7209	0	27.808	0	792.073	0	193.40	0	57.3	0	31.61	0	0.0036	0	0.0012	0	0.000215	1	-1E+10	1	0.81	1
5904105	1	C	03/03/2013	07:07	150.091	-65.002	0	751.56	0	1.2921	0	34.7232	0	27.806	0	742.846	0	192.75	0	57.1	0	32.09	0	0.0072	0	0.0024	0	0.000272	1	-1E+10	1	0.96	1
5904105	1	C	03/03/2013	07:07	150.091	-65.002	0	701.20	0	1.3290	0	34.7225	0	27.802	0	693.153	0	192.32	0	57.1	0	32.26	0	0.0036	0	0.0012	0	0.000216	1	-1E+10	1	0.81	1
5904105	1	C	03/03/2013	07:07	150.091	-65.002	0	651.13	0	1.3208	0	34.7179	0	27.799	0	643.735	0	192.06	0	57.0	0	32.04	0	0.0072	0	0.0024	0	0.000227	1	-1E+10	1	0.84	1
5904105	1	C	03/03/2013	07:07	150.091	-65.002	0	601.07	0	1.4252	0	34.7227	0	27.795	0	594.315	0	190.70	0	56.7	0	32.73	0	0.0072	0	0.0024	0	0.000216	1	-1E+10	1	0.81	1
5904105	1	C	03/03/2013	07:07	150.091	-65.002	0	550.81	0	1.5157	0	34.7273	0	27.792	0	544.686	0	188.82	0	56.3	0	32.75	0	0.0072	0	0.0024	0	0.000272	1	-1E+10	1	0.96	1
5904105	1	C	03/03/2013	07:07	150.091	-65.002	0	500.87	0	1.5495	0	34.7258	0	27.788	0	495.360	0	187.48	0	56.0	0	32.34	0	0.0072	0	0.0024	0	0.000261	1	-1E+10	1	0.93	1
5904105	1	C	03/03/2013	07:07	150.091	-65.002	0	451.20	0	1.5173	0	34.7136	0	27.781	0	446.290	0	187.73	0	56.0	0	31.95	0	0.0072	0	0.0024	0	0.000441	1	-1E+10	1	1.40	1
5904105	1	C	03/03/2013	07:07	150.091	-65.002	0	401.63	0	1.6054	0	34.7154	0	27.776	0	397.307	0	185.52	0	55.4	0	32.26	0	0.0072	0	0.0024	0	0.000284	1	-1E+10	1	0.99	1
5904105	1	C	03/03/2013	07:07	150.091	-65.002	0	381.33	0	1.6311	0	34.7155	0	27.774	0	377.244	0	184.56	0	55.2	0	32.90	0	0.0072	0	0.0024	0	0.000261	1	-1E+10	1	0.93	1
5904105	1	C	03/03/2013	07:07	150.091	-65.002	0	361.64	0	1.6202	0	34.7104	0	27.770	0	357.782	0	184.29	0	55.1	0	32.39	0	0.0036	0	0.0012	0	0.000317	1	-1E+10	1	1.08	1
5904105	1	C	03/03/2013	07:07	150.091	-65.002	0	351.59	0	1.6176	0	34.7089	0	27.769	0	347.848	0	184.12	0	55.0	0	32.94	0	0.0072	0	0.0024	0	0.000306	1	-1E+10	1	1.05	1
