//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 16:54
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904104
//Univ. of Washington ID: 7620
//MBARI ID: 7620SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 13 14 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 53 54 55 80 81 82 84 85 86 90 91 92 98 99 100 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 3 19 20 90 123 165 236 262 263 264 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	3596	
//Temperature[°C]	Sbe41cp	3596	
//Salinity[pss]	Sbe41cp	3596	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 3830	1350	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#B1.C01.5942 Spec#047 Equitech probe #20120110R10.06 MBARI ARGO float#7029	
//Chl_a[mg/m^3]	FLBBAP2	1888	
//Chl_a_corr[mg/m^3]	FLBBAP2	1888	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	1888	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	1888	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1465	0.0000	-0.0122
//Oxygen	264	1.0871	0.0000	0.0000
//Nitrate	1	1.0000	-0.3846	-5.1545
//Nitrate	10	1.0000	-0.2262	-3.8781
//Nitrate	34	1.0000	-1.8795	7.6115
//Nitrate	60	1.0000	0.9418	-6.9151
//Nitrate	72	1.0000	-0.6774	3.7310
//Nitrate	90	1.0000	0.7023	-3.0605
//Nitrate	113	1.0000	-1.1246	0.0000
//pH	1	1.0000	0.0000	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5904104	1	C	03/04/2013	12:41	149.190	-63.310	0	999.69	0	1.4512	0	34.7314	0	27.802	0	987.634	0	192.56	0	57.3	0	32.12	0	0.0000	0	0.0000	0	0.000313	1	-1E+10	1	1.07	1
5904104	1	C	03/04/2013	12:41	149.190	-63.310	0	951.56	0	1.4861	0	34.7318	0	27.800	0	940.193	0	190.53	0	56.8	0	31.97	0	0.0036	0	0.0012	0	0.000301	1	-1E+10	1	1.04	1
5904104	1	C	03/04/2013	12:41	149.190	-63.310	0	901.65	0	1.5339	0	34.7328	0	27.797	0	890.985	0	189.26	0	56.5	0	32.07	0	0.0072	0	0.0024	0	0.000337	1	-1E+10	1	1.13	1
5904104	1	C	03/04/2013	12:41	149.190	-63.310	0	851.57	0	1.5789	0	34.7334	0	27.794	0	841.598	0	188.01	0	56.2	0	32.00	0	0.0000	0	0.0000	0	0.000373	1	-1E+10	1	1.22	1
5904104	1	C	03/04/2013	12:41	149.190	-63.310	0	801.56	0	1.6233	0	34.7335	0	27.791	0	792.268	0	186.92	0	55.9	0	31.96	0	0.0036	0	0.0012	0	0.000349	1	-1E+10	1	1.16	1
5904104	1	C	03/04/2013	12:41	149.190	-63.310	0	751.56	0	1.6578	0	34.7326	0	27.787	0	742.937	0	186.06	0	55.7	0	32.06	0	0.0072	0	0.0024	0	0.000361	1	-1E+10	1	1.19	1
5904104	1	C	03/04/2013	12:41	149.190	-63.310	0	700.93	0	1.6929	0	34.7319	0	27.784	0	692.972	0	185.05	0	55.4	0	32.11	0	0.0072	0	0.0024	0	0.000373	1	-1E+10	1	1.22	1
5904104	1	C	03/04/2013	12:41	149.190	-63.310	0	651.05	0	1.7255	0	34.7304	0	27.780	0	643.735	0	183.93	0	55.1	0	32.17	0	0.0036	0	0.0012	0	0.000385	1	-1E+10	1	1.25	1
5904104	1	C	03/04/2013	12:41	149.190	-63.310	0	600.88	0	1.7546	0	34.7276	0	27.775	0	594.200	0	182.85	0	54.9	0	32.18	0	0.0036	0	0.0012	0	0.000456	1	-1E+10	1	1.44	1
5904104	1	C	03/04/2013	12:41	149.190	-63.310	0	551.44	0	1.7889	0	34.7241	0	27.769	0	545.375	0	181.59	0	54.5	0	32.37	0	0.0108	0	0.0036	0	0.000361	1	-1E+10	1	1.19	1
5904104	1	C	03/04/2013	12:41	149.190	-63.310	0	501.59	0	1.8256	0	34.7195	0	27.763	0	496.132	0	179.92	0	54.1	0	32.42	0	0.0108	0	0.0036	0	0.000373	1	-1E+10	1	1.22	1
5904104	1	C	03/04/2013	12:41	149.190	-63.310	0	451.64	0	1.8519	0	34.7146	0	27.757	0	446.780	0	178.48	0	53.7	0	32.68	0	0.0036	0	0.0012	0	0.000373	1	-1E+10	1	1.22	1
5904104	1	C	03/04/2013	12:41	149.190	-63.310	0	401.10	0	1.8744	0	34.7062	0	27.748	0	396.832	0	176.67	0	53.2	0	32.98	0	0.0036	0	0.0012	0	0.000385	1	-1E+10	1	1.26	1
5904104	1	C	03/04/2013	12:41	149.190	-63.310	0	381.02	0	1.8770	0	34.7036	0	27.746	0	376.984	0	176.27	0	53.0	0	32.82	0	0.0108	0	0.0036	0	0.000433	1	-1E+10	1	1.38	1
5904104	1	C	03/04/2013	12:41	149.190	-63.310	0	359.25	0	1.8807	0	34.7001	0	27.742	0	355.463	0	175.71	0	52.9	0	32.95	0	0.0036	0	0.0012	0	0.000457	1	-1E+10	1	1.44	1
5904104	1	C	03/04/2013	12:41	149.190	-63.310	0	351.37	0	1.8824	0	34.6988	0	27.741	0	347.673	0	175.52	0	52.8	0	33.05	0	0.0036	0	0.0012	0	0.000397	1	-1E+10	1	1.29	1
5904104	1	C	03/04/2013	12:41	149.190	-63.310	0	341.31	0	1.8793	0	34.6968	0	27.740	0	337.727	0	175.22	0	52.7	0	33.12	0	0.0072	0	0.0024	0	0.000504	1	-1E+10	1	1.56	1
