//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 17:07
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904125
//Univ. of Washington ID: 7641
//MBARI ID: 7641STNP
//No missing float profiles
//Missing Float position interpolated for station(s): 132 201 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 337 338 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	3570	
//Temperature[°C]	Sbe41cp	3570	
//Salinity[pss]	Sbe41cp	3570	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	274	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	SUNA	 0148	
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1986	0.0000	0.0000
//Nitrate	1	1.0000	2.1247	-104.8288
//Nitrate	3	1.0000	0.0072	-8.6003
//Nitrate	27	1.0000	-2.8923	-0.0722
//Nitrate	336	1.0000	-3.1394	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5904125	1	C	06/20/2013	05:18	215.012	50.005	0	999.83	0	2.8766	0	34.3758	0	27.404	0	988.877	0	20.21	0	6.2	0	43.85	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904125	1	C	06/20/2013	05:18	215.012	50.005	0	950.91	0	2.9634	0	34.3564	0	27.380	0	940.603	0	19.28	0	5.9	0	43.67	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904125	1	C	06/20/2013	05:18	215.012	50.005	0	901.15	0	3.0420	0	34.3391	0	27.359	0	891.488	0	19.15	0	5.9	0	43.78	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904125	1	C	06/20/2013	05:18	215.012	50.005	0	851.16	0	3.1154	0	34.3229	0	27.339	0	842.135	0	19.23	0	6.0	0	43.68	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904125	1	C	06/20/2013	05:18	215.012	50.005	0	801.01	0	3.2116	0	34.3008	0	27.313	0	792.612	0	19.21	0	6.0	0	43.42	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904125	1	C	06/20/2013	05:18	215.012	50.005	0	751.43	0	3.2961	0	34.2820	0	27.289	0	743.640	0	19.56	0	6.1	0	43.41	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904125	1	C	06/20/2013	05:18	215.012	50.005	0	701.00	0	3.3860	0	34.2620	0	27.265	0	693.816	0	20.09	0	6.3	0	43.39	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904125	1	C	06/20/2013	05:18	215.012	50.005	0	651.13	0	3.4764	0	34.2362	0	27.235	0	644.535	0	21.61	0	6.7	0	43.20	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904125	1	C	06/20/2013	05:18	215.012	50.005	0	601.02	0	3.5366	0	34.2097	0	27.208	0	595.004	0	21.89	0	6.8	0	43.28	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904125	1	C	06/20/2013	05:18	215.012	50.005	0	551.62	0	3.6113	0	34.1636	0	27.164	0	546.163	0	19.67	0	6.2	0	43.76	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904125	1	C	06/20/2013	05:18	215.012	50.005	0	500.82	0	3.6866	0	34.1191	0	27.120	0	495.926	0	21.68	0	6.8	0	43.45	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904125	1	C	06/20/2013	05:18	215.012	50.005	0	451.06	0	3.7337	0	34.0742	0	27.080	0	446.706	0	26.13	0	8.2	0	43.39	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904125	1	C	06/20/2013	05:18	215.012	50.005	0	400.52	0	3.7511	0	34.0377	0	27.049	0	396.702	0	30.48	0	9.6	0	43.21	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904125	1	C	06/20/2013	05:18	215.012	50.005	0	380.78	0	3.7503	0	34.0157	0	27.031	0	377.168	0	30.59	0	9.6	0	43.31	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904125	1	C	06/20/2013	05:18	215.012	50.005	0	361.21	0	3.7723	0	33.9941	0	27.011	0	357.801	0	34.44	0	10.8	0	43.03	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904125	1	C	06/20/2013	05:18	215.012	50.005	0	351.04	0	3.7657	0	33.9777	0	26.999	0	347.735	0	36.63	0	11.5	0	42.94	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904125	1	C	06/20/2013	05:18	215.012	50.005	0	341.27	0	3.7718	0	33.9694	0	26.992	0	338.065	0	38.15	0	12.0	0	43.03	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904125	1	C	06/20/2013	05:18	215.012	50.005	0	331.62	0	3.7650	0	33.9543	0	26.980	0	328.513	0	40.10	0	12.6	0	42.95	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904125	1	C	06/20/2013	05:18	215.012	50.005	0	320.90	0	3.7634	0	33.9386	0	26.968	0	317.902	0	42.59	0	13.3	0	42.75	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904125	1	C	06/20/2013	05:18	215.012	50.005	0	311.31	0	3.7558	0	33.9236	0	26.957	0	308.409	0	45.23	0	14.2	0	42.45	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904125	1	C	06/20/2013	05:18	215.012	50.005	0	301.31	0	3.7424	0	33.9077	0	26.945	0	298.509	0	47.41	0	14.8	0	42.63	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904125	1	C	06/20/2013	05:18	215.012	50.005	0	288.78	0	3.7198	0	33.8827	0	26.927	0	286.104	0	49.91	0	15.6	0	42.21	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904125	1	C	06/20/2013	05:18	215.012	50.005	0	280.99	0	3.7148	0	33.8747	0	26.922	0	278.392	0	52.67	0	16.5	0	41.95	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904125	1	C	06/20/2013	05:18	215.012	50.005	0	271.44	0	3.7043	0	33.8571	0	26.908	0	268.936	0	56.46	0	17.7	0	41.76	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904125	1	C	06/20/2013	05:18	215.012	50.005	0	260.69	0	3.7250	0	33.8438	0	26.896	0	258.292	0	64.12	0	20.1	0	40.93	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904125	1	C	06/20/2013	05:18	215.012	50.005	0	251.06	0	3.7094	0	33.8288	0	26.885	0	248.756	0	68.99	0	21.6	0	40.84	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904125	1	C	06/20/2013	05:18	215.012	50.005	0	241.38	0	3.6993	0	33.8110	0	26.872	0	239.171	0	73.30	0	22.9	0	40.54	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904125	1	C	06/20/2013	05:18	215.012	50.005	0	231.68	0	3.7045	0	33.7978	0	26.861	0	229.565	0	77.84	0	24.3	0	40.10	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904125	1	C	06/20/2013	05:18	215.012	50.005	0	221.52	0	3.6991	0	33.7851	0	26.851	0	219.503	0	82.50	0	25.8	0	40.03	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904125	1	C	06/20/2013	05:18	215.012	50.005	0	210.46	0	3.7207	0	33.7705	0	26.837	0	208.549	0	87.76	0	27.4	0	39.17	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904125	1	C	06/20/2013	05:18	215.012	50.005	0	200.58	0	3.7332	0	33.7508	0	26.821	0	198.764	0	93.66	0	29.3	0	38.76	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
