//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 17:12
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904127
//Univ. of Washington ID: 7642
//MBARI ID: 7642NOPACIFIC
//No missing float profiles
//Missing Float position interpolated for station(s): 241 246 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 265 266 267 268 269 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	3600	
//Temperature[°C]	Sbe41cp	3600	
//Salinity[pss]	Sbe41cp	3600	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 3830	896	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L1.C01.8707 Spec#056 Equitech probe #2011.1108R10.02 MBARI ARGO float#7037	
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1605	0.0000	-0.0075
//Oxygen	269	1.1317	0.0000	0.0000
//Nitrate	1	1.0000	2.4400	-73.4248
//Nitrate	3	1.0000	0.9897	1.7848
//Nitrate	62	1.0000	2.2205	-7.1493
//Nitrate	74	1.0000	1.2329	3.9706
//Nitrate	90	1.0000	2.1860	0.7245
//Nitrate	124	1.0000	1.8625	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5904127	1	C	07/07/2013	12:08	201.992	36.558	0	999.06	0	3.4199	0	34.1545	0	27.178	0	989.331	0	8.59	0	2.7	0	44.06	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904127	1	C	07/07/2013	12:08	201.992	36.558	0	951.51	0	3.5641	0	34.1252	0	27.140	0	942.351	0	11.58	0	3.6	0	43.68	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904127	1	C	07/07/2013	12:08	201.992	36.558	0	900.83	0	3.7238	0	34.0932	0	27.099	0	892.267	0	16.22	0	5.1	0	43.02	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904127	1	C	07/07/2013	12:08	201.992	36.558	0	851.64	0	3.9099	0	34.0575	0	27.052	0	843.644	0	23.19	0	7.3	0	42.23	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904127	1	C	07/07/2013	12:08	201.992	36.558	0	801.26	0	4.1514	0	34.0154	0	26.994	0	793.832	0	31.84	0	10.1	0	41.06	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904127	1	C	07/07/2013	12:08	201.992	36.558	0	751.66	0	4.3598	0	33.9822	0	26.945	0	744.781	0	43.98	0	14.0	0	39.81	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904127	1	C	07/07/2013	12:08	201.992	36.558	0	701.51	0	4.6902	0	33.9302	0	26.868	0	695.173	0	60.27	0	19.3	0	37.78	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904127	1	C	07/07/2013	12:08	201.992	36.558	0	650.86	0	5.0450	0	33.8881	0	26.795	0	645.059	0	79.16	0	25.6	0	35.53	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904127	1	C	07/07/2013	12:08	201.992	36.558	0	600.79	0	5.4401	0	33.8559	0	26.723	0	595.507	0	96.00	0	31.3	0	33.33	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904127	1	C	07/07/2013	12:08	201.992	36.558	0	551.53	0	6.1787	0	33.8435	0	26.623	0	546.745	0	116.55	0	38.6	0	30.17	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
