//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 17:17
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904021
//Univ. of Washington ID: 7647
//MBARI ID: 7647CALCURRENT
//No missing float profiles
//Missing Float position interpolated for station(s): 72 95 142 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 2 3 4 5 41 262 263 264 265 266 267 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	3569	
//Temperature[°C]	Sbe41cp	3569	
//Salinity[pss]	Sbe41cp	3569	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	819	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#B1.C01.5875 Spec#045 Equitech probe #20120110R10.05 MBARI ARGO float#7028	
//Chl_a[mg/m^3]	FLBBAP2	2102	
//Chl_a_corr[mg/m^3]	FLBBAP2	2102	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	2102	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	2102	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0440	0.0000	0.0000
//Nitrate	1	1.0000	-1.0281	0.0000
//Nitrate	2	1.0000	-2.5620	-1.3961
//Nitrate	22	1.0000	-3.0048	-12.2275
//Nitrate	34	1.0000	-4.6267	0.0000
//Nitrate	40	1.0000	-5.0000	2.0000
//Nitrate	99	1.0000	-3.1170	0.0000
//Nitrate	100	1.0000	-2.5378	1.3612
//Nitrate	195	1.0000	-0.7020	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5904021	1	C	11/18/2012	18:29	237.104	35.147	0	999.44	0	3.8531	0	34.4510	0	27.372	0	989.829	0	14.56	0	4.6	0	43.20	0	0.0144	0	0.0144	0	0.000173	1	-1E+10	1	0.70	1
5904021	1	C	11/18/2012	18:29	237.104	35.147	0	949.60	0	3.9791	0	34.4372	0	27.348	0	940.580	0	12.28	0	3.9	0	43.11	0	0.0216	0	0.0216	0	0.000147	1	-1E+10	1	0.64	1
5904021	1	C	11/18/2012	18:29	237.104	35.147	0	900.85	0	4.1110	0	34.4220	0	27.322	0	892.397	0	10.42	0	3.3	0	42.87	0	0.0216	0	0.0216	0	0.000186	1	-1E+10	1	0.74	1
5904021	1	C	11/18/2012	18:29	237.104	35.147	0	851.26	0	4.3307	0	34.4073	0	27.287	0	843.372	0	8.55	0	2.7	0	42.71	0	0.0144	0	0.0144	0	0.000161	1	-1E+10	1	0.67	1
5904021	1	C	11/18/2012	18:29	237.104	35.147	0	801.45	0	4.4996	0	34.3838	0	27.250	0	794.118	0	7.39	0	2.4	0	42.33	0	0.0252	0	0.0252	0	0.000225	1	-1E+10	1	0.84	1
5904021	1	C	11/18/2012	18:29	237.104	35.147	0	750.49	0	4.6661	0	34.3600	0	27.212	0	743.715	0	6.63	0	2.1	0	42.07	0	0.0180	0	0.0180	0	0.000174	1	-1E+10	1	0.71	1
5904021	1	C	11/18/2012	18:29	237.104	35.147	0	701.33	0	4.7548	0	34.3414	0	27.187	0	695.081	0	6.40	0	2.1	0	41.91	0	0.0180	0	0.0180	0	0.000175	1	-1E+10	1	0.71	1
5904021	1	C	11/18/2012	18:29	237.104	35.147	0	651.15	0	4.9729	0	34.3163	0	27.142	0	645.426	0	6.58	0	2.1	0	41.35	0	0.0180	0	0.0180	0	0.000201	1	-1E+10	1	0.77	1
5904021	1	C	11/18/2012	18:29	237.104	35.147	0	601.14	0	5.3873	0	34.2960	0	27.078	0	595.927	0	7.68	0	2.5	0	40.33	0	0.0180	0	0.0180	0	0.000163	1	-1E+10	1	0.68	1
5904021	1	C	11/18/2012	18:29	237.104	35.147	0	551.12	0	5.5843	0	34.2609	0	27.026	0	546.406	0	9.38	0	3.1	0	39.73	0	0.0252	0	0.0252	0	0.000176	1	-1E+10	1	0.71	1
5904021	1	C	11/18/2012	18:29	237.104	35.147	0	501.44	0	5.8968	0	34.2447	0	26.974	0	497.211	0	12.09	0	4.0	0	38.73	0	0.0252	0	0.0252	0	0.000151	1	-1E+10	1	0.65	1
5904021	1	C	11/18/2012	18:29	237.104	35.147	0	451.45	0	6.0228	0	34.2019	0	26.924	0	447.696	0	17.77	0	5.9	0	38.18	0	0.0144	0	0.0144	0	0.000190	1	-1E+10	1	0.75	1
5904021	1	C	11/18/2012	18:29	237.104	35.147	0	401.03	0	6.0832	0	34.1023	0	26.837	0	397.744	0	31.57	0	10.5	0	37.67	0	0.0180	0	0.0180	0	0.000229	1	-1E+10	1	0.85	1
5904021	1	C	11/18/2012	18:29	237.104	35.147	0	381.55	0	6.2092	0	34.0911	0	26.812	0	378.441	0	35.25	0	11.7	0	37.08	0	0.0144	0	0.0144	0	0.000203	1	-1E+10	1	0.78	1
5904021	1	C	11/18/2012	18:29	237.104	35.147	0	360.74	0	6.4658	0	34.0928	0	26.780	0	357.819	0	37.72	0	12.6	0	36.46	0	0.0180	0	0.0180	0	0.000216	1	-1E+10	1	0.82	1
5904021	1	C	11/18/2012	18:29	237.104	35.147	0	351.50	0	6.4021	0	34.0675	0	26.768	0	348.661	0	40.87	0	13.6	0	35.98	0	0.0108	0	0.0108	0	0.000229	1	-1E+10	1	0.85	1
