//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 17:22
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904467
//Univ. of Washington ID: 7652
//MBARI ID: 7652SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 4 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 73 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 130 131 132 133 134 135 136 137 138 139 140 141 142 143 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 12 55 56 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	5384	
//Temperature[°C]	Sbe41cp	5384	
//Salinity[pss]	Sbe41cp	5384	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	427	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#G1.C01.6527 Spec#063 Equitech Ti probe #20130410RR10.06 used to be MBARI ARGO float#7044 - new fiber	
//Chl_a[mg/m^3]	FLBBAP2	3291	
//Chl_a_corr[mg/m^3]	FLBBAP2	3291	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	3291	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	3291	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1601	0.0000	0.0000
//Nitrate	1	1.0000	1.5573	-15.7275
//Nitrate	3	1.0000	1.9772	-75.5720
//Nitrate	6	1.0000	-2.3288	-3.2942
//Nitrate	20	1.0000	-3.3283	0.0000
//Nitrate	40	1.0000	-3.6658	0.6131
//Nitrate	142	1.0000	-1.5995	2.0167
//Nitrate	161	1.0000	-0.6579	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5904467	1	C	12/14/2014	18:48	0.076	-59.998	0	1498.67	0	-0.0140	0	34.6672	0	27.842	0	1479.221	0	217.11	0	62.2	0	33.42	0	0.0000	0	0.0000	0	0.000188	1	-1E+10	1	0.74	1
5904467	1	C	12/14/2014	18:48	0.076	-59.998	0	1399.65	0	0.0155	0	34.6683	0	27.841	0	1381.810	0	214.38	0	61.5	0	33.42	0	0.0000	0	0.0000	0	0.000198	1	-1E+10	1	0.77	1
5904467	1	C	12/14/2014	18:48	0.076	-59.998	0	1299.23	0	0.0471	0	34.6699	0	27.841	0	1282.976	0	212.84	0	61.1	0	33.31	0	0.0000	0	0.0000	0	0.000218	1	-1E+10	1	0.82	1
5904467	1	C	12/14/2014	18:48	0.076	-59.998	0	1198.82	0	0.0837	0	34.6715	0	27.840	0	1184.104	0	209.92	0	60.3	0	33.73	0	0.0000	0	0.0000	0	0.000198	1	-1E+10	1	0.77	1
5904467	1	C	12/14/2014	18:48	0.076	-59.998	0	1099.82	0	0.1204	0	34.6728	0	27.838	0	1086.575	0	207.70	0	59.7	0	33.44	0	0.0000	0	0.0000	0	0.000198	1	-1E+10	1	0.77	1
5904467	1	C	12/14/2014	18:48	0.076	-59.998	0	998.86	0	0.1689	0	34.6752	0	27.837	0	987.068	0	204.79	0	59.0	0	33.63	0	0.0000	0	0.0000	0	0.000198	1	-1E+10	1	0.77	1
5904467	1	C	12/14/2014	18:48	0.076	-59.998	0	951.23	0	0.1871	0	34.6762	0	27.837	0	940.107	0	203.64	0	58.7	0	33.80	0	0.0036	0	0.0012	0	0.000218	1	-1E+10	1	0.82	1
5904467	1	C	12/14/2014	18:48	0.076	-59.998	0	901.76	0	0.2084	0	34.6774	0	27.837	0	891.321	0	203.01	0	58.5	0	33.72	0	0.0000	0	0.0000	0	0.000228	1	-1E+10	1	0.85	1
5904467	1	C	12/14/2014	18:48	0.076	-59.998	0	851.69	0	0.2338	0	34.6779	0	27.836	0	841.932	0	201.33	0	58.1	0	33.79	0	0.0000	0	0.0000	0	0.000208	1	-1E+10	1	0.80	1
5904467	1	C	12/14/2014	18:48	0.076	-59.998	0	801.52	0	0.2601	0	34.6793	0	27.835	0	792.431	0	199.18	0	57.5	0	33.80	0	0.0036	0	0.0012	0	0.000238	1	-1E+10	1	0.87	1
5904467	1	C	12/14/2014	18:48	0.076	-59.998	0	751.42	0	0.2830	0	34.6806	0	27.835	0	742.989	0	198.10	0	57.2	0	33.80	0	0.0000	0	0.0000	0	0.000238	1	-1E+10	1	0.87	1
5904467	1	C	12/14/2014	18:48	0.076	-59.998	0	700.88	0	0.3049	0	34.6813	0	27.834	0	693.100	0	196.44	0	56.8	0	34.12	0	0.0000	0	0.0000	0	0.000229	1	-1E+10	1	0.85	1
5904467	1	C	12/14/2014	18:48	0.076	-59.998	0	650.95	0	0.3257	0	34.6820	0	27.833	0	643.801	0	194.94	0	56.4	0	34.03	0	0.0036	0	0.0012	0	0.000239	1	-1E+10	1	0.87	1
5904467	1	C	12/14/2014	18:48	0.076	-59.998	0	601.52	0	0.3455	0	34.6829	0	27.833	0	594.984	0	193.86	0	56.1	0	34.02	0	0.0071	0	0.0024	0	0.000249	1	-1E+10	1	0.90	1
5904467	1	C	12/14/2014	18:48	0.076	-59.998	0	551.10	0	0.3714	0	34.6840	0	27.832	0	545.178	0	192.34	0	55.7	0	34.09	0	0.0000	0	0.0000	0	0.000229	1	-1E+10	1	0.85	1
5904467	1	C	12/14/2014	18:48	0.076	-59.998	0	500.84	0	0.3927	0	34.6843	0	27.831	0	495.518	0	191.33	0	55.4	0	34.35	0	0.0071	0	0.0024	0	0.000259	1	-1E+10	1	0.93	1
