//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 17:25
//!! ADJUSTED DATA FILE !!
//WMO ID: 5903892
//Univ. of Washington ID: 7663
//MBARI ID: 7663BERMUDA
//No missing float profiles
//Missing Float data detected for adjusted station(s): 310 311 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	3034	
//Temperature[°C]	Sbe41cp	3034	
//Salinity[pss]	Sbe41cp	3034	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	429	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS		
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1331	0.0000	0.0000
//Nitrate	1	1.0250	-0.8244	0.0000
//Nitrate	57	1.0250	3.4233	-10.9408
//Nitrate	80	1.0250	-0.0651	-0.2446
//Nitrate	309	1.0250	-0.7116	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5903892	1	C	08/23/2012	11:44	295.799	31.726	0	801.27	0	10.5653	0	35.3844	0	27.171	0	794.171	0	145.49	0	53.8	0	21.97	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903892	1	C	08/23/2012	11:44	295.799	31.726	0	750.89	0	11.6805	0	35.5230	0	27.076	0	744.327	0	150.49	0	57.0	0	19.76	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903892	1	C	08/23/2012	11:44	295.799	31.726	0	701.39	0	12.6327	0	35.6431	0	26.985	0	695.342	0	156.63	0	60.6	0	17.69	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903892	1	C	08/23/2012	11:44	295.799	31.726	0	651.52	0	13.8571	0	35.8279	0	26.878	0	645.979	0	167.90	0	66.6	0	14.50	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903892	1	C	08/23/2012	11:44	295.799	31.726	0	600.87	0	14.8151	0	35.9814	0	26.791	0	595.832	0	173.65	0	70.3	0	12.46	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903892	1	C	08/23/2012	11:44	295.799	31.726	0	551.51	0	15.7993	0	36.1485	0	26.699	0	546.951	0	179.30	0	74.1	0	10.58	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903892	1	C	08/23/2012	11:44	295.799	31.726	0	501.15	0	16.4890	0	36.2752	0	26.635	0	497.067	0	183.54	0	76.9	0	9.07	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903892	1	C	08/23/2012	11:44	295.799	31.726	0	451.22	0	17.1557	0	36.4077	0	26.577	0	447.598	0	191.98	0	81.5	0	7.31	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903892	1	C	08/23/2012	11:44	295.799	31.726	0	401.12	0	17.5421	0	36.4804	0	26.537	0	397.948	0	195.83	0	83.8	0	6.50	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5903892	1	C	08/23/2012	11:44	295.799	31.726	0	381.68	0	17.6865	0	36.5064	0	26.521	0	378.680	0	196.97	0	84.6	0	6.28	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
