//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 17:30
//!! ADJUSTED DATA FILE !!
//WMO ID: 5903893
//Univ. of Washington ID: 7672
//MBARI ID: 7672HAWAII
//No missing float profiles
//Missing Float data detected for adjusted station(s): 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 241 242 243 244 245 246 247 248 249 250 251 252 253 254 255 256 257 258 259 260 261 262 263 264 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	4132	
//Temperature[°C]	Sbe41cp	4132	
//Salinity[pss]	Sbe41cp	4132	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	751	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]			
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//pHinsitu[Total]	Durafet	0002	
//pH25C[Total]	Durafet	0002	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0700	0.0000	0.0000
//pH	1	1.0000	0.0614	-1.2974
//pH	7	1.0000	0.0503	-0.0930
//pH	20	1.0000	0.0466	0.0000
//pH	21	1.0000	0.0394	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5903893	1	C	10/03/2012	06:07	202.042	22.804	0	999.49	0	4.0992	0	34.4748	0	27.366	0	990.826	0	34.06	0	10.8	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.6113	0	7.3761	0	2367	0	2352	0	1032.6	0
5903893	1	C	10/03/2012	06:07	202.042	22.804	0	951.21	0	4.2490	0	34.4626	0	27.340	0	943.073	0	31.06	0	9.9	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.5822	0	7.3507	0	2363	0	2356	0	1113.0	0
5903893	1	C	10/03/2012	06:07	202.042	22.804	0	901.53	0	4.3986	0	34.4432	0	27.309	0	893.924	0	27.38	0	8.7	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.5713	0	7.3411	0	2358	0	2354	0	1147.9	0
5903893	1	C	10/03/2012	06:07	202.042	22.804	0	851.30	0	4.5451	0	34.4165	0	27.271	0	844.219	0	24.08	0	7.7	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.5579	0	7.3293	0	2353	0	2353	0	1190.7	0
5903893	1	C	10/03/2012	06:07	202.042	22.804	0	801.55	0	4.6396	0	34.3971	0	27.245	0	794.978	0	22.21	0	7.1	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.5491	0	7.3209	0	2349	0	2352	0	1222.2	0
5903893	1	C	10/03/2012	06:07	202.042	22.804	0	750.76	0	4.7518	0	34.3243	0	27.175	0	744.695	0	19.56	0	6.3	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.5279	0	7.3018	0	2340	0	2350	0	1289.5	0
5903893	1	C	10/03/2012	06:07	202.042	22.804	0	701.02	0	4.9454	0	34.2599	0	27.101	0	695.440	0	19.20	0	6.2	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.5172	0	7.2929	0	2330	0	2342	0	1326.4	0
5903893	1	C	10/03/2012	06:07	202.042	22.804	0	650.70	0	5.1954	0	34.2008	0	27.025	0	645.598	0	24.18	0	7.9	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.5197	0	7.2962	0	2318	0	2330	0	1322.2	0
5903893	1	C	10/03/2012	06:07	202.042	22.804	0	601.01	0	5.5827	0	34.1441	0	26.934	0	596.369	0	36.61	0	12.0	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.5404	0	7.3175	0	2306	0	2310	0	1261.3	0
5903893	1	C	10/03/2012	06:07	202.042	22.804	0	551.10	0	6.2221	0	34.0989	0	26.819	0	546.910	0	54.57	0	18.1	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.5795	0	7.3583	0	2292	0	2283	0	1151.9	0
5903893	1	C	10/03/2012	06:07	202.042	22.804	0	500.95	0	7.3453	0	34.1149	0	26.681	0	497.201	0	78.18	0	26.7	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.6400	0	7.4245	0	2281	0	2250	0	1002.1	0
5903893	1	C	10/03/2012	06:07	202.042	22.804	0	451.31	0	8.2004	0	34.0905	0	26.537	0	447.986	0	110.86	0	38.6	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.7113	0	7.4983	0	2271	0	2216	0	846.3	0
5903893	1	C	10/03/2012	06:07	202.042	22.804	0	400.69	0	9.6564	0	34.0939	0	26.310	0	397.787	0	146.09	0	52.5	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8167	0	7.6134	0	2260	0	2165	0	655.6	0
5903893	1	C	10/03/2012	06:07	202.042	22.804	0	381.47	0	10.1312	0	34.0948	0	26.231	0	378.724	0	160.04	0	58.1	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8359	0	7.6373	0	2257	0	2153	0	626.2	0
5903893	1	C	10/03/2012	06:07	202.042	22.804	0	360.90	0	10.6706	0	34.0937	0	26.136	0	358.320	0	175.43	0	64.4	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8774	0	7.6832	0	2253	0	2132	0	565.0	0
