//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 17:38
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904035
//Univ. of Washington ID: 7674
//MBARI ID: 7674KUROSHIO
//No missing float profiles
//Missing Float position interpolated for station(s): 76 77 81 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 270 271 272 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	3598	
//Temperature[°C]	Sbe41cp	3598	
//Salinity[pss]	Sbe41cp	3598	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	814	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#B1.C01.5880 Spec#049 Equitech probe #2012.0110R10.04 MBARI ARGO float#7031	
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1221	0.0000	-0.0118
//Oxygen	272	1.0764	0.0000	0.0000
//Nitrate	1	1.0000	-1.1439	2.0132
//Nitrate	88	1.0000	1.9408	-19.1216
//Nitrate	120	1.0000	-5.0888	8.3155
//Nitrate	153	1.0000	2.4488	-2.7838
//Nitrate	208	1.0000	5.0311	0.0000
//Nitrate	269	1.0000	5.9978	0.0000
//pH	1	1.0000	0.0000	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	999.09	0	3.2285	0	34.3676	0	27.366	0	989.324	0	35.47	0	11.0	0	45.07	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	950.95	0	3.3824	0	34.3560	0	27.342	0	941.762	0	39.64	0	12.3	0	44.52	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	901.33	0	3.4966	0	34.3380	0	27.316	0	892.728	0	40.65	0	12.7	0	44.38	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	850.94	0	3.4847	0	34.2972	0	27.284	0	842.920	0	35.90	0	11.2	0	44.73	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	801.75	0	3.6554	0	34.2942	0	27.265	0	794.287	0	39.07	0	12.2	0	44.26	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	750.69	0	3.8710	0	34.2645	0	27.220	0	743.793	0	43.32	0	13.6	0	43.51	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	701.32	0	3.9976	0	34.2373	0	27.185	0	694.959	0	45.39	0	14.3	0	43.23	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	651.48	0	4.2422	0	34.1913	0	27.123	0	645.648	0	52.86	0	16.8	0	42.18	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	601.41	0	4.5554	0	34.1309	0	27.041	0	596.098	0	65.74	0	21.0	0	40.48	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	551.10	0	5.0392	0	34.1024	0	26.964	0	546.298	0	83.70	0	27.1	0	38.43	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	501.55	0	4.9606	0	33.9973	0	26.889	0	497.239	0	108.30	0	34.9	0	36.69	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	450.82	0	5.6877	0	33.9899	0	26.798	0	447.000	0	128.77	0	42.3	0	33.46	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	400.96	0	6.7208	0	34.0327	0	26.700	0	397.610	0	138.53	0	46.6	0	30.01	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	380.70	0	7.2358	0	34.0487	0	26.642	0	377.538	0	147.29	0	50.1	0	28.50	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	361.48	0	7.7916	0	34.0716	0	26.581	0	358.494	0	152.87	0	52.7	0	26.48	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	350.85	0	8.0722	0	34.0903	0	26.554	0	347.961	0	157.09	0	54.5	0	25.66	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	341.30	0	8.2512	0	34.1035	0	26.538	0	338.497	0	159.52	0	55.5	0	25.28	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	331.54	0	8.3293	0	34.1099	0	26.531	0	328.825	0	160.25	0	55.9	0	25.18	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	321.26	0	8.3837	0	34.1141	0	26.526	0	318.637	0	160.83	0	56.2	0	24.91	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	311.28	0	8.4225	0	34.1168	0	26.522	0	308.746	0	160.95	0	56.3	0	24.95	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	301.30	0	8.7164	0	34.1364	0	26.492	0	298.855	0	160.60	0	56.5	0	24.24	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	291.66	0	8.9253	0	34.1538	0	26.473	0	289.300	0	160.64	0	56.8	0	23.64	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	281.43	0	9.3852	0	34.1804	0	26.420	0	279.159	0	164.74	0	58.9	0	22.97	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	271.22	0	9.6975	0	34.1879	0	26.374	0	269.038	0	166.41	0	59.9	0	20.23	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	261.34	0	9.5233	0	34.1053	0	26.338	0	259.244	0	189.49	0	67.9	0	18.16	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	250.61	0	9.2039	0	34.0124	0	26.317	0	248.606	0	211.42	0	75.1	0	15.14	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	240.73	0	9.4222	0	33.9962	0	26.269	0	238.811	0	237.31	0	84.7	0	14.04	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	230.86	0	10.2406	0	34.1180	0	26.227	0	229.025	0	229.76	0	83.6	0	14.93	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	221.00	0	10.9875	0	34.2208	0	26.176	0	219.249	0	210.36	0	77.8	0	15.92	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	211.47	0	11.8057	0	34.3229	0	26.106	0	209.799	0	189.03	0	71.2	0	16.51	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	201.66	0	12.1319	0	34.3603	0	26.073	0	200.071	0	183.39	0	69.5	0	16.84	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	191.42	0	12.4390	0	34.3882	0	26.035	0	189.917	0	183.68	0	70.1	0	16.05	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	180.55	0	12.6412	0	34.3900	0	25.997	0	179.137	0	190.64	0	73.1	0	14.17	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	171.03	0	13.0433	0	34.4253	0	25.944	0	169.695	0	191.70	0	74.1	0	14.48	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	160.45	0	13.6880	0	34.4739	0	25.851	0	159.202	0	186.72	0	73.1	0	12.58	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	151.06	0	13.9763	0	34.5051	0	25.815	0	149.888	0	193.84	0	76.4	0	11.98	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	140.48	0	14.0639	0	34.5134	0	25.803	0	139.394	0	195.10	0	77.0	0	11.91	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	131.44	0	14.1657	0	34.5196	0	25.786	0	130.427	0	195.37	0	77.3	0	11.74	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	120.89	0	14.8110	0	34.5725	0	25.688	0	119.961	0	198.11	0	79.4	0	9.10	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	110.50	0	14.9445	0	34.5956	0	25.677	0	109.654	0	214.30	0	86.1	0	7.77	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	100.43	0	15.0100	0	34.6069	0	25.671	0	99.663	0	221.99	0	89.4	0	7.37	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	95.58	0	15.0576	0	34.6141	0	25.666	0	94.851	0	224.89	0	90.6	0	7.22	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	90.55	0	15.0558	0	34.6151	0	25.667	0	89.861	0	226.84	0	91.4	0	7.21	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	85.48	0	15.0535	0	34.6153	0	25.667	0	84.830	0	227.72	0	91.8	0	7.41	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	80.55	0	15.0546	0	34.6147	0	25.666	0	79.939	0	228.15	0	91.9	0	7.30	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	75.25	0	15.0479	0	34.6146	0	25.668	0	74.680	0	228.56	0	92.1	0	7.21	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	70.85	0	15.0508	0	34.6145	0	25.667	0	70.314	0	228.68	0	92.1	0	7.19	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	66.07	0	15.0460	0	34.6140	0	25.667	0	65.571	0	228.82	0	92.2	0	7.20	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	60.91	0	15.0404	0	34.6133	0	25.668	0	60.451	0	228.91	0	92.2	0	7.16	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	55.74	0	15.0485	0	34.6152	0	25.667	0	55.320	0	228.97	0	92.2	0	7.17	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	51.08	0	15.0507	0	34.6164	0	25.668	0	50.696	0	229.17	0	92.3	0	6.96	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	46.20	0	15.0505	0	34.6153	0	25.667	0	45.853	0	229.27	0	92.4	0	7.28	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	40.79	0	15.0513	0	34.6139	0	25.665	0	40.484	0	229.26	0	92.4	0	7.13	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	36.72	0	15.0537	0	34.6160	0	25.666	0	36.445	0	229.34	0	92.4	0	7.16	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	31.02	0	15.0546	0	34.6163	0	25.666	0	30.788	0	229.43	0	92.4	0	7.13	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	25.96	0	15.0527	0	34.6154	0	25.665	0	25.766	0	229.54	0	92.5	0	7.20	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	20.91	0	15.0477	0	34.6152	0	25.666	0	20.754	0	229.42	0	92.4	0	7.10	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	16.46	0	15.0457	0	34.6149	0	25.666	0	16.338	0	229.36	0	92.4	0	7.20	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	11.77	0	15.0427	0	34.6150	0	25.667	0	11.683	0	229.41	0	92.4	0	7.03	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0	7.73	0	15.0437	0	34.6147	0	25.666	0	7.673	0	229.31	0	92.4	0	6.99	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	1	C	03/02/2013	13:38	148.688	36.983	0																										
5904035	2	C	03/07/2013	17:46	149.081	36.952	0	999.38	0	3.2881	0	34.3667	0	27.359	0	989.613	0	38.00	0	11.8	0	43.89	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	2	C	03/07/2013	17:46	149.081	36.952	0	951.60	0	3.4274	0	34.3479	0	27.331	0	942.407	0	39.75	0	12.4	0	43.43	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	2	C	03/07/2013	17:46	149.081	36.952	0	901.26	0	3.4864	0	34.3035	0	27.290	0	892.661	0	35.64	0	11.1	0	43.52	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	2	C	03/07/2013	17:46	149.081	36.952	0	851.01	0	3.6742	0	34.2926	0	27.262	0	842.991	0	38.80	0	12.2	0	43.33	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	2	C	03/07/2013	17:46	149.081	36.952	0	801.46	0	3.8236	0	34.2695	0	27.229	0	794.002	0	41.96	0	13.2	0	42.79	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	2	C	03/07/2013	17:46	149.081	36.952	0	751.62	0	4.0710	0	34.2291	0	27.171	0	744.715	0	47.14	0	14.9	0	42.12	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	2	C	03/07/2013	17:46	149.081	36.952	0	701.12	0	4.3565	0	34.1936	0	27.113	0	694.763	0	55.83	0	17.8	0	40.91	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	2	C	03/07/2013	17:46	149.081	36.952	0	651.44	0	4.5631	0	34.1456	0	27.052	0	645.610	0	64.61	0	20.7	0	39.83	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	2	C	03/07/2013	17:46	149.081	36.952	0	601.73	0	4.8064	0	34.1030	0	26.991	0	596.416	0	77.61	0	25.0	0	38.35	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	2	C	03/07/2013	17:46	149.081	36.952	0	551.23	0	4.1942	0	33.9075	0	26.901	0	546.429	0	106.04	0	33.6	0	37.42	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	2	C	03/07/2013	17:46	149.081	36.952	0	501.16	0	5.7997	0	34.0269	0	26.814	0	496.855	0	121.14	0	39.9	0	32.35	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	2	C	03/07/2013	17:46	149.081	36.952	0	448.33	0	5.9402	0	33.8938	0	26.691	0	444.535	0	169.17	0	55.8	0	28.46	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	2	C	03/07/2013	17:46	149.081	36.952	0	400.98	0	6.4948	0	33.8037	0	26.549	0	397.631	0	204.06	0	68.1	0	23.11	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	2	C	03/07/2013	17:46	149.081	36.952	0	381.73	0	6.5283	0	33.7366	0	26.491	0	378.559	0	227.11	0	75.9	0	20.87	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904035	2	C	03/07/2013	17:46	149.081	36.952	0	360.67	0	6.5511	0	33.6753	0	26.440	0	357.692	0	241.18	0	80.6	0	18.37	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
