//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 17:42
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904128
//Univ. of Washington ID: 7698
//MBARI ID: 7698NOPACIFIC
//No missing float profiles
//Missing Float data detected for adjusted station(s): 126 278 279 280 281 282 283 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	3603	
//Temperature[°C]	Sbe41cp	3603	
//Salinity[pss]	Sbe41cp	3603	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	431	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#C1.C01.6182 Spec#053 Equitech probe #2012.0110R10.12 MBARI ARGO float#7034	
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1599	0.0000	0.0000
//Nitrate	1	1.0600	2.0146	-64.9399
//Nitrate	8	1.0600	-5.0986	5.2919
//Nitrate	28	1.0600	-2.8541	-39.6555
//Nitrate	34	1.0600	-8.4584	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5904128	1	C	07/15/2013	16:24	215.010	33.981	0	999.28	0	3.5869	0	34.1556	0	27.163	0	989.770	0	8.43	0	2.6	0	44.25	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904128	1	C	07/15/2013	16:24	215.010	33.981	0	951.13	0	3.6972	0	34.1274	0	27.129	0	942.187	0	8.05	0	2.5	0	44.14	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904128	1	C	07/15/2013	16:24	215.010	33.981	0	900.76	0	3.7991	0	34.0913	0	27.090	0	892.398	0	9.06	0	2.8	0	43.86	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904128	1	C	07/15/2013	16:24	215.010	33.981	0	851.60	0	3.9362	0	34.0478	0	27.042	0	843.793	0	11.63	0	3.7	0	43.52	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904128	1	C	07/15/2013	16:24	215.010	33.981	0	799.29	0	4.1314	0	33.9945	0	26.979	0	792.062	0	18.13	0	5.7	0	42.73	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904128	1	C	07/15/2013	16:24	215.010	33.981	0	750.78	0	4.3091	0	33.9424	0	26.919	0	744.077	0	26.01	0	8.3	0	41.85	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904128	1	C	07/15/2013	16:24	215.010	33.981	0	701.73	0	4.4985	0	33.8910	0	26.858	0	695.547	0	37.75	0	12.0	0	40.68	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904128	1	C	07/15/2013	16:24	215.010	33.981	0	651.06	0	4.8265	0	33.8444	0	26.784	0	645.401	0	56.73	0	18.2	0	38.68	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904128	1	C	07/15/2013	16:24	215.010	33.981	0	600.77	0	5.3452	0	33.8020	0	26.691	0	595.620	0	82.47	0	26.8	0	35.73	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904128	1	C	07/15/2013	16:24	215.010	33.981	0	551.69	0	5.8576	0	33.7815	0	26.614	0	547.026	0	101.43	0	33.4	0	33.33	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904128	1	C	07/15/2013	16:24	215.010	33.981	0	501.39	0	6.5993	0	33.7775	0	26.516	0	497.211	0	128.87	0	43.1	0	29.70	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904128	1	C	07/15/2013	16:24	215.010	33.981	0	451.33	0	7.6010	0	33.8059	0	26.401	0	447.622	0	157.73	0	54.0	0	25.23	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904128	1	C	07/15/2013	16:24	215.010	33.981	0	400.81	0	8.3813	0	33.8393	0	26.312	0	397.566	0	177.72	0	61.9	0	21.93	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
