//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 17:47
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905109
//Univ. of Washington ID: 8204
//MBARI ID: 8204SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 68 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 43 118 119 120 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	6731	
//Temperature[°C]	Sbe41cp	6731	
//Salinity[pss]	Sbe41cp	6731	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	1903	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A5.A01.0034 Spec#098657 Equitech Ti probe #20150209RR10.42  MBARI ARGO float#720  DF#103  CTD#6731	
//Chl_a[mg/m^3]	FLBBAP2	3693	
//Chl_a_corr[mg/m^3]	FLBBAP2	3693	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	3693	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	3693	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	103	
//pH25C[Total]	Durafet	103	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1224	0.0000	0.0000
//Nitrate	1	1.0000	-4.6653	-16.0251
//Nitrate	4	1.0000	-5.7554	-0.2355
//Nitrate	103	1.0000	-6.2969	0.0000
//pH	1	1.0000	-0.0453	0.0000
//pH	2	1.0000	-0.0562	-0.0253
//pH	29	1.0000	-0.0721	-0.0454
//pH	57	1.0000	-0.1116	0.0068
//pH	89	1.0000	-0.1128	-0.1200
//pH	94	1.0000	-0.1048	-0.0365
//pH	96	1.0000	-0.1231	0.0000
//pH	103	1.0000	-0.1244	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905109	1	C	09/11/2017	02:07	245.304	-32.519	0	1498.89	0	2.7270	0	34.5204	0	27.536	0	1483.049	0	163.37	0	50.1	0	35.34	0	0.0037	0	0.0012	0	0.000254	1	-1E+10	1	0.91	1	7.8287	0	7.5679	0	2344	0	2258	0	569.6	0
5905109	1	C	09/11/2017	02:07	245.304	-32.519	0	1399.97	0	2.9570	0	34.4826	0	27.485	0	1385.498	0	160.31	0	49.5	0	35.49	0	0.0073	0	0.0024	0	0.000221	1	-1E+10	1	0.83	1	7.8215	0	7.5609	0	2335	0	2252	0	585.3	0
5905109	1	C	09/11/2017	02:07	245.304	-32.519	0	1299.06	0	3.2336	0	34.4393	0	27.425	0	1285.939	0	159.95	0	49.7	0	35.53	0	0.0109	0	0.0037	0	0.000210	1	-1E+10	1	0.80	1	7.8188	0	7.5587	0	2325	0	2243	0	594.6	0
5905109	1	C	09/11/2017	02:07	245.304	-32.519	0	1199.57	0	3.5267	0	34.3947	0	27.361	0	1187.735	0	163.62	0	51.2	0	35.08	0	0.0073	0	0.0024	0	0.000222	1	-1E+10	1	0.83	1	7.8210	0	7.5610	0	2316	0	2233	0	596.9	0
5905109	1	C	09/11/2017	02:07	245.304	-32.519	0	1099.37	0	3.9423	0	34.3344	0	27.271	0	1088.783	0	181.03	0	57.1	0	33.47	0	0.0000	0	0.0000	0	0.000223	1	-1E+10	1	0.83	1	7.8460	0	7.5858	0	2302	0	2211	0	565.3	0
5905109	1	C	09/11/2017	02:07	245.304	-32.519	0	1000.03	0	4.4742	0	34.2900	0	27.180	0	990.634	0	201.07	0	64.3	0	31.03	0	0.0037	0	0.0012	0	0.000235	1	-1E+10	1	0.87	1	7.8815	0	7.6220	0	2291	0	2188	0	522.3	0
5905109	1	C	09/11/2017	02:07	245.304	-32.519	0	951.09	0	4.7336	0	34.2819	0	27.145	0	942.264	0	210.33	0	67.6	0	29.91	0	0.0037	0	0.0012	0	0.000225	1	-1E+10	1	0.84	1	7.9045	0	7.6450	0	2288	0	2176	0	495.7	0
5905109	1	C	09/11/2017	02:07	245.304	-32.519	0	901.31	0	5.0486	0	34.2751	0	27.104	0	893.052	0	218.81	0	70.9	0	28.56	0	0.0037	0	0.0012	0	0.000236	1	-1E+10	1	0.87	1	7.9171	0	7.6593	0	2285	0	2168	0	483.1	0
5905109	1	C	09/11/2017	02:07	245.304	-32.519	0	850.98	0	5.2992	0	34.2716	0	27.071	0	843.284	0	226.86	0	73.9	0	27.51	0	0.0000	0	0.0000	0	0.000237	1	-1E+10	1	0.87	1	7.9296	0	7.6727	0	2282	0	2160	0	470.6	0
5905109	1	C	09/11/2017	02:07	245.304	-32.519	0	801.60	0	5.5457	0	34.2694	0	27.040	0	794.445	0	234.43	0	76.8	0	26.38	0	0.0000	0	0.0000	0	0.000248	1	-1E+10	1	0.90	1	7.9424	0	7.6863	0	2279	0	2152	0	458.0	0
5905109	1	C	09/11/2017	02:07	245.304	-32.519	0	751.36	0	5.7843	0	34.2746	0	27.015	0	744.743	0	240.62	0	79.3	0	25.46	0	0.0037	0	0.0012	0	0.000238	1	-1E+10	1	0.87	1	7.9522	0	7.6971	0	2277	0	2146	0	449.5	0
5905109	1	C	09/11/2017	02:07	245.304	-32.519	0	701.10	0	5.9626	0	34.2822	0	26.998	0	695.009	0	243.80	0	80.7	0	24.71	0	0.0000	0	0.0000	0	0.000249	1	-1E+10	1	0.90	1	7.9582	0	7.7034	0	2277	0	2144	0	445.5	0
5905109	1	C	09/11/2017	02:07	245.304	-32.519	0	650.95	0	6.2036	0	34.2930	0	26.976	0	645.372	0	247.79	0	82.5	0	23.82	0	0.0037	0	0.0012	0	0.000238	1	-1E+10	1	0.87	1	7.9650	0	7.7115	0	2277	0	2140	0	440.7	0
5905109	1	C	09/11/2017	02:07	245.304	-32.519	0	601.04	0	6.4554	0	34.3071	0	26.954	0	595.961	0	250.14	0	83.8	0	23.02	0	0.0037	0	0.0012	0	0.000250	1	-1E+10	1	0.90	1	7.9684	0	7.7165	0	2277	0	2138	0	439.9	0
5905109	1	C	09/11/2017	02:07	245.304	-32.519	0	551.65	0	6.6928	0	34.3217	0	26.933	0	547.054	0	251.58	0	84.7	0	22.16	0	0.0037	0	0.0012	0	0.000273	1	-1E+10	1	0.96	1	7.9709	0	7.7206	0	2277	0	2137	0	439.8	0
5905109	1	C	09/11/2017	02:07	245.304	-32.519	0	501.31	0	6.9197	0	34.3352	0	26.913	0	497.193	0	253.43	0	85.8	0	21.52	0	0.0037	0	0.0012	0	0.000273	1	-1E+10	1	0.96	1	7.9741	0	7.7251	0	2277	0	2135	0	439.2	0
5905109	1	C	09/11/2017	02:07	245.304	-32.519	0	450.85	0	7.2116	0	34.3458	0	26.880	0	447.202	0	251.25	0	85.6	0	20.67	0	0.0000	0	0.0000	0	0.000262	1	-1E+10	1	0.94	1	7.9732	0	7.7266	0	2277	0	2134	0	443.2	0
5905109	1	C	09/11/2017	02:07	245.304	-32.519	0	401.51	0	7.7011	0	34.3300	0	26.798	0	398.308	0	233.71	0	80.5	0	20.55	0	0.0037	0	0.0012	0	0.000263	1	-1E+10	1	0.94	1	7.9579	0	7.7176	0	2275	0	2137	0	464.1	0
5905109	1	C	09/11/2017	02:07	245.304	-32.519	0	380.27	0	7.9331	0	34.3325	0	26.765	0	377.257	0	231.65	0	80.2	0	20.10	0	0.0037	0	0.0012	0	0.000252	1	-1E+10	1	0.91	1	7.9612	0	7.7233	0	2274	0	2134	0	461.5	0
