//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 17:51
//!! ADJUSTED DATA FILE !!
//WMO ID: 5903741
//Univ. of Washington ID: 8374
//MBARI ID: 8374HOT
//No missing float profiles
//Missing Float data detected for adjusted station(s): 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 241 242 243 244 245 246 247 248 249 250 251 252 253 254 255 256 257 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	4131	
//Temperature[°C]	Sbe41cp	4131	
//Salinity[pss]	Sbe41cp	4131	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	752	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]			
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//pHinsitu[Total]	Durafet		
//pH25C[Total]	Durafet		estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0424	0.0000	0.0035
//Oxygen	253	1.0714	0.0000	0.0000
//Nitrate	1	1.0000	0.0000	0.0000
//pH	1	1.0000	0.0000	0.0000
//Chl	1	0.5000	0.0000	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5903741	1	C	03/27/2012	14:11	201.935	22.679	0	601.16	0	5.4050	0	34.1583	0	26.967	0	596.522	0	39.47	0	12.9	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	20.5733	8	-1e10	1	2311	0	 -1e10	1	 -1e10	1
5903741	1	C	03/27/2012	14:11	201.935	22.679	0	551.41	0	6.0439	0	34.0508	0	26.803	0	547.221	0	71.37	0	23.6	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	20.9477	8	-1e10	1	2290	0	 -1e10	1	 -1e10	1
5903741	1	C	03/27/2012	14:11	201.935	22.679	0	501.32	0	7.1251	0	34.0270	0	26.642	0	497.572	0	108.52	0	36.8	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	21.3636	8	-1e10	1	2276	0	 -1e10	1	 -1e10	1
5903741	1	C	03/27/2012	14:11	201.935	22.679	0	451.13	0	8.3706	0	34.0674	0	26.493	0	447.811	0	138.50	0	48.3	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	21.8052	8	-1e10	1	2269	0	 -1e10	1	 -1e10	1
5903741	1	C	03/27/2012	14:11	201.935	22.679	0	401.12	0	9.2185	0	34.0950	0	26.382	0	398.217	0	153.29	0	54.5	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	22.1908	8	-1e10	1	2265	0	 -1e10	1	 -1e10	1
5903741	1	C	03/27/2012	14:11	201.935	22.679	0	381.32	0	9.5896	0	34.1117	0	26.334	0	378.578	0	159.90	0	57.3	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	22.3474	8	-1e10	1	2264	0	 -1e10	1	 -1e10	1
5903741	1	C	03/27/2012	14:11	201.935	22.679	0	361.56	0	9.8947	0	34.1201	0	26.290	0	358.978	0	166.48	0	60.1	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	22.4886	8	-1e10	1	2262	0	 -1e10	1	 -1e10	1
5903741	1	C	03/27/2012	14:11	201.935	22.679	0	351.63	0	10.0910	0	34.1265	0	26.262	0	349.127	0	167.65	0	60.8	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	22.4799	8	-1e10	1	2261	0	 -1e10	1	 -1e10	1
5903741	1	C	03/27/2012	14:11	201.935	22.679	0	341.57	0	10.4645	0	34.1312	0	26.201	0	339.147	0	176.20	0	64.4	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	22.6930	8	-1e10	1	2259	0	 -1e10	1	 -1e10	1
5903741	1	C	03/27/2012	14:11	201.935	22.679	0	331.71	0	10.8941	0	34.1625	0	26.150	0	329.364	0	190.74	0	70.4	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	23.2899	8	-1e10	1	2259	0	 -1e10	1	 -1e10	1
5903741	1	C	03/27/2012	14:11	201.935	22.679	0	321.32	0	11.1016	0	34.1603	0	26.111	0	319.056	0	190.04	0	70.4	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	23.1787	8	-1e10	1	2258	0	 -1e10	1	 -1e10	1
5903741	1	C	03/27/2012	14:11	201.935	22.679	0	310.97	0	11.6575	0	34.2041	0	26.043	0	308.787	0	196.26	0	73.6	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	23.4494	8	-1e10	1	2259	0	 -1e10	1	 -1e10	1
5903741	1	C	03/27/2012	14:11	201.935	22.679	0	301.24	0	11.8644	0	34.2205	0	26.017	0	299.132	0	201.37	0	75.9	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	23.6024	8	-1e10	1	2260	0	 -1e10	1	 -1e10	1
5903741	1	C	03/27/2012	14:11	201.935	22.679	0	291.68	0	12.1886	0	34.2318	0	25.964	0	289.646	0	204.70	0	77.6	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	23.6903	8	-1e10	1	2259	0	 -1e10	1	 -1e10	1
5903741	1	C	03/27/2012	14:11	201.935	22.679	0	281.76	0	12.6113	0	34.2543	0	25.900	0	279.801	0	205.91	0	78.8	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	23.6754	8	-1e10	1	2260	0	 -1e10	1	 -1e10	1
