//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 17:58
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905972
//Univ. of Washington ID: 8474
//MBARI ID: 8474EQPACW
//No missing float profiles
//Missing Float data detected for adjusted station(s): 26 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	10599	
//Temperature[°C]	Sbe41cp	10599	
//Salinity[pss]	Sbe41cp	10599	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	2848	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#? Spec#107993 Equitech Ti probe #1703.29  MBARI ARGO float#805  DF#216  CTD#10599	
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//pHinsitu[Total]	Durafet	216	
//pH25C[Total]	Durafet	216	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0363	0.0000	0.0112
//Oxygen	60	1.0483	0.0000	0.0000
//Nitrate	1	1.0000	3.1055	0.0000
//Nitrate	25	1.0000	2.6715	0.7226
//Nitrate	60	1.0000	3.0926	0.0000
//pH	1	1.0000	-0.0150	0.1045
//pH	13	1.0000	0.0040	0.6244
//pH	17	1.0000	0.0528	0.0966
//pH	27	1.0000	0.1753	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905972	1	C	08/30/2018	04:07	205.002	-8.019	0	1998.68	0	2.2026	0	34.6338	0	27.673	0	1978.044	0	128.56	0	39.0	0	38.16	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.7994	0	7.5524	0	2406	0	2324	0	589.6	0
5905972	1	C	08/30/2018	04:07	205.002	-8.019	0	1898.00	0	2.3384	0	34.6241	0	27.654	0	1878.847	0	126.69	0	38.5	0	38.22	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.7951	0	7.5469	0	2401	0	2321	0	602.2	0
5905972	1	C	08/30/2018	04:07	205.002	-8.019	0	1798.57	0	2.4480	0	34.6180	0	27.640	0	1780.837	0	124.44	0	38.0	0	38.34	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.7950	0	7.5446	0	2397	0	2319	0	608.8	0
5905972	1	C	08/30/2018	04:07	205.002	-8.019	0	1699.00	0	2.5795	0	34.6088	0	27.621	0	1682.643	0	123.78	0	37.9	0	38.24	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.7896	0	7.5380	0	2393	0	2316	0	623.3	0
5905972	1	C	08/30/2018	04:07	205.002	-8.019	0	1599.75	0	2.7504	0	34.5983	0	27.597	0	1584.719	0	122.37	0	37.6	0	38.47	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.7859	0	7.5334	0	2387	0	2312	0	635.6	0
5905972	1	C	08/30/2018	04:07	205.002	-8.019	0	1498.79	0	3.0671	0	34.5823	0	27.556	0	1485.062	0	117.55	0	36.4	0	38.62	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.7778	0	7.5268	0	2379	0	2308	0	655.2	0
5905972	1	C	08/30/2018	04:07	205.002	-8.019	0	1398.95	0	3.2926	0	34.5719	0	27.526	0	1386.464	0	114.30	0	35.6	0	38.67	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.7726	0	7.5216	0	2374	0	2304	0	670.8	0
5905972	1	C	08/30/2018	04:07	205.002	-8.019	0	1300.05	0	3.5149	0	34.5641	0	27.498	0	1288.749	0	111.08	0	34.8	0	38.70	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.7644	0	7.5137	0	2368	0	2301	0	691.5	0
5905972	1	C	08/30/2018	04:07	205.002	-8.019	0	1199.75	0	3.8043	0	34.5507	0	27.458	0	1189.604	0	107.18	0	33.8	0	38.98	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.7564	0	7.5067	0	2360	0	2296	0	712.4	0
5905972	1	C	08/30/2018	04:07	205.002	-8.019	0	1098.28	0	4.0769	0	34.5418	0	27.423	0	1089.255	0	103.60	0	32.9	0	39.04	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.7488	0	7.4999	0	2353	0	2291	0	733.4	0
5905972	1	C	08/30/2018	04:07	205.002	-8.019	0	998.87	0	4.3932	0	34.5338	0	27.382	0	990.897	0	99.81	0	31.9	0	39.12	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.7409	0	7.4935	0	2347	0	2287	0	755.6	0
5905972	1	C	08/30/2018	04:07	205.002	-8.019	0	951.67	0	4.5621	0	34.5294	0	27.360	0	944.180	0	97.77	0	31.4	0	39.20	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.7305	0	7.4847	0	2343	0	2287	0	778.9	0
5905972	1	C	08/30/2018	04:07	205.002	-8.019	0	901.76	0	4.8675	0	34.5258	0	27.323	0	894.769	0	93.57	0	30.2	0	39.40	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.7162	0	7.4743	0	2338	0	2285	0	811.0	0
