//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 18:00
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904124
//Univ. of Washington ID: 8486
//MBARI ID: 8486HAWAII
//No missing float profiles
//Missing Float data detected for adjusted station(s): 1 2 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 
//
//SPECIAL NOTICE:
//The pressure response for this pH sensor changed after the lab calibration. New coefficients were
//estimated by optimizing the pressure coeficient array to minimize the difference between the HOT (station ALOHA)
//hydrocast bottle pH (converted to insitu pH) + GLODAPV2 pH > 1000m (converted to insitu pH)and the measured float
//pH (average of profiles 3 & 4) after removing the surface offset between the two from the bottle data.
//The HOT pH and GLODAP V2 pH(within 30 km of float) at ~ 1000m agree with in 0.002 pH
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	4791	
//Temperature[°C]	Sbe41cp	4791	
//Salinity[pss]	Sbe41cp	4791	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	1168	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#X Spec#051 Equitech probe #20110707R10.11 MBARI ARGO float#7033	
//Chl_a[mg/m^3]	FLBBAP2	2994	
//Chl_a_corr[mg/m^3]	FLBBAP2	2994	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	2994	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	2994	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	0038	
//pH25C[Total]	Durafet	0038	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0620	0.0000	0.0000
//Nitrate	1	1.0000	-0.8661	0.0000
//Nitrate	5	1.0000	-0.8661	0.0000
//Nitrate	19	1.0000	-0.0723	-4.0262
//Nitrate	50	1.0000	-1.6241	-0.3442
//Nitrate	88	1.0000	-1.7643	-3.8864
//Nitrate	115	1.0000	-3.3195	-0.4823
//Nitrate	155	1.0000	-3.8228	-4.3732
//Nitrate	168	1.0000	-4.4590	-21.7389
//Nitrate	178	1.0000	-7.8762	0.0000
//pH	1	1.0000	0.0400	-1.1729
//pH	15	1.0000	-0.0179	0.0000
//pH	37	1.0000	-0.0247	-0.0792
//pH	75	1.0000	-0.0623	-0.0300
//pH	120	1.0000	-0.0939	0.1500
//pH	140	1.0000	-0.0600	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904124	1	C	05/20/2013	14:33	202.057	22.737	0	900.79	0	4.2822	0	34.4034	0	27.289	0	893.196	0	32.52	0	10.4	0	42.01	0	0.0219	0	0.0219	0	0.000255	1	-1E+10	1	0.92	1	7.6727	8	7.4280	8	2356	0	2319	8	 -1e10	1
5904124	1	C	05/20/2013	14:33	202.057	22.737	0	850.54	0	4.4587	0	34.3648	0	27.240	0	843.471	0	30.06	0	9.6	0	41.75	0	0.0292	0	0.0292	0	0.000225	1	-1E+10	1	0.84	1	7.6600	8	7.4173	8	2349	0	2316	8	 -1e10	1
5904124	1	C	05/20/2013	14:33	202.057	22.737	0	800.92	0	4.7871	0	34.3181	0	27.166	0	794.358	0	26.96	0	8.7	0	41.50	0	0.0255	0	0.0255	0	0.000215	1	-1E+10	1	0.81	1	7.6412	8	7.4032	8	2338	0	2310	8	 -1e10	1
5904124	1	C	05/20/2013	14:33	202.057	22.737	0	751.59	0	5.1129	0	34.2731	0	27.093	0	745.520	0	26.62	0	8.6	0	40.74	0	0.0219	0	0.0219	0	0.000246	1	-1E+10	1	0.89	1	7.6328	8	7.3982	8	2328	0	2302	8	 -1e10	1
5904124	1	C	05/20/2013	14:33	202.057	22.737	0	701.57	0	5.0165	0	34.1623	0	27.016	0	695.987	0	35.66	0	11.5	0	39.92	0	0.0182	0	0.0182	0	0.000216	1	-1E+10	1	0.81	1	7.6420	8	7.4033	8	2319	0	2291	8	 -1e10	1
5904124	1	C	05/20/2013	14:33	202.057	22.737	0	650.79	0	5.2790	0	34.0964	0	26.933	0	645.690	0	49.94	0	16.2	0	38.27	0	0.0255	0	0.0255	0	0.000278	1	-1E+10	1	0.98	1	7.6657	8	7.4259	8	2307	0	2272	8	 -1e10	1
5904124	1	C	05/20/2013	14:33	202.057	22.737	0	601.63	0	5.7556	0	34.0810	0	26.863	0	596.986	0	61.68	0	20.3	0	36.62	0	0.0182	0	0.0182	0	0.000238	1	-1E+10	1	0.87	1	7.6864	8	7.4487	8	2298	0	2256	8	 -1e10	1
5904124	1	C	05/20/2013	14:33	202.057	22.737	0	550.71	0	6.3697	0	34.0164	0	26.735	0	546.526	0	100.86	0	33.6	0	31.82	0	0.0146	0	0.0146	0	0.000280	1	-1E+10	1	0.98	1	7.7840	8	7.5430	8	2285	0	2211	8	 -1e10	1
5904124	1	C	05/20/2013	14:33	202.057	22.737	0	500.62	0	7.4224	0	34.0443	0	26.614	0	496.876	0	112.73	0	38.5	0	28.24	0	0.0109	0	0.0109	0	0.000261	1	-1E+10	1	0.93	1	7.8185	8	7.5872	8	2275	0	2186	8	 -1e10	1
5904124	1	C	05/20/2013	14:33	202.057	22.737	0	451.71	0	8.7270	0	34.0650	0	26.437	0	448.385	0	152.85	0	53.8	0	22.72	0	0.0073	0	0.0073	0	0.000253	1	-1E+10	1	0.91	1	7.8975	8	7.6774	8	2265	0	2144	8	 -1e10	1
5904124	1	C	05/20/2013	14:33	202.057	22.737	0	400.76	0	10.0311	0	34.1184	0	26.267	0	397.858	0	179.19	0	64.9	0	17.76	0	0.0037	0	0.0037	0	0.000244	1	-1E+10	1	0.89	1	7.9624	8	7.7559	8	2260	0	2108	8	 -1e10	1
5904124	1	C	05/20/2013	14:33	202.057	22.737	0	380.66	0	10.7950	0	34.1467	0	26.156	0	377.922	0	189.26	0	69.7	0	15.42	0	0.0037	0	0.0037	0	0.000255	1	-1E+10	1	0.92	1	7.9825	8	7.7856	8	2257	0	2092	8	 -1e10	1
5904124	1	C	05/20/2013	14:33	202.057	22.737	0	361.75	0	11.5544	0	34.1909	0	26.053	0	359.165	0	195.17	0	73.0	0	13.30	0	0.0000	0	0.0000	0	0.000246	1	-1E+10	1	0.89	1	8.0007	8	7.8138	8	2256	0	2079	8	 -1e10	1
5904124	1	C	05/20/2013	14:33	202.057	22.737	0	350.00	0	11.9283	0	34.2111	0	25.999	0	347.509	0	199.42	0	75.2	0	12.42	0	-0.0037	0	-0.0037	0	0.000277	1	-1E+10	1	0.97	1	8.0047	8	7.8227	8	2256	0	2075	8	 -1e10	1
5904124	1	C	05/20/2013	14:33	202.057	22.737	0	341.23	0	12.2717	0	34.2237	0	25.943	0	338.808	0	198.80	0	75.5	0	11.79	0	0.0037	0	0.0037	0	0.000257	1	-1E+10	1	0.92	1	8.0032	8	7.8260	8	2255	0	2073	8	 -1e10	1
5904124	1	C	05/20/2013	14:33	202.057	22.737	0	331.19	0	12.6744	0	34.2449	0	25.882	0	328.847	0	197.02	0	75.5	0	11.16	0	0.0000	0	0.0000	0	0.000257	1	-1E+10	1	0.92	1	8.0091	8	7.8373	8	2255	0	2067	8	 -1e10	1
5904124	1	C	05/20/2013	14:33	202.057	22.737	0	320.71	0	13.0339	0	34.2632	0	25.825	0	318.450	0	196.95	0	76.0	0	10.23	0	0.0037	0	0.0037	0	0.000268	1	-1E+10	1	0.95	1	8.0112	8	7.8443	8	2255	0	2065	8	 -1e10	1
5904124	1	C	05/20/2013	14:33	202.057	22.737	0	311.38	0	13.1995	0	34.2734	0	25.799	0	309.192	0	197.53	0	76.5	0	9.90	0	0.0037	0	0.0037	0	0.000247	1	-1E+10	1	0.90	1	8.0130	8	7.8482	8	2256	0	2064	8	 -1e10	1
5904124	1	C	05/20/2013	14:33	202.057	22.737	0	301.36	0	13.7592	0	34.3031	0	25.708	0	299.250	0	195.42	0	76.6	0	8.90	0	0.0073	0	0.0073	0	0.000258	1	-1E+10	1	0.92	1	8.0129	8	7.8561	8	2257	0	2061	8	 -1e10	1
5904124	1	C	05/20/2013	14:33	202.057	22.737	0	291.65	0	14.3184	0	34.3423	0	25.621	0	289.615	0	192.75	0	76.4	0	7.96	0	0.0037	0	0.0037	0	0.000258	1	-1E+10	1	0.93	1	8.0205	8	7.8714	8	2258	0	2054	8	 -1e10	1
5904124	1	C	05/20/2013	14:33	202.057	22.737	0	281.39	0	15.3091	0	34.4502	0	25.490	0	279.433	0	191.44	0	77.4	0	6.49	0	0.0073	0	0.0073	0	0.000259	1	-1E+10	1	0.93	1	8.0204	8	7.8857	8	2264	0	2052	8	 -1e10	1
5904124	1	C	05/20/2013	14:33	202.057	22.737	0	269.18	0	16.1009	0	34.5222	0	25.368	0	267.316	0	190.41	0	78.2	0	6.03	0	0.0073	0	0.0073	0	0.000249	1	-1E+10	1	0.90	1	8.0262	8	7.9027	8	2269	0	2048	8	 -1e10	1
