//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 18:06
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904094
//Univ. of Washington ID: 8497
//MBARI ID: 8497HAWAII
//No missing float profiles
//Missing Float data detected for adjusted station(s): 284 285 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	4266	
//Temperature[°C]	Sbe41cp	4266	
//Salinity[pss]	Sbe41cp	4266	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	815	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	SUNA	 0149	
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0900	0.0000	0.0000
//Nitrate	1	0.9800	2.0978	0.0000
//Nitrate	2	0.9800	0.6217	-48.1057
//Nitrate	9	0.9800	0.0645	1.6000
//Nitrate	283	0.9800	6.3636	0.0000
//pH	1	1.0000	0.0000	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF
5904094	1	C	02/15/2013	14:37	202.105	22.822	0	851.10	0	4.9279	0	34.6511	0	27.415	0	844.020	0	26.13	0	8.5	0	42.80	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904094	1	C	02/15/2013	14:37	202.105	22.822	0	800.81	0	5.1303	0	34.6238	0	27.370	0	794.244	0	22.46	0	7.3	0	42.51	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904094	1	C	02/15/2013	14:37	202.105	22.822	0	751.61	0	5.4149	0	34.5791	0	27.300	0	745.536	0	21.16	0	6.9	0	41.77	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904094	1	C	02/15/2013	14:37	202.105	22.822	0	701.18	0	5.5962	0	34.5593	0	27.262	0	695.597	0	19.16	0	6.3	0	41.13	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904094	1	C	02/15/2013	14:37	202.105	22.822	0	651.30	0	5.8226	0	34.4735	0	27.166	0	646.192	0	23.25	0	7.7	0	40.03	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904094	1	C	02/15/2013	14:37	202.105	22.822	0	600.79	0	6.1001	0	34.3651	0	27.045	0	596.150	0	43.52	0	14.5	0	37.94	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904094	1	C	02/15/2013	14:37	202.105	22.822	0	551.35	0	6.8879	0	34.3333	0	26.916	0	547.157	0	67.05	0	22.7	0	34.30	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904094	1	C	02/15/2013	14:37	202.105	22.822	0	500.59	0	7.8941	0	34.3624	0	26.797	0	496.844	0	80.94	0	28.0	0	30.76	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904094	1	C	02/15/2013	14:37	202.105	22.822	0	451.48	0	8.3102	0	34.3055	0	26.689	0	448.154	0	112.54	0	39.3	0	26.99	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904094	1	C	02/15/2013	14:37	202.105	22.822	0	401.07	0	9.3802	0	34.3037	0	26.519	0	398.164	0	164.36	0	58.8	0	20.92	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904094	1	C	02/15/2013	14:37	202.105	22.822	0	381.11	0	9.9963	0	34.3288	0	26.436	0	378.367	0	176.16	0	63.8	0	18.55	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904094	1	C	02/15/2013	14:37	202.105	22.822	0	361.62	0	10.4877	0	34.3528	0	26.370	0	359.034	0	184.95	0	67.7	0	17.00	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904094	1	C	02/15/2013	14:37	202.105	22.822	0	351.49	0	11.0975	0	34.3847	0	26.287	0	348.985	0	191.79	0	71.2	0	14.94	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904094	1	C	02/15/2013	14:37	202.105	22.822	0	341.44	0	11.3487	0	34.3984	0	26.252	0	339.015	0	195.93	0	73.1	0	14.22	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904094	1	C	02/15/2013	14:37	202.105	22.822	0	331.57	0	11.5195	0	34.3996	0	26.221	0	329.223	0	195.87	0	73.3	0	13.92	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904094	1	C	02/15/2013	14:37	202.105	22.822	0	320.91	0	11.9255	0	34.4068	0	26.151	0	318.646	0	194.02	0	73.3	0	13.03	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
5904094	1	C	02/15/2013	14:37	202.105	22.822	0	310.91	0	12.1956	0	34.4178	0	26.108	0	308.724	0	193.69	0	73.6	0	12.43	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1
