//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 18:11
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904680
//Univ. of Washington ID: 8501
//MBARI ID: 8501CALCURRENT
//No missing float profiles
//Missing Float position interpolated for station(s): 16 17 18 19 20 21 22 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 18 19 20 21 22 23 24 25 26 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	5590	
//Temperature[°C]	Sbe41cp	5590	
//Salinity[pss]	Sbe41cp	5590	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	948	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A5.A01.0047 Spec#098666 Equitech Ti probe #20150209RR10.17  MBARI ARGO float#702C  DF#143  CTD#5590	
//Chl_a[mg/m^3]	FLBBAP2	1886	
//Chl_a_corr[mg/m^3]	FLBBAP2	1886	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	1886	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	1886	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	81	
//pH25C[Total]	Durafet	81	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0837	0.0000	0.0000
//Nitrate	1	1.0000	-3.2000	0.0000
//pH	1	1.0000	0.0140	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904680	1	C	02/10/2016	22:44	235.291	35.871	0	1399.44	0	2.8952	0	34.5224	0	27.522	0	1384.578	0	29.97	0	9.2	0	44.24	0	0.0144	0	0.0144	0	0.000212	1	-1E+10	1	0.81	1	7.5863	0	7.3533	0	2399	0	2388	0	1050.2	0
5904680	1	C	02/10/2016	22:44	235.291	35.871	0	1298.69	0	3.0590	0	34.5073	0	27.495	0	1285.205	0	25.28	0	7.8	0	44.36	0	0.0144	0	0.0144	0	0.000227	1	-1E+10	1	0.84	1	7.5746	0	7.3414	0	2395	0	2387	0	1092.0	0
5904680	1	C	02/10/2016	22:44	235.291	35.871	0	1199.88	0	3.2933	0	34.4843	0	27.454	0	1187.699	0	20.03	0	6.2	0	44.55	0	0.0180	0	0.0180	0	0.000213	1	-1E+10	1	0.81	1	7.5610	0	7.3288	0	2389	0	2385	0	1140.0	0
5904680	1	C	02/10/2016	22:44	235.291	35.871	0	1098.79	0	3.5810	0	34.4523	0	27.401	0	1087.897	0	14.94	0	4.7	0	44.53	0	0.0180	0	0.0180	0	0.000272	1	-1E+10	1	0.96	1	7.5456	0	7.3152	0	2380	0	2381	0	1194.6	0
5904680	1	C	02/10/2016	22:44	235.291	35.871	0	999.61	0	3.9263	0	34.4350	0	27.352	0	989.934	0	12.66	0	4.0	0	44.10	0	0.0216	0	0.0216	0	0.000317	1	-1E+10	1	1.08	1	7.5400	0	7.3109	0	2371	0	2374	0	1223.0	0
5904680	1	C	02/10/2016	22:44	235.291	35.871	0	949.62	0	3.9756	0	34.4124	0	27.329	0	940.540	0	10.97	0	3.5	0	44.19	0	0.0180	0	0.0180	0	0.000346	1	-1E+10	1	1.15	1	7.5295	0	7.3005	0	2368	0	2374	0	1259.7	0
5904680	1	C	02/10/2016	22:44	235.291	35.871	0	901.10	0	4.1294	0	34.3928	0	27.297	0	892.588	0	9.00	0	2.9	0	44.02	0	0.0216	0	0.0216	0	0.000317	1	-1E+10	1	1.08	1	7.5216	0	7.2936	0	2363	0	2372	0	1289.7	0
5904680	1	C	02/10/2016	22:44	235.291	35.871	0	851.52	0	4.1704	0	34.3482	0	27.257	0	843.576	0	7.59	0	2.4	0	43.98	0	0.0144	0	0.0144	0	0.000186	1	-1E+10	1	0.74	1	7.5168	0	7.2881	0	2356	0	2367	0	1308.8	0
5904680	1	C	02/10/2016	22:44	235.291	35.871	0	800.84	0	4.5226	0	34.3576	0	27.226	0	793.465	0	7.98	0	2.6	0	43.44	0	0.0180	0	0.0180	0	0.000274	1	-1E+10	1	0.97	1	7.5144	0	7.2883	0	2351	0	2362	0	1324.5	0
5904680	1	C	02/10/2016	22:44	235.291	35.871	0	751.67	0	4.5214	0	34.3205	0	27.197	0	744.835	0	7.44	0	2.4	0	43.46	0	0.0180	0	0.0180	0	0.000304	1	-1E+10	1	1.04	1	7.5075	0	7.2804	0	2347	0	2360	0	1351.5	0
5904680	1	C	02/10/2016	22:44	235.291	35.871	0	701.41	0	4.7650	0	34.3140	0	27.164	0	695.116	0	7.85	0	2.5	0	42.94	0	0.0180	0	0.0180	0	0.000216	1	-1E+10	1	0.82	1	7.5104	0	7.2841	0	2342	0	2354	0	1349.0	0
5904680	1	C	02/10/2016	22:44	235.291	35.871	0	651.56	0	4.8430	0	34.2670	0	27.118	0	645.791	0	9.53	0	3.1	0	42.66	0	0.0216	0	0.0216	0	0.000216	1	-1E+10	1	0.82	1	7.5073	0	7.2803	0	2335	0	2348	0	1363.5	0
5904680	1	C	02/10/2016	22:44	235.291	35.871	0	601.70	0	5.2146	0	34.2528	0	27.064	0	596.444	0	10.44	0	3.4	0	41.78	0	0.0180	0	0.0180	0	0.000232	1	-1E+10	1	0.86	1	7.5078	0	7.2834	0	2327	0	2339	0	1368.5	0
5904680	1	C	02/10/2016	22:44	235.291	35.871	0	551.31	0	5.1368	0	34.1721	0	27.008	0	546.560	0	16.98	0	5.5	0	41.56	0	0.0144	0	0.0144	0	0.000203	1	-1E+10	1	0.78	1	7.5071	0	7.2801	0	2318	0	2331	0	1372.5	0
5904680	1	C	02/10/2016	22:44	235.291	35.871	0	501.24	0	5.3058	0	34.1382	0	26.961	0	496.981	0	22.85	0	7.4	0	41.08	0	0.0144	0	0.0144	0	0.000276	1	-1E+10	1	0.97	1	7.5157	0	7.2879	0	2311	0	2322	0	1349.7	0
5904680	1	C	02/10/2016	22:44	235.291	35.871	0	451.07	0	5.4856	0	34.0581	0	26.876	0	447.291	0	42.23	0	13.8	0	39.41	0	0.0108	0	0.0108	0	0.000247	1	-1E+10	1	0.90	1	7.5487	0	7.3175	0	2298	0	2300	0	1248.6	0
5904680	1	C	02/10/2016	22:44	235.291	35.871	0	401.10	0	5.5599	0	33.9998	0	26.821	0	397.788	0	63.94	0	20.9	0	37.70	0	0.0144	0	0.0144	0	0.000409	1	-1E+10	1	1.32	1	7.5855	0	7.3492	0	2291	0	2281	0	1145.8	0
5904680	1	C	02/10/2016	22:44	235.291	35.871	0	381.15	0	5.6788	0	33.9836	0	26.793	0	378.021	0	70.25	0	23.0	0	36.52	0	0.0144	0	0.0144	0	0.000394	1	-1E+10	1	1.28	1	7.6016	0	7.3642	0	2287	0	2273	0	1103.9	0
