//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 18:12
//!! ADJUSTED DATA FILE !!
//WMO ID: 5905075
//Univ. of Washington ID: 8501
//MBARI ID: 8501SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 16 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 73 
//Latitude quality flag = 4 for interpolated float positions
//No missing data found
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	5590	
//Temperature[°C]	Sbe41cp	5590	
//Salinity[pss]	Sbe41cp	5590	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	948	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#A5.A01.0047 Spec#098666 Equitech Ti probe #20150209RR10.17  MBARI ARGO float#702C  DF#143  CTD#5590	
//Chl_a[mg/m^3]	FLBBAP2	1886	
//Chl_a_corr[mg/m^3]	FLBBAP2	1886	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	1886	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	1886	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	143	
//pH25C[Total]	Durafet	143	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0500	0.0000	0.0000
//Nitrate	1	1.0000	-0.0265	-1.8554
//Nitrate	8	1.0000	-0.7453	0.6601
//Nitrate	81	1.0000	0.9467	0.0000
//pH	1	1.0000	0.0195	-0.7990
//pH	3	1.0000	0.0035	0.0091
//pH	25	1.0000	0.0087	-0.0489
//pH	41	1.0000	-0.0052	-0.0107
//pH	64	1.0000	-0.0218	0.0234
//pH	81	1.0000	-0.0150	0.0000
//
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5905075	1	C	01/25/2017	08:50	257.001	-67.005	0	1899.15	0	1.1106	0	34.7155	0	27.817	0	1871.771	0	194.17	0	57.3	0	32.54	0	0.0000	0	0.0000	0	0.000223	1	-1E+10	1	0.83	1	7.8628	0	7.5908	0	2357	0	2262	0	497.5	0
5905075	1	C	01/25/2017	08:50	257.001	-67.005	0	1799.14	0	1.1738	0	34.7173	0	27.814	0	1773.619	0	192.60	0	56.9	0	32.33	0	0.0036	0	0.0012	0	0.000223	1	-1E+10	1	0.83	1	7.8661	0	7.5909	0	2355	0	2260	0	499.0	0
5905075	1	C	01/25/2017	08:50	257.001	-67.005	0	1699.23	0	1.2247	0	34.7194	0	27.812	0	1675.521	0	191.58	0	56.7	0	32.28	0	0.0072	0	0.0024	0	0.000399	1	-1E+10	1	1.29	1	7.8680	0	7.5897	0	2354	0	2260	0	502.5	0
5905075	1	C	01/25/2017	08:50	257.001	-67.005	0	1597.24	0	1.2876	0	34.7215	0	27.809	0	1575.333	0	190.52	0	56.5	0	32.14	0	0.0036	0	0.0012	0	0.000223	1	-1E+10	1	0.83	1	7.8698	0	7.5884	0	2356	0	2262	0	506.7	0
5905075	1	C	01/25/2017	08:50	257.001	-67.005	0	1499.73	0	1.3542	0	34.7228	0	27.805	0	1479.501	0	189.40	0	56.2	0	32.04	0	0.0000	0	0.0000	0	0.000223	1	-1E+10	1	0.83	1	7.8721	0	7.5878	0	2356	0	2262	0	509.9	0
5905075	1	C	01/25/2017	08:50	257.001	-67.005	0	1398.71	0	1.4154	0	34.7245	0	27.801	0	1380.173	0	188.51	0	56.1	0	31.88	0	0.0036	0	0.0012	0	0.000238	1	-1E+10	1	0.87	1	7.8734	0	7.5861	0	2354	0	2261	0	514.0	0
5905075	1	C	01/25/2017	08:50	257.001	-67.005	0	1299.46	0	1.4827	0	34.7255	0	27.797	0	1282.540	0	187.58	0	55.9	0	31.67	0	0.0036	0	0.0012	0	0.000238	1	-1E+10	1	0.87	1	7.8756	0	7.5853	0	2355	0	2262	0	517.6	0
5905075	1	C	01/25/2017	08:50	257.001	-67.005	0	1199.49	0	1.5673	0	34.7262	0	27.791	0	1184.153	0	186.39	0	55.7	0	31.64	0	0.0036	0	0.0012	0	0.000268	1	-1E+10	1	0.95	1	7.8767	0	7.5838	0	2354	0	2262	0	522.3	0
5905075	1	C	01/25/2017	08:50	257.001	-67.005	0	1099.73	0	1.6550	0	34.7254	0	27.783	0	1085.926	0	184.78	0	55.3	0	31.60	0	0.0000	0	0.0000	0	0.000253	1	-1E+10	1	0.91	1	7.8760	0	7.5808	0	2354	0	2263	0	529.6	0
5905075	1	C	01/25/2017	08:50	257.001	-67.005	0	999.07	0	1.7306	0	34.7239	0	27.776	0	986.766	0	183.23	0	54.9	0	31.52	0	0.0036	0	0.0012	0	0.000239	1	-1E+10	1	0.87	1	7.8765	0	7.5786	0	2352	0	2262	0	534.9	0
5905075	1	C	01/25/2017	08:50	257.001	-67.005	0	951.24	0	1.7662	0	34.7220	0	27.771	0	939.633	0	182.37	0	54.7	0	31.60	0	0.0036	0	0.0012	0	0.000341	1	-1E+10	1	1.14	1	7.8725	0	7.5737	0	2351	0	2263	0	543.3	0
5905075	1	C	01/25/2017	08:50	257.001	-67.005	0	901.02	0	1.8081	0	34.7197	0	27.766	0	890.132	0	181.28	0	54.5	0	31.65	0	0.0036	0	0.0012	0	0.000253	1	-1E+10	1	0.91	1	7.8716	0	7.5716	0	2351	0	2263	0	547.7	0
5905075	1	C	01/25/2017	08:50	257.001	-67.005	0	850.78	0	1.8528	0	34.7167	0	27.760	0	840.600	0	180.02	0	54.1	0	31.73	0	0.0072	0	0.0024	0	0.000254	1	-1E+10	1	0.91	1	7.8689	0	7.5680	0	2350	0	2263	0	554.6	0
5905075	1	C	01/25/2017	08:50	257.001	-67.005	0	801.26	0	1.8857	0	34.7129	0	27.754	0	791.766	0	179.06	0	53.9	0	31.61	0	0.0036	0	0.0012	0	0.000298	1	-1E+10	1	1.03	1	7.8654	0	7.5635	0	2349	0	2264	0	562.5	0
5905075	1	C	01/25/2017	08:50	257.001	-67.005	0	750.82	0	1.9259	0	34.7075	0	27.747	0	742.014	0	177.51	0	53.5	0	31.78	0	0.0000	0	0.0000	0	0.000312	1	-1E+10	1	1.07	1	7.8633	0	7.5603	0	2347	0	2264	0	568.7	0
5905075	1	C	01/25/2017	08:50	257.001	-67.005	0	700.77	0	1.9536	0	34.7008	0	27.739	0	692.634	0	175.80	0	53.0	0	31.99	0	0.0036	0	0.0012	0	0.000400	1	-1E+10	1	1.29	1	7.8599	0	7.5557	0	2346	0	2265	0	576.8	0
5905075	1	C	01/25/2017	08:50	257.001	-67.005	0	651.32	0	1.9808	0	34.6949	0	27.732	0	643.834	0	174.43	0	52.6	0	32.14	0	0.0036	0	0.0012	0	0.000327	1	-1E+10	1	1.10	1	7.8571	0	7.5518	0	2346	0	2265	0	584.0	0
5905075	1	C	01/25/2017	08:50	257.001	-67.005	0	601.35	0	2.0158	0	34.6848	0	27.721	0	594.510	0	172.79	0	52.2	0	32.31	0	0.0072	0	0.0024	0	0.000313	1	-1E+10	1	1.07	1	7.8535	0	7.5472	0	2344	0	2266	0	592.6	0
5905075	1	C	01/25/2017	08:50	257.001	-67.005	0	551.51	0	2.0370	0	34.6737	0	27.710	0	545.302	0	171.31	0	51.7	0	32.63	0	0.0036	0	0.0012	0	0.000298	1	-1E+10	1	1.03	1	7.8510	0	7.5435	0	2343	0	2266	0	599.3	0
