//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 18:15
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904172
//Univ. of Washington ID: 8514
//MBARI ID: 8514HAWAII
//Missing Float profile(s) for station(s): 8 22 26 44 59 
//Missing Float position interpolated for station(s): 30 40 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 7 11 13 14 15 16 17 18 19 20 21 23 24 34 40 41 42 43 45 46 47 48 49 50 51 52 53 54 55 56 57 58 60 61 62 63 64 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	4792	
//Temperature[°C]	Sbe41cp	4792	
//Salinity[pss]	Sbe41cp	4792	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	1464	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L1.C01.6704 Spec#057 Equitech Ti probe #20130410RR10.05 MBARI ARGO float#7039	
//Chl_a[mg/m^3]	FLBBAP2	2993	
//Chl_a_corr[mg/m^3]	FLBBAP2	2993	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	2993	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	2993	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	0039	
//pH25C[Total]	Durafet	0039	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0561	0.0000	0.0000
//Nitrate	1	1.0000	0.3387	0.0000
//Nitrate	2	1.0000	0.3387	-3.7648
//Nitrate	24	1.0000	-1.3930	13.1838
//Nitrate	30	1.0000	1.9174	-40.5120
//Nitrate	35	1.0000	0.0534	-7.0878
//Nitrate	39	1.0000	-0.8554	1.9069
//Nitrate	57	1.0000	-0.8828	0.0000
//pH	1	1.0000	0.0460	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904172	1	C	01/18/2014	16:59	202.063	22.625	0	1398.44	0	3.0833	0	34.5533	0	27.530	0	1385.020	0	58.53	0	18.1	0	42.02	0	0.0219	0	0.0219	0	0.000134	1	-1E+10	1	0.60	1	7.6573	0	7.4174	0	2394	0	2360	0	887.9	0
5904172	1	C	01/18/2014	16:59	202.063	22.625	0	1299.13	0	3.3189	0	34.5388	0	27.496	0	1286.966	0	53.05	0	16.5	0	41.87	0	0.0146	0	0.0146	0	0.000155	1	-1E+10	1	0.66	1	7.6462	0	7.4070	0	2388	0	2358	0	921.9	0
5904172	1	C	01/18/2014	16:59	202.063	22.625	0	1199.05	0	3.4987	0	34.5131	0	27.458	0	1188.106	0	52.74	0	16.5	0	41.46	0	0.0146	0	0.0146	0	0.000135	1	-1E+10	1	0.60	1	7.6454	0	7.4049	0	2381	0	2352	0	932.8	0
5904172	1	C	01/18/2014	16:59	202.063	22.625	0	1099.39	0	3.7259	0	34.5001	0	27.425	0	1089.614	0	48.60	0	15.3	0	41.59	0	0.0255	0	0.0255	0	0.000166	1	-1E+10	1	0.68	1	7.6363	0	7.3962	0	2376	0	2350	0	963.8	0
5904172	1	C	01/18/2014	16:59	202.063	22.625	0	999.70	0	3.9184	0	34.4736	0	27.384	0	991.046	0	43.81	0	13.8	0	41.52	0	0.0182	0	0.0182	0	0.000166	1	-1E+10	1	0.69	1	7.6252	0	7.3853	0	2370	0	2347	0	1000.0	0
5904172	1	C	01/18/2014	16:59	202.063	22.625	0	951.25	0	4.0523	0	34.4619	0	27.360	0	943.124	0	41.54	0	13.2	0	41.52	0	0.0219	0	0.0219	0	0.000177	1	-1E+10	1	0.71	1	7.6155	0	7.3767	0	2366	0	2347	0	1028.8	0
5904172	1	C	01/18/2014	16:59	202.063	22.625	0	901.08	0	4.1578	0	34.4285	0	27.322	0	893.490	0	37.88	0	12.0	0	41.45	0	0.0219	0	0.0219	0	0.000177	1	-1E+10	1	0.71	1	7.6027	0	7.3650	0	2361	0	2345	0	1065.8	0
5904172	1	C	01/18/2014	16:59	202.063	22.625	0	851.66	0	4.3491	0	34.3913	0	27.272	0	844.586	0	34.41	0	11.0	0	41.31	0	0.0255	0	0.0255	0	0.000167	1	-1E+10	1	0.69	1	7.5906	0	7.3550	0	2354	0	2342	0	1101.6	0
5904172	1	C	01/18/2014	16:59	202.063	22.625	0	800.61	0	4.4186	0	34.3391	0	27.223	0	794.057	0	31.73	0	10.1	0	41.36	0	0.0146	0	0.0146	0	0.000228	1	-1E+10	1	0.85	1	7.5736	0	7.3390	0	2347	0	2341	0	1152.1	0
5904172	1	C	01/18/2014	16:59	202.063	22.625	0	751.38	0	4.8006	0	34.3312	0	27.175	0	745.317	0	30.53	0	9.8	0	40.78	0	0.0219	0	0.0219	0	0.000219	1	-1E+10	1	0.82	1	7.5745	0	7.3428	0	2340	0	2332	0	1155.1	0
5904172	1	C	01/18/2014	16:59	202.063	22.625	0	701.19	0	5.0879	0	34.2871	0	27.107	0	695.616	0	31.25	0	10.1	0	40.13	0	0.0292	0	0.0292	0	0.000179	1	-1E+10	1	0.72	1	7.5688	0	7.3395	0	2330	0	2324	0	1175.5	0
5904172	1	C	01/18/2014	16:59	202.063	22.625	0	651.49	0	5.3738	0	34.2186	0	27.019	0	646.388	0	36.80	0	12.0	0	38.83	0	0.0182	0	0.0182	0	0.000220	1	-1E+10	1	0.83	1	7.5746	0	7.3464	0	2319	0	2310	0	1162.1	0
5904172	1	C	01/18/2014	16:59	202.063	22.625	0	600.86	0	5.8836	0	34.1864	0	26.931	0	596.227	0	45.72	0	15.1	0	36.95	0	0.0182	0	0.0182	0	0.000201	1	-1E+10	1	0.78	1	7.5921	0	7.3664	0	2307	0	2292	0	1118.6	0
5904172	1	C	01/18/2014	16:59	202.063	22.625	0	551.33	0	6.4329	0	34.1499	0	26.832	0	547.144	0	61.04	0	20.4	0	34.75	0	0.0219	0	0.0219	0	0.000343	1	-1E+10	1	1.15	1	7.6279	0	7.4034	0	2296	0	2269	0	1029.6	0
5904172	1	C	01/18/2014	16:59	202.063	22.625	0	501.14	0	7.0533	0	34.0979	0	26.708	0	497.395	0	89.93	0	30.5	0	31.14	0	0.0146	0	0.0146	0	0.000223	1	-1E+10	1	0.83	1	7.6830	0	7.4590	0	2284	0	2239	0	903.9	0
5904172	1	C	01/18/2014	16:59	202.063	22.625	0	450.23	0	8.2532	0	34.1016	0	26.538	0	446.920	0	114.03	0	39.7	0	25.98	0	0.0146	0	0.0146	0	0.000215	1	-1E+10	1	0.81	1	7.7660	0	7.5486	0	2272	0	2197	0	741.4	0
5904172	1	C	01/18/2014	16:59	202.063	22.625	0	401.33	0	9.9475	0	34.1249	0	26.286	0	398.427	0	174.88	0	63.2	0	17.96	0	0.0109	0	0.0109	0	0.000237	1	-1E+10	1	0.87	1	7.8934	0	7.6892	0	2262	0	2136	0	542.1	0
5904172	1	C	01/18/2014	16:59	202.063	22.625	0	381.43	0	10.3923	0	34.1487	0	26.228	0	378.689	0	184.90	0	67.5	0	16.23	0	0.0073	0	0.0073	0	0.000207	1	-1E+10	1	0.79	1	7.9257	0	7.7255	0	2261	0	2121	0	500.5	0
5904172	1	C	01/18/2014	16:59	202.063	22.625	0	360.99	0	10.8702	0	34.1696	0	26.160	0	358.413	0	192.91	0	71.1	0	14.52	0	0.0073	0	0.0073	0	0.000208	1	-1E+10	1	0.79	1	7.9475	0	7.7525	0	2260	0	2109	0	474.6	0
