//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 18:16
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904470
//Univ. of Washington ID: 8514
//MBARI ID: 8514SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 63 90 91 92 93 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	4792	
//Temperature[°C]	Sbe41cp	4792	
//Salinity[pss]	Sbe41cp	4792	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	1464	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L1.C01.6704 Spec#057 Equitech Ti probe #20140527RR10.04 MBARI ARGO float#7039  was Hawaii8514  Durafet#80  CTD#4792	
//Chl_a[mg/m^3]	FLBBAP2	2993	
//Chl_a_corr[mg/m^3]	FLBBAP2	2993	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	2993	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	2993	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	0080	
//pH25C[Total]	Durafet	0080	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0658	0.0000	0.0000
//Nitrate	1	1.0000	-9.6564	-9.8330
//Nitrate	14	1.0000	-11.3506	8.2479
//Nitrate	29	1.0000	-8.8857	-8.2777
//Nitrate	40	1.0000	-10.1228	-0.4636
//Nitrate	96	1.0000	-10.5060	0.0000
//pH	1	1.0000	-0.1617	2.2211
//pH	3	1.0000	-0.1214	-0.0694
//pH	17	1.0000	-0.1516	-0.0213
//pH	29	1.0000	-0.1478	-0.0365
//pH	43	1.0000	-0.1532	-0.0841
//pH	53	1.0000	-0.1776	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904470	1	C	03/26/2015	20:02	143.871	-47.025	0	1599.19	0	2.7609	0	34.5474	0	27.555	0	1579.855	0	172.97	0	53.1	0	34.70	0	0.0146	0	0.0049	0	0.000147	1	-1E+10	1	0.63	1	7.8297	0	7.5729	0	2332	0	2245	0	559.1	0
5904470	1	C	03/26/2015	20:02	143.871	-47.025	0	1499.27	0	2.9109	0	34.4943	0	27.499	0	1481.493	0	175.79	0	54.2	0	34.61	0	0.0037	0	0.0012	0	0.000137	1	-1E+10	1	0.61	1	7.8299	0	7.5715	0	2327	0	2241	0	564.7	0
5904470	1	C	03/26/2015	20:02	143.871	-47.025	0	1399.46	0	3.4849	0	34.5081	0	27.457	0	1383.193	0	165.23	0	51.7	0	34.04	0	0.0109	0	0.0037	0	0.000168	1	-1E+10	1	0.69	1	7.8423	0	7.5869	0	2329	0	2237	0	556.2	0
5904470	1	C	03/26/2015	20:02	143.871	-47.025	0	1299.51	0	3.7800	0	34.4792	0	27.404	0	1284.709	0	169.33	0	53.3	0	33.23	0	0.0146	0	0.0049	0	0.000149	1	-1E+10	1	0.64	1	7.8516	0	7.5958	0	2322	0	2227	0	549.1	0
5904470	1	C	03/26/2015	20:02	143.871	-47.025	0	1199.13	0	4.3386	0	34.4525	0	27.325	0	1185.755	0	175.36	0	55.9	0	32.02	0	0.0109	0	0.0037	0	0.000160	1	-1E+10	1	0.67	1	7.8634	0	7.6106	0	2315	0	2215	0	539.5	0
5904470	1	C	03/26/2015	20:02	143.871	-47.025	0	1099.32	0	4.6964	0	34.4331	0	27.270	0	1087.317	0	180.95	0	58.2	0	31.14	0	0.0146	0	0.0049	0	0.000210	1	-1E+10	1	0.80	1	7.8731	0	7.6209	0	2306	0	2203	0	531.5	0
5904470	1	C	03/26/2015	20:02	143.871	-47.025	0	998.85	0	5.3092	0	34.4153	0	27.186	0	988.180	0	188.53	0	61.5	0	29.54	0	0.0109	0	0.0037	0	0.000192	1	-1E+10	1	0.75	1	7.8851	0	7.6369	0	2299	0	2189	0	521.6	0
5904470	1	C	03/26/2015	20:02	143.871	-47.025	0	950.93	0	5.6538	0	34.4100	0	27.140	0	940.880	0	194.82	0	64.1	0	28.75	0	0.0073	0	0.0024	0	0.000182	1	-1E+10	1	0.73	1	7.8933	0	7.6476	0	2295	0	2182	0	513.7	0
5904470	1	C	03/26/2015	20:02	143.871	-47.025	0	901.77	0	6.1570	0	34.4449	0	27.105	0	892.344	0	190.30	0	63.3	0	27.59	0	0.0109	0	0.0037	0	0.000193	1	-1E+10	1	0.75	1	7.8986	0	7.6579	0	2294	0	2177	0	510.7	0
5904470	1	C	03/26/2015	20:02	143.871	-47.025	0	851.11	0	6.6530	0	34.4627	0	27.054	0	842.315	0	192.99	0	65.0	0	26.21	0	0.0037	0	0.0012	0	0.000234	1	-1E+10	1	0.86	1	7.9072	0	7.6711	0	2291	0	2169	0	503.1	0
5904470	1	C	03/26/2015	20:02	143.871	-47.025	0	800.90	0	7.1678	0	34.4920	0	27.006	0	792.719	0	194.50	0	66.3	0	24.95	0	0.0109	0	0.0037	0	0.000184	1	-1E+10	1	0.73	1	7.9154	0	7.6843	0	2290	0	2163	0	496.3	0
5904470	1	C	03/26/2015	20:02	143.871	-47.025	0	750.88	0	7.5102	0	34.5075	0	26.970	0	743.299	0	199.04	0	68.4	0	23.69	0	0.0037	0	0.0012	0	0.000195	1	-1E+10	1	0.76	1	7.9236	0	7.6951	0	2289	0	2158	0	489.2	0
5904470	1	C	03/26/2015	20:02	143.871	-47.025	0	701.66	0	7.8940	0	34.5356	0	26.936	0	694.658	0	201.98	0	70.0	0	22.47	0	0.0109	0	0.0037	0	0.000185	1	-1E+10	1	0.74	1	7.9336	0	7.7082	0	2288	0	2152	0	480.1	0
5904470	1	C	03/26/2015	20:02	143.871	-47.025	0	651.24	0	8.3028	0	34.5676	0	26.899	0	644.819	0	208.53	0	72.9	0	20.73	0	0.0073	0	0.0024	0	0.000236	1	-1E+10	1	0.87	1	7.9483	0	7.7263	0	2288	0	2144	0	465.5	0
5904470	1	C	03/26/2015	20:02	143.871	-47.025	0	601.42	0	8.5916	0	34.5797	0	26.864	0	595.562	0	223.53	0	78.7	0	19.28	0	0.0000	0	0.0000	0	0.000226	1	-1E+10	1	0.84	1	7.9624	0	7.7420	0	2288	0	2138	0	451.9	0
5904470	1	C	03/26/2015	20:02	143.871	-47.025	0	551.57	0	8.7531	0	34.5791	0	26.837	0	546.263	0	234.70	0	82.9	0	17.41	0	0.0037	0	0.0012	0	0.000187	1	-1E+10	1	0.74	1	7.9860	0	7.7650	0	2287	0	2128	0	427.6	0
5904470	1	C	03/26/2015	20:02	143.871	-47.025	0	501.30	0	8.9231	0	34.5999	0	26.826	0	496.536	0	243.00	0	86.2	0	15.96	0	0.0037	0	0.0012	0	0.000177	1	-1E+10	1	0.71	1	8.0014	0	7.7804	0	2288	0	2122	0	413.5	0
5904470	1	C	03/26/2015	20:02	143.871	-47.025	0	451.47	0	8.9977	0	34.5975	0	26.812	0	447.233	0	256.70	0	91.2	0	15.19	0	0.0000	0	0.0000	0	0.000267	1	-1E+10	1	0.95	1	8.0115	0	7.7893	0	2288	0	2118	0	405.1	0
5904470	1	C	03/26/2015	20:02	143.871	-47.025	0	401.27	0	9.0980	0	34.6091	0	26.804	0	397.553	0	256.89	0	91.5	0	14.85	0	0.0000	0	0.0000	0	0.000297	1	-1E+10	1	1.02	1	8.0115	0	7.7890	0	2288	0	2119	0	407.6	0
5904470	1	C	03/26/2015	20:02	143.871	-47.025	0	381.34	0	9.1050	0	34.6043	0	26.799	0	377.825	0	256.67	0	91.4	0	14.79	0	0.0073	0	0.0024	0	0.000247	1	-1E+10	1	0.90	1	8.0131	0	7.7899	0	2288	0	2118	0	406.8	0
