//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 18:20
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904186
//Univ. of Washington ID: 9018
//MBARI ID: 9018SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 190 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 8 51 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 241 242 243 244 245 246 247 248 249 250 
//
//SPECIAL NOTICE:
//Salinity on this sensor has gone bad (profile 122 onward).  
//Please note that additional parameters dependent upon salinity for measurement calculations have also been marked bad.
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	5382	
//Temperature[°C]	Sbe41cp	5382	
//Salinity[pss]	Sbe41cp	5382	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	1377	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]			
//Chl_a[mg/m^3]			
//Chl_a_corr[mg/m^3]			
//b_bp700[1/m]			
//b_bp_corr[1/m]			
//POC[mmol/m^3]			
//pHinsitu[Total]	Durafet	59	
//pH25C[Total]	Durafet	59	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1250	0.0000	0.0000
//pH	1	1.0000	-0.1169	2.9467
//pH	3	1.0000	-0.0581	-0.0765
//pH	49	1.0000	-0.0983	0.0000
//pH	62	1.0000	-0.0987	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904186	1	C	04/13/2014	18:27	210.029	-52.544	0	1598.51	0	2.6988	0	34.5427	0	27.557	0	1578.394	0	171.37	0	52.6	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8213	0	7.5651	0	2336	0	2255	0	572.4	0
5904186	1	C	04/13/2014	18:27	210.029	-52.544	0	1499.75	0	2.8067	0	34.5094	0	27.520	0	1481.222	0	173.03	0	53.2	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8234	0	7.5649	0	2332	0	2251	0	575.2	0
5904186	1	C	04/13/2014	18:27	210.029	-52.544	0	1399.11	0	2.9668	0	34.4688	0	27.473	0	1382.155	0	176.83	0	54.6	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8283	0	7.5678	0	2327	0	2245	0	574.2	0
5904186	1	C	04/13/2014	18:27	210.029	-52.544	0	1298.22	0	3.1236	0	34.4313	0	27.428	0	1282.794	0	181.86	0	56.3	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8359	0	7.5732	0	2321	0	2238	0	569.2	0
5904186	1	C	04/13/2014	18:27	210.029	-52.544	0	1199.55	0	3.3257	0	34.3915	0	27.377	0	1185.574	0	188.70	0	58.7	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8458	0	7.5814	0	2314	0	2228	0	560.6	0
5904186	1	C	04/13/2014	18:27	210.029	-52.544	0	1098.76	0	3.6390	0	34.3557	0	27.318	0	1086.219	0	196.36	0	61.5	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8591	0	7.5940	0	2306	0	2216	0	548.0	0
5904186	1	C	04/13/2014	18:27	210.029	-52.544	0	999.17	0	4.0052	0	34.3207	0	27.253	0	988.000	0	204.95	0	64.8	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8719	0	7.6072	0	2299	0	2205	0	536.3	0
5904186	1	C	04/13/2014	18:27	210.029	-52.544	0	951.34	0	4.2412	0	34.3092	0	27.219	0	940.812	0	208.74	0	66.4	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8421	0	7.5816	0	2297	0	2211	0	581.2	0
5904186	1	C	04/13/2014	18:27	210.029	-52.544	0	901.10	0	4.5681	0	34.3109	0	27.185	0	891.235	0	210.03	0	67.3	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8444	0	7.5864	0	2295	0	2208	0	581.9	0
5904186	1	C	04/13/2014	18:27	210.029	-52.544	0	850.67	0	4.8664	0	34.3043	0	27.147	0	841.459	0	214.36	0	69.2	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8538	0	7.5972	0	2293	0	2202	0	571.9	0
5904186	1	C	04/13/2014	18:27	210.029	-52.544	0	801.45	0	5.1206	0	34.3037	0	27.117	0	792.865	0	217.76	0	70.7	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8624	0	7.6068	0	2291	0	2197	0	563.2	0
5904186	1	C	04/13/2014	18:27	210.029	-52.544	0	751.52	0	5.4414	0	34.3078	0	27.082	0	743.559	0	220.26	0	72.0	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8737	0	7.6199	0	2289	0	2190	0	550.9	0
5904186	1	C	04/13/2014	18:27	210.029	-52.544	0	701.35	0	5.7113	0	34.3036	0	27.046	0	694.004	0	226.74	0	74.6	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.8860	0	7.6332	0	2286	0	2182	0	537.3	0
5904186	1	C	04/13/2014	18:27	210.029	-52.544	0	651.70	0	6.0419	0	34.3211	0	27.018	0	644.950	0	229.59	0	76.2	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9001	0	7.6491	0	2285	0	2176	0	521.9	0
5904186	1	C	04/13/2014	18:27	210.029	-52.544	0	601.46	0	6.2236	0	34.3142	0	26.989	0	595.302	0	238.76	0	79.5	0	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	-1E+10	1	7.9194	0	7.6678	0	2283	0	2166	0	499.7	0
