//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 18:35
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904184
//Univ. of Washington ID: 9091
//MBARI ID: 9091SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 47 48 49 50 52 53 74 87 88 90 91 92 123 124 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 103 152 153 
//
//SPECIAL NOTICE:
//The nitrate sensor on this float failed.
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	5380	
//Temperature[°C]	Sbe41cp	5380	
//Salinity[pss]	Sbe41cp	5380	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	1379	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L1.C01.6649 Spec#062 APEX Equitech probe 20120905RR10.01 MBARI ARGO float#0104	
//Chl_a[mg/m^3]	FLBBAP2	3308	
//Chl_a_corr[mg/m^3]	FLBBAP2	3308	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	3308	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	3308	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	0063	
//pH25C[Total]	Durafet	0063	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0500	0.0000	0.0000
//Nitrate	1	1.0000	6.2000	0.0000
//pH	1	1.0000	0.0247	1.3939
//pH	3	1.0000	0.0658	0.0000
//pH	13	1.0000	0.0688	-0.0569
//pH	28	1.0000	0.0306	0.0000
//pH	38	1.0000	0.0411	-0.0154
//pH	60	1.0000	0.0318	0.0012
//pH	151	1.0000	0.0342	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904184	1	C	04/03/2014	22:50	209.965	-63.973	0	1399.38	0	0.7035	0	34.7024	0	27.830	0	1381.124	0	191.29	0	55.9	0	31.73	0	0.0109	0	0.0037	0	0.000127	1	-1E+10	1	0.58	1	7.8557	0	7.5605	0	2353	0	2269	0	533.2	0
5904184	1	C	04/03/2014	22:50	209.965	-63.973	0	1298.38	0	0.7462	0	34.7040	0	27.828	0	1281.749	0	189.77	0	55.5	0	31.85	0	0.0146	0	0.0049	0	0.000116	1	-1E+10	1	0.56	1	7.8584	0	7.5598	0	2351	0	2268	0	535.8	0
5904184	1	C	04/03/2014	22:50	209.965	-63.973	0	1199.53	0	0.7919	0	34.7058	0	27.826	0	1184.443	0	188.45	0	55.2	0	31.76	0	0.0037	0	0.0012	0	0.000148	1	-1E+10	1	0.64	1	7.8614	0	7.5594	0	2354	0	2271	0	538.8	0
5904184	1	C	04/03/2014	22:50	209.965	-63.973	0	1098.49	0	0.8415	0	34.7084	0	27.825	0	1084.934	0	187.01	0	54.8	0	31.91	0	0.0037	0	0.0012	0	0.000137	1	-1E+10	1	0.61	1	7.8650	0	7.5595	0	2355	0	2272	0	540.8	0
5904184	1	C	04/03/2014	22:50	209.965	-63.973	0	999.27	0	0.8911	0	34.7105	0	27.823	0	987.172	0	185.43	0	54.4	0	31.92	0	0.0073	0	0.0024	0	0.000137	1	-1E+10	1	0.61	1	7.8688	0	7.5600	0	2355	0	2272	0	542.1	0
5904184	1	C	04/03/2014	22:50	209.965	-63.973	0	951.39	0	0.9208	0	34.7116	0	27.822	0	939.979	0	184.67	0	54.2	0	31.70	0	0.0073	0	0.0024	0	0.000137	1	-1E+10	1	0.61	1	7.8718	0	7.5613	0	2355	0	2272	0	541.3	0
5904184	1	C	04/03/2014	22:50	209.965	-63.973	0	900.99	0	0.9513	0	34.7128	0	27.821	0	890.291	0	183.72	0	54.0	0	32.06	0	0.0037	0	0.0012	0	0.000137	1	-1E+10	1	0.61	1	7.8728	0	7.5608	0	2355	0	2272	0	543.2	0
5904184	1	C	04/03/2014	22:50	209.965	-63.973	0	851.34	0	0.9774	0	34.7141	0	27.820	0	841.330	0	182.68	0	53.7	0	31.98	0	0.0109	0	0.0037	0	0.000148	1	-1E+10	1	0.64	1	7.8733	0	7.5597	0	2355	0	2272	0	545.7	0
5904184	1	C	04/03/2014	22:50	209.965	-63.973	0	800.72	0	1.0103	0	34.7154	0	27.819	0	791.401	0	181.54	0	53.4	0	31.78	0	0.0073	0	0.0024	0	0.000169	1	-1E+10	1	0.69	1	7.8731	0	7.5581	0	2355	0	2272	0	549.3	0
5904184	1	C	04/03/2014	22:50	209.965	-63.973	0	751.07	0	1.0418	0	34.7166	0	27.817	0	742.417	0	180.27	0	53.1	0	31.77	0	0.0109	0	0.0037	0	0.000148	1	-1E+10	1	0.64	1	7.8724	0	7.5561	0	2354	0	2272	0	553.4	0
5904184	1	C	04/03/2014	22:50	209.965	-63.973	0	701.67	0	1.0802	0	34.7182	0	27.816	0	693.668	0	178.82	0	52.7	0	31.91	0	0.0073	0	0.0024	0	0.000232	1	-1E+10	1	0.86	1	7.8727	0	7.5551	0	2354	0	2272	0	556.3	0
5904184	1	C	04/03/2014	22:50	209.965	-63.973	0	651.70	0	1.1195	0	34.7193	0	27.814	0	644.345	0	177.16	0	52.3	0	31.86	0	0.0073	0	0.0024	0	0.000159	1	-1E+10	1	0.67	1	7.8715	0	7.5527	0	2353	0	2273	0	561.2	0
5904184	1	C	04/03/2014	22:50	209.965	-63.973	0	601.38	0	1.1507	0	34.7205	0	27.813	0	594.665	0	175.91	0	52.0	0	32.12	0	0.0037	0	0.0012	0	0.000190	1	-1E+10	1	0.75	1	7.8722	0	7.5519	0	2353	0	2272	0	563.6	0
5904184	1	C	04/03/2014	22:50	209.965	-63.973	0	550.72	0	1.1841	0	34.7212	0	27.811	0	544.637	0	174.64	0	51.6	0	31.72	0	0.0073	0	0.0024	0	0.000169	1	-1E+10	1	0.69	1	7.8737	0	7.5518	0	2352	0	2272	0	564.8	0
5904184	1	C	04/03/2014	22:50	209.965	-63.973	0	501.12	0	1.2195	0	34.7221	0	27.809	0	495.644	0	173.26	0	51.3	0	31.76	0	0.0073	0	0.0024	0	0.000159	1	-1E+10	1	0.67	1	7.8724	0	7.5494	0	2351	0	2272	0	569.8	0
5904184	1	C	04/03/2014	22:50	209.965	-63.973	0	451.50	0	1.2532	0	34.7230	0	27.807	0	446.620	0	171.96	0	50.9	0	31.70	0	0.0073	0	0.0024	0	0.000169	1	-1E+10	1	0.69	1	7.8723	0	7.5478	0	2350	0	2271	0	573.2	0
5904184	1	C	04/03/2014	22:50	209.965	-63.973	0	401.54	0	1.2858	0	34.7229	0	27.805	0	397.247	0	170.74	0	50.6	0	31.88	0	0.0109	0	0.0037	0	0.000190	1	-1E+10	1	0.75	1	7.8734	0	7.5474	0	2349	0	2270	0	574.7	0
5904184	1	C	04/03/2014	22:50	209.965	-63.973	0	381.13	0	1.3012	0	34.7237	0	27.804	0	377.074	0	170.28	0	50.5	0	31.70	0	0.0109	0	0.0037	0	0.000201	1	-1E+10	1	0.78	1	7.8726	0	7.5462	0	2349	0	2270	0	577.2	0
5904184	1	C	04/03/2014	22:50	209.965	-63.973	0	361.58	0	1.3139	0	34.7237	0	27.803	0	357.749	0	169.80	0	50.4	0	31.93	0	0.0109	0	0.0037	0	0.000211	1	-1E+10	1	0.80	1	7.8720	0	7.5452	0	2348	0	2270	0	579.3	0
