//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 18:40
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904185
//Univ. of Washington ID: 9092
//MBARI ID: 9092SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 13 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 7 12 33 35 62 69 76 84 101 121 123 130 155 156 157 158 159 160 161 162 163 164 
//
//SPECIAL NOTICE:
//The nitrate sensor on this float failed.
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	5379	
//Temperature[°C]	Sbe41cp	5379	
//Salinity[pss]	Sbe41cp	5379	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	1203	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#J3-A01-2204 Spec#064 Equitech Ti probe #20130820RR10.01- MBARI ARGO float#0103	
//Chl_a[mg/m^3]	FLBBAP2	3173	
//Chl_a_corr[mg/m^3]	FLBBAP2	3173	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	3173	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	3173	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	0062	
//pH25C[Total]	Durafet	0062	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0832	0.0000	0.0000
//Nitrate	1	1.0000	2.1971	0.0000
//Nitrate	6	1.0000	1.3152	0.0000
//Nitrate	7	1.0000	7.7324	0.0000
//pH	1	1.0000	0.0272	1.0411
//pH	3	1.0000	0.0591	-0.0203
//pH	16	1.0000	0.0459	-0.0713
//pH	41	1.0000	0.0082	-0.0145
//pH	56	1.0000	-0.0029	0.0000
//pH	154	1.0000	-0.0019	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904185	1	C	04/07/2014	22:33	210.072	-60.000	0	1498.61	0	0.6795	0	34.7023	0	27.832	0	1479.162	0	195.87	0	57.2	0	33.36	0	0.0036	0	0.0012	0	0.000345	1	-1E+10	1	1.15	1	7.8634	0	7.5706	0	2355	0	2268	0	518.0	0
5904185	1	C	04/07/2014	22:33	210.072	-60.000	0	1399.70	0	0.7092	0	34.7036	0	27.831	0	1381.859	0	194.51	0	56.8	0	33.37	0	0.0000	0	0.0000	0	0.000364	1	-1E+10	1	1.20	1	7.8665	0	7.5701	0	2353	0	2266	0	519.7	0
5904185	1	C	04/07/2014	22:33	210.072	-60.000	0	1299.18	0	0.7439	0	34.7049	0	27.829	0	1282.926	0	193.33	0	56.5	0	33.34	0	0.0036	0	0.0012	0	0.000364	1	-1E+10	1	1.20	1	7.8689	0	7.5691	0	2351	0	2264	0	522.1	0
5904185	1	C	04/07/2014	22:33	210.072	-60.000	0	1198.81	0	0.7924	0	34.7070	0	27.827	0	1184.094	0	192.42	0	56.3	0	33.21	0	0.0000	0	0.0000	0	0.000364	1	-1E+10	1	1.20	1	7.8718	0	7.5686	0	2351	0	2264	0	524.8	0
5904185	1	C	04/07/2014	22:33	210.072	-60.000	0	1098.45	0	0.8535	0	34.7093	0	27.825	0	1085.225	0	190.77	0	55.9	0	33.15	0	0.0072	0	0.0024	0	0.001136	1	-1E+10	1	3.21	1	7.8737	0	7.5675	0	2352	0	2266	0	528.9	0
5904185	1	C	04/07/2014	22:33	210.072	-60.000	0	999.67	0	0.9213	0	34.7115	0	27.822	0	987.867	0	189.69	0	55.7	0	32.92	0	0.0036	0	0.0012	0	0.000402	1	-1E+10	1	1.30	1	7.8775	0	7.5682	0	2353	0	2266	0	530.5	0
5904185	1	C	04/07/2014	22:33	210.072	-60.000	0	951.38	0	0.9614	0	34.7128	0	27.820	0	940.255	0	188.76	0	55.5	0	33.07	0	0.0000	0	0.0000	0	0.000421	1	-1E+10	1	1.35	1	7.8758	0	7.5654	0	2353	0	2268	0	536.0	0
5904185	1	C	04/07/2014	22:33	210.072	-60.000	0	901.28	0	0.9862	0	34.7138	0	27.819	0	890.848	0	188.49	0	55.4	0	32.95	0	0.0036	0	0.0012	0	0.000412	1	-1E+10	1	1.32	1	7.8769	0	7.5649	0	2354	0	2269	0	537.9	0
5904185	1	C	04/07/2014	22:33	210.072	-60.000	0	851.26	0	1.0175	0	34.7151	0	27.818	0	841.507	0	187.26	0	55.1	0	33.03	0	0.0036	0	0.0012	0	0.000412	1	-1E+10	1	1.32	1	7.8771	0	7.5636	0	2354	0	2269	0	540.9	0
5904185	1	C	04/07/2014	22:33	210.072	-60.000	0	801.26	0	1.0516	0	34.7165	0	27.817	0	792.175	0	185.58	0	54.7	0	33.03	0	0.0000	0	0.0000	0	0.000469	1	-1E+10	1	1.47	1	7.8789	0	7.5639	0	2354	0	2269	0	541.8	0
5904185	1	C	04/07/2014	22:33	210.072	-60.000	0	750.93	0	1.0885	0	34.7178	0	27.815	0	742.505	0	183.18	0	54.0	0	33.13	0	0.0108	0	0.0036	0	0.000460	1	-1E+10	1	1.45	1	7.8738	0	7.5580	0	2354	0	2271	0	552.0	0
5904185	1	C	04/07/2014	22:33	210.072	-60.000	0	701.10	0	1.1165	0	34.7188	0	27.814	0	693.317	0	182.28	0	53.8	0	33.05	0	0.0000	0	0.0000	0	0.000479	1	-1E+10	1	1.50	1	7.8760	0	7.5585	0	2354	0	2271	0	552.3	0
5904185	1	C	04/07/2014	22:33	210.072	-60.000	0	650.66	0	1.1495	0	34.7196	0	27.812	0	643.514	0	182.32	0	53.9	0	32.93	0	0.0036	0	0.0012	0	0.000613	1	-1E+10	1	1.85	1	7.8788	0	7.5596	0	2354	0	2270	0	551.8	0
5904185	1	C	04/07/2014	22:33	210.072	-60.000	0	601.69	0	1.1992	0	34.7213	0	27.810	0	595.152	0	179.40	0	53.1	0	33.01	0	0.0036	0	0.0012	0	0.000431	1	-1E+10	1	1.38	1	7.8725	0	7.5528	0	2353	0	2273	0	563.8	0
5904185	1	C	04/07/2014	22:33	210.072	-60.000	0	551.37	0	1.2246	0	34.7219	0	27.809	0	545.445	0	180.21	0	53.3	0	32.73	0	0.0108	0	0.0036	0	0.000489	1	-1E+10	1	1.52	1	7.8800	0	7.5580	0	2353	0	2270	0	556.7	0
5904185	1	C	04/07/2014	22:33	210.072	-60.000	0	501.26	0	1.2541	0	34.7222	0	27.807	0	495.933	0	183.18	0	54.3	0	32.51	0	0.0036	0	0.0012	0	0.000451	1	-1E+10	1	1.43	1	7.8872	0	7.5631	0	2352	0	2267	0	549.9	0
5904185	1	C	04/07/2014	22:33	210.072	-60.000	0	450.72	0	1.2981	0	34.7226	0	27.804	0	445.984	0	182.22	0	54.0	0	32.52	0	0.0036	0	0.0012	0	0.000441	1	-1E+10	1	1.40	1	7.8841	0	7.5591	0	2351	0	2268	0	557.4	0
5904185	1	C	04/07/2014	22:33	210.072	-60.000	0	401.52	0	1.3439	0	34.7225	0	27.800	0	397.348	0	180.60	0	53.6	0	32.47	0	0.0036	0	0.0012	0	0.000479	1	-1E+10	1	1.50	1	7.8845	0	7.5582	0	2350	0	2268	0	560.1	0
5904185	1	C	04/07/2014	22:33	210.072	-60.000	0	381.54	0	1.3608	0	34.7223	0	27.799	0	377.594	0	179.97	0	53.5	0	32.45	0	0.0000	0	0.0000	0	0.000518	1	-1E+10	1	1.60	1	7.8817	0	7.5552	0	2350	0	2268	0	565.3	0
