//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 18:53
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904188
//Univ. of Washington ID: 9095
//MBARI ID: 9095SOOCN
//Missing Float profile(s) for station(s): 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 
//Missing Float position interpolated for station(s): 75 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 68 130 173 
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	5383	
//Temperature[°C]	Sbe41cp	5383	
//Salinity[pss]	Sbe41cp	5383	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	1249	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#G2.C01.7456 Spec#070 APEX Ti Equitech probe 20130905RR10.03 MBARI ARGO float#0109	
//Chl_a[mg/m^3]	FLBBAP2	3307	
//Chl_a_corr[mg/m^3]	FLBBAP2	3307	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	3307	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	3307	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	0068	
//pH25C[Total]	Durafet	0068	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.1004	0.0000	-0.0500
//Oxygen	46	1.0676	0.0000	-0.0033
//Oxygen	173	1.0571	0.0000	0.0000
//Nitrate	1	1.0000	1.8974	1.1462
//Nitrate	24	1.0000	1.7218	-2.5200
//Nitrate	65	1.0000	0.6616	-0.1972
//Nitrate	134	1.0000	-0.0157	82.7245
//Nitrate	136	1.0000	0.0626	-0.1195
//Nitrate	173	1.0000	-0.1232	0.0000
//pH	1	1.0000	-0.0923	3.5971
//pH	3	1.0000	-0.0303	-0.3908
//pH	28	1.0000	-0.1706	-0.0126
//pH	66	1.0000	-0.1682	0.0000
//pH	92	1.0000	-0.1772	0.0081
//pH	173	1.0000	-0.1594	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904188	1	C	04/15/2014	06:56	210.110	-49.932	0	1599.13	0	2.9661	0	34.4703	0	27.476	0	1579.376	0	181.84	0	56.1	0	34.18	0	0.0146	0	0.0049	0	0.000287	1	-1E+10	1	1.00	1	7.8284	0	7.5747	0	2321	0	2234	0	559.5	0
5904188	1	C	04/15/2014	06:56	210.110	-49.932	0	1497.94	0	3.1301	0	34.4337	0	27.431	0	1479.789	0	184.46	0	57.1	0	33.95	0	0.0037	0	0.0012	0	0.000287	1	-1E+10	1	1.00	1	7.8347	0	7.5789	0	2315	0	2227	0	556.5	0
5904188	1	C	04/15/2014	06:56	210.110	-49.932	0	1399.75	0	3.3654	0	34.3984	0	27.381	0	1383.111	0	189.56	0	59.0	0	33.33	0	0.0109	0	0.0037	0	0.000266	1	-1E+10	1	0.95	1	7.8459	0	7.5886	0	2309	0	2217	0	546.7	0
5904188	1	C	04/15/2014	06:56	210.110	-49.932	0	1299.47	0	3.6776	0	34.3579	0	27.318	0	1284.328	0	197.03	0	61.8	0	32.53	0	0.0073	0	0.0024	0	0.000289	1	-1E+10	1	1.00	1	7.8583	0	7.6006	0	2301	0	2206	0	535.4	0
5904188	1	C	04/15/2014	06:56	210.110	-49.932	0	1199.17	0	4.0626	0	34.3279	0	27.255	0	1185.479	0	204.98	0	64.9	0	31.50	0	0.0037	0	0.0012	0	0.000268	1	-1E+10	1	0.95	1	7.8743	0	7.6168	0	2293	0	2192	0	519.6	0
5904188	1	C	04/15/2014	06:56	210.110	-49.932	0	1099.94	0	4.5536	0	34.3099	0	27.188	0	1087.639	0	211.92	0	67.9	0	30.19	0	0.0073	0	0.0024	0	0.000290	1	-1E+10	1	1.01	1	7.8909	0	7.6353	0	2288	0	2180	0	504.3	0
5904188	1	C	04/15/2014	06:56	210.110	-49.932	0	999.79	0	5.2424	0	34.3175	0	27.116	0	988.845	0	214.13	0	69.7	0	28.57	0	0.0109	0	0.0037	0	0.000281	1	-1E+10	1	0.98	1	7.9085	0	7.6577	0	2288	0	2171	0	489.6	0
5904188	1	C	04/15/2014	06:56	210.110	-49.932	0	951.67	0	5.5131	0	34.3160	0	27.082	0	941.359	0	220.59	0	72.3	0	27.48	0	0.0073	0	0.0024	0	0.000281	1	-1E+10	1	0.98	1	7.9088	0	7.6601	0	2285	0	2168	0	492.0	0
5904188	1	C	04/15/2014	06:56	210.110	-49.932	0	900.84	0	5.7515	0	34.3175	0	27.054	0	891.188	0	225.06	0	74.1	0	26.83	0	0.0037	0	0.0012	0	0.000282	1	-1E+10	1	0.99	1	7.9205	0	7.6725	0	2284	0	2162	0	480.6	0
5904188	1	C	04/15/2014	06:56	210.110	-49.932	0	851.23	0	5.9475	0	34.3088	0	27.023	0	842.210	0	232.59	0	77.0	0	25.61	0	0.0000	0	0.0000	0	0.000315	1	-1E+10	1	1.07	1	7.9336	0	7.6857	0	2281	0	2154	0	467.4	0
5904188	1	C	04/15/2014	06:56	210.110	-49.932	0	801.09	0	6.0409	0	34.2914	0	26.997	0	792.696	0	243.75	0	80.8	0	24.56	0	0.0037	0	0.0012	0	0.000271	1	-1E+10	1	0.96	1	7.9492	0	7.6998	0	2277	0	2145	0	451.3	0
5904188	1	C	04/15/2014	06:56	210.110	-49.932	0	751.59	0	6.2479	0	34.2992	0	26.976	0	743.803	0	250.63	0	83.5	0	23.61	0	0.0073	0	0.0024	0	0.000304	1	-1E+10	1	1.04	1	7.9619	0	7.7129	0	2277	0	2140	0	439.6	0
5904188	1	C	04/15/2014	06:56	210.110	-49.932	0	700.97	0	6.6565	0	34.3378	0	26.953	0	693.791	0	247.61	0	83.3	0	22.85	0	0.0037	0	0.0012	0	0.000327	1	-1E+10	1	1.10	1	7.9653	0	7.7202	0	2279	0	2139	0	439.4	0
5904188	1	C	04/15/2014	06:56	210.110	-49.932	0	650.76	0	6.9580	0	34.3721	0	26.939	0	644.173	0	245.46	0	83.2	0	22.13	0	0.0037	0	0.0012	0	0.000305	1	-1E+10	1	1.05	1	7.9706	0	7.7277	0	2280	0	2137	0	436.7	0
5904188	1	C	04/15/2014	06:56	210.110	-49.932	0	601.00	0	7.1490	0	34.3830	0	26.920	0	594.988	0	248.71	0	84.7	0	21.47	0	0.0073	0	0.0024	0	0.000295	1	-1E+10	1	1.02	1	7.9762	0	7.7340	0	2280	0	2134	0	433.1	0
5904188	1	C	04/15/2014	06:56	210.110	-49.932	0	551.03	0	7.3315	0	34.3985	0	26.906	0	545.583	0	249.31	0	85.2	0	20.80	0	0.0037	0	0.0012	0	0.000295	1	-1E+10	1	1.02	1	7.9817	0	7.7401	0	2281	0	2132	0	429.8	0
5904188	1	C	04/15/2014	06:56	210.110	-49.932	0	501.58	0	7.3725	0	34.3879	0	26.892	0	496.681	0	258.43	0	88.4	0	19.66	0	0.0073	0	0.0024	0	0.000328	1	-1E+10	1	1.11	1	7.9984	0	7.7547	0	2280	0	2125	0	413.9	0
5904188	1	C	04/15/2014	06:56	210.110	-49.932	0	451.64	0	7.5396	0	34.4033	0	26.879	0	447.283	0	260.84	0	89.6	0	19.10	0	0.0037	0	0.0012	0	0.000317	1	-1E+10	1	1.08	1	8.0047	0	7.7613	0	2280	0	2123	0	409.9	0
5904188	1	C	04/15/2014	06:56	210.110	-49.932	0	401.56	0	7.8593	0	34.4475	0	26.867	0	397.734	0	254.65	0	88.1	0	18.61	0	0.0037	0	0.0012	0	0.000361	1	-1E+10	1	1.19	1	7.9996	0	7.7594	0	2282	0	2126	0	418.3	0
5904188	1	C	04/15/2014	06:56	210.110	-49.932	0	381.46	0	7.9277	0	34.4555	0	26.863	0	377.844	0	255.78	0	88.7	0	18.19	0	0.0037	0	0.0012	0	0.000339	1	-1E+10	1	1.14	1	8.0030	0	7.7629	0	2283	0	2125	0	415.8	0
