//0
//<Encoding>UTF-8</Encoding>
//File updated on 12/21/2020 19:05
//!! ADJUSTED DATA FILE !!
//WMO ID: 5904468
//Univ. of Washington ID: 9099
//MBARI ID: 9099SOOCN
//No missing float profiles
//Missing Float position interpolated for station(s): 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 50 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 85 86 87 88 89 90 91 93 94 97 98 99 100 101 102 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 
//Latitude quality flag = 4 for interpolated float positions
//Missing Float data detected for adjusted station(s): 16 21 24 77 79 92 103 119 121 126 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 181 182 183 184 185 186 187 188 
//
//SPECIAL NOTICE:
//The salinity sensor has drifted by ~0.08 between cycle 30 & 80. This drift is NOT corrected for in this data set!
//This affects the MLR output used to create the adjusted data for pH (0.014) and NO3 (-1.1Âµmol/kg). As a temporary fix
//no further corrections for pH and NO3 are applied after cycle 30.
//
//FLOAT VARIABLES:
//Variable	Sensor	Serial number	Comment
//Pressure[dbar]	Sbe41cp	5378	
//Temperature[°C]	Sbe41cp	5378	
//Salinity[pss]	Sbe41cp	5378	
//Sigma_theta[kg/m^3]			Potential density at the sea surface
//Depth[m]			Depth calculated from pressure and latitude
//Oxygen[µmol/kg]	Aanderaa 4330	1248	
//OxygenSat[%]			Calculation assumes atmospheric pressure= 1013.25 mbar
//Nitrate[µmol/kg]	ISUS	Lamp#L1.C01.6600 Spec#071 APEX Ti Equitech probe 20130905RR10.05 MBARI ARGO float#0106	
//Chl_a[mg/m^3]	FLBBAP2	3178	
//Chl_a_corr[mg/m^3]	FLBBAP2	3178	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//b_bp700[1/m]	FLBBAP2	3178	
//b_bp_corr[1/m]			
//POC[mmol/m^3]	FLBBAP2	3178	See: Boss, E.B. and N. Haëntjens, 2016. http://soccom.princeton.edu/sites/default/files/files/SOCCOM_2016-1_Bio-optics-primer.pdf
//pHinsitu[Total]	Durafet	0055	
//pH25C[Total]	Durafet	0055	estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab  see note below
//TALK_LIAR[µmol/kg]			TALK_LIAR = Alkalinity estimated with the LIAR V2.2 algorithim using salinity, potential temperature and AOU (Carter et al., 2016,doi:10.1002/lom3.10087; Carter et al., 2017, https://doi.org/10.1002/lom3.10232).LIAR code used was downloaded on 10/31/2018 from https://github.com/BRCScienceProducts/LIRs.
//DIC_LIAR[µmol/kg]			estimated with CO2SYS(TALK_LIAR,pHinsitu) for Matlab (see note below)
//pCO2_LIAR[µatm]			estimated with CO2SYS(TALK_LIAR,biased pHinsitu) for Matlab (see note below)
//
//NOTE ON CO2SYS CARBONATE SYSTEM CALCULATIONS:
//All carbonate system variables calculated with CO2SYS for Matlab
//(van Heuven et al., 2011, doi: 10.3334/CDIAC/otg.CO2SYS_MATLAB_v1.1)
//used the following conditions: pH was reported on the total scale.
//K1 and K2 dissociation constants were from Lueker et al., 2000, doi:
//10.1016/S0304-4203(00)00022-0. The KSO4 dissociation constant was
//from Dickson, 1990, doi: 10.1016/0021-9614(90)90074-Z. The KF dissociation
//constant was from Perez and Fraga 1987, doi: 10.1016/0304-4203(87)90036-3.
//The borate to salinity ratio was from Lee et al., 2010,
//doi:10.1016/j.gca.2009.12.027. Silicate and Phosphate were not
//measured by the float, but estimates based on Redfieldian ratios improved
//the carbonate system estimates. If a nitrate value was considered to
//be of good quality silicate = nitrate*2.5 and phosphate = nitrate/16,
//otherwise the best estimate for both was considered to be 0. When pCO2
//was estimated from TALK_LIAR and pHinsitu, a bias was first added to pHinsitu
//following Williams et al., 2017, doi: https://doi.org/10.1002/2016GB005541 , section 3.4, equation 3.
//
//NOTE ON Chl_a & Chl_a_corr [mg/m^3] CONCENTRATION:
//There is community-established calibration bias of 2 for the WET Labs 413 ECO-series fluorometers
//(Roesler et al, 2017, doi: 10.1002/lom3.10185).
//Chl_a has been recalculated using in situ measured dark counts. Chl_a is then divided by the Roesler factor of 2.
//Lastly, profiles with sun elevaltion > 0 are corrected for NPQ (Xing et al, 2012, doi: 10.4319/lom.2012.10.483)
//with uncorrected spikes (raw-filtered data) added back to the corrected profile.
//Chl_a_corr uses a modified Xing approach to correct for NPQ: the reference depth is the
//shallower of the mixed layer depth or the 1 percent light depth (Kd based on 
//Kim et al., 2015, doi:10.5194/bg-12-5119-2015).No spike profile added.
//Note that all NPQ-corrected data receives an Argo quality flag of 5 ("value changed")
//and an ODV-style quality flag of 4 ("questionable").
//South of 30S a slope correction of 6 was used(E. Boss unpublished data).
//This correction scheme was decided upon at the 18th Argo Data Management Team 
//meeting in Hamburg, Germany (Nov, 2017), and is subject to change as research on optimal 
//correction methods for float data from FLBB sensors continues.
////
//QUALITY CONTROLLED DATA CORRECTIONS:
//Measurement	Station	Gain	Offset	Drift
//Oxygen	1	1.0230	0.0000	0.0000
//Nitrate	1	1.0000	4.4853	0.0000
//Nitrate	2	1.0000	1.9154	-0.5949
//Nitrate	30	1.0000	1.3856	0.0000
//Nitrate	31	1.0000	1.4634	0.0000
//pH	1	1.0000	-0.0311	0.0000
//pH	2	1.0000	0.0199	0.0000
//pH	30	1.0000	0.0160	0.0000
//
//Missing data value = -1e10
//Data quality flags: 0=Good, 4=Questionable, 8=Bad, 1=Missing or not inspected 
//Note: all timestamps are in GMT. 
Cruise	Station	Type	mon/day/yr	hh:mm	Lon [°E]	Lat [°N]	QF	Pressure[dbar]	QF	Temperature[°C]	QF	Salinity[pss]	QF	Sigma_theta[kg/m^3]	QF	Depth[m]	QF	Oxygen[µmol/kg]	QF	OxygenSat[%]	QF	Nitrate[µmol/kg]	QF	Chl_a[mg/m^3]	QF	Chl_a_corr[mg/m^3]	QF	b_bp700[1/m]	QF	b_bp_corr[1/m]	QF	POC[mmol/m^3]	QF	pHinsitu[Total]	QF	pH25C[Total]	QF	TALK_LIAR[µmol/kg]	QF	DIC_LIAR[µmol/kg]	QF	pCO2_LIAR[µatm]	QF
5904468	1	C	01/19/2015	21:54	0.058	-66.002	0	1598.51	0	0.1786	0	34.6615	0	27.828	0	1576.687	0	214.26	0	61.7	0	33.13	0	0.0000	0	0.0000	0	0.000310	1	-1E+10	1	1.06	1	7.8889	0	7.5902	0	2353	0	2259	0	479.1	0
5904468	1	C	01/19/2015	21:54	0.058	-66.002	0	1498.01	0	0.2122	0	34.6633	0	27.827	0	1477.910	0	211.03	0	60.8	0	33.06	0	0.0036	0	0.0012	0	0.000301	1	-1E+10	1	1.04	1	7.8856	0	7.5840	0	2354	0	2262	0	488.9	0
5904468	1	C	01/19/2015	21:54	0.058	-66.002	0	1399.56	0	0.2486	0	34.6653	0	27.826	0	1381.103	0	209.26	0	60.4	0	32.96	0	0.0000	0	0.0000	0	0.000320	1	-1E+10	1	1.09	1	7.8877	0	7.5827	0	2354	0	2262	0	492.2	0
5904468	1	C	01/19/2015	21:54	0.058	-66.002	0	1299.48	0	0.2869	0	34.6668	0	27.825	0	1282.647	0	208.17	0	60.1	0	33.03	0	-0.0036	0	-0.0012	0	0.000311	1	-1E+10	1	1.06	1	7.8917	0	7.5831	0	2354	0	2262	0	493.3	0
5904468	1	C	01/19/2015	21:54	0.058	-66.002	0	1199.37	0	0.3372	0	34.6691	0	27.824	0	1184.115	0	205.05	0	59.3	0	33.19	0	0.0036	0	0.0012	0	0.000311	1	-1E+10	1	1.06	1	7.8899	0	7.5785	0	2354	0	2264	0	501.6	0
5904468	1	C	01/19/2015	21:54	0.058	-66.002	0	1099.43	0	0.3850	0	34.6710	0	27.822	0	1085.704	0	203.31	0	58.9	0	33.06	0	0.0000	0	0.0000	0	0.000320	1	-1E+10	1	1.09	1	7.8914	0	7.5768	0	2354	0	2265	0	505.8	0
5904468	1	C	01/19/2015	21:54	0.058	-66.002	0	999.90	0	0.4321	0	34.6731	0	27.821	0	987.651	0	201.59	0	58.4	0	33.06	0	0.0072	0	0.0024	0	0.000340	1	-1E+10	1	1.14	1	7.8925	0	7.5748	0	2355	0	2266	0	510.5	0
5904468	1	C	01/19/2015	21:54	0.058	-66.002	0	951.50	0	0.4571	0	34.6741	0	27.820	0	939.953	0	200.92	0	58.3	0	33.02	0	0.0000	0	0.0000	0	0.000320	1	-1E+10	1	1.09	1	7.8927	0	7.5735	0	2355	0	2266	0	513.2	0
5904468	1	C	01/19/2015	21:54	0.058	-66.002	0	900.97	0	0.4796	0	34.6750	0	27.819	0	890.143	0	200.22	0	58.1	0	33.02	0	0.0072	0	0.0024	0	0.000330	1	-1E+10	1	1.11	1	7.8941	0	7.5732	0	2355	0	2266	0	514.6	0
5904468	1	C	01/19/2015	21:54	0.058	-66.002	0	851.57	0	0.5027	0	34.6759	0	27.819	0	841.436	0	199.65	0	58.0	0	33.01	0	0.0000	0	0.0000	0	0.000349	1	-1E+10	1	1.16	1	7.8944	0	7.5719	0	2354	0	2267	0	517.3	0
5904468	1	C	01/19/2015	21:54	0.058	-66.002	0	800.87	0	0.5284	0	34.6768	0	27.818	0	791.435	0	199.27	0	57.9	0	32.99	0	0.0000	0	0.0000	0	0.000321	1	-1E+10	1	1.09	1	7.8967	0	7.5725	0	2354	0	2266	0	517.4	0
5904468	1	C	01/19/2015	21:54	0.058	-66.002	0	751.38	0	0.5592	0	34.6777	0	27.816	0	742.616	0	199.73	0	58.1	0	32.85	0	0.0072	0	0.0024	0	0.000330	1	-1E+10	1	1.11	1	7.9008	0	7.5748	0	2354	0	2265	0	515.2	0
5904468	1	C	01/19/2015	21:54	0.058	-66.002	0	701.12	0	0.5916	0	34.6794	0	27.816	0	693.026	0	200.70	0	58.4	0	32.72	0	0.0036	0	0.0012	0	0.000350	1	-1E+10	1	1.16	1	7.9072	0	7.5791	0	2354	0	2263	0	510.2	0
5904468	1	C	01/19/2015	21:54	0.058	-66.002	0	648.60	0	0.6119	0	34.6792	0	27.814	0	641.193	0	198.97	0	58.0	0	32.81	0	0.0036	0	0.0012	0	0.000350	1	-1E+10	1	1.16	1	7.9047	0	7.5751	0	2354	0	2265	0	516.6	0
5904468	1	C	01/19/2015	21:54	0.058	-66.002	0	601.70	0	0.6450	0	34.6802	0	27.813	0	594.896	0	198.42	0	57.8	0	32.74	0	0.0036	0	0.0012	0	0.000369	1	-1E+10	1	1.21	1	7.9071	0	7.5761	0	2353	0	2264	0	516.3	0
5904468	1	C	01/19/2015	21:54	0.058	-66.002	0	551.74	0	0.6857	0	34.6816	0	27.811	0	545.566	0	198.79	0	58.0	0	32.65	0	0.0036	0	0.0012	0	0.000359	1	-1E+10	1	1.19	1	7.9087	0	7.5762	0	2353	0	2264	0	517.5	0
5904468	1	C	01/19/2015	21:54	0.058	-66.002	0	501.03	0	0.6957	0	34.6800	0	27.809	0	495.484	0	197.37	0	57.6	0	32.67	0	0.0036	0	0.0012	0	0.000340	1	-1E+10	1	1.14	1	7.9077	0	7.5736	0	2353	0	2264	0	521.7	0
5904468	1	C	01/19/2015	21:54	0.058	-66.002	0	451.61	0	0.7414	0	34.6816	0	27.808	0	446.664	0	197.19	0	57.6	0	32.61	0	0.0000	0	0.0000	0	0.000350	1	-1E+10	1	1.16	1	7.9088	0	7.5734	0	2352	0	2264	0	523.5	0
5904468	1	C	01/19/2015	21:54	0.058	-66.002	0	401.05	0	0.7290	0	34.6771	0	27.805	0	396.706	0	197.32	0	57.7	0	32.64	0	0.0072	0	0.0024	0	0.000350	1	-1E+10	1	1.16	1	7.9098	0	7.5722	0	2352	0	2264	0	525.1	0
5904468	1	C	01/19/2015	21:54	0.058	-66.002	0	381.37	0	0.7633	0	34.6797	0	27.804	0	377.257	0	196.80	0	57.5	0	32.70	0	0.0072	0	0.0024	0	0.000360	1	-1E+10	1	1.19	1	7.9092	0	7.5714	0	2352	0	2264	0	527.3	0
5904468	1	C	01/19/2015	21:54	0.058	-66.002	0	361.49	0	0.7672	0	34.6787	0	27.803	0	357.609	0	196.74	0	57.5	0	32.59	0	0.0000	0	0.0000	0	0.000379	1	-1E+10	1	1.24	1	7.9090	0	7.5706	0	2352	0	2264	0	528.7	0
